"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1990","college entrance qualification","general elemantary","","","","","","","","","","",""
"1990","college entrance qualification","higher education","7.2","8","404","5","6","9","9","7.01","7.39","8","8"
"1990","college entrance qualification","higher vocational","","","","","","","","","","",""
"1990","college entrance qualification","in school","","","","","","","","","","",""
"1990","college entrance qualification","inadequately","","","","","","","","","","",""
"1990","college entrance qualification","middle vocational","6.94","7","46","5","6","8","9","6.47","7.41","7","8"
"1990","college entrance qualification","vocational + Abi","7.8","8","79","6","7","9","9","7.49","8.11","8","8"
"1990","lower secondary degree","general elemantary","7","7","309","4","5","9","10","6.75","7.25","7","8"
"1990","lower secondary degree","higher education","7.36","8","105","5","6","9","10","6.99","7.73","7","8"
"1990","lower secondary degree","higher vocational","7.15","8","101","5","6","9","10","6.7","7.6","8","8"
"1990","lower secondary degree","in school","","","","","","","","","","",""
"1990","lower secondary degree","inadequately","","","","","","","","","","",""
"1990","lower secondary degree","middle vocational","7.37","8","1217","5","6","9","10","7.25","7.49","8","8"
"1990","lower secondary degree","vocational + Abi","","","","","","","","","","",""
"1990","no degree/no degree yet","general elemantary","","","","","","","","","","",""
"1990","no degree/no degree yet","higher education","","","","","","","","","","",""
"1990","no degree/no degree yet","higher vocational","","","","","","","","","","",""
"1990","no degree/no degree yet","in school","8.17","8","32","6","8","9","10","7.44","8.9","8","9"
"1990","no degree/no degree yet","inadequately","","","","","","","","","","",""
"1990","no degree/no degree yet","middle vocational","","","","","","","","","","",""
"1990","no degree/no degree yet","vocational + Abi","","","","","","","","","","",""
"1990","Other degree","general elemantary","","","","","","","","","","",""
"1990","Other degree","higher education","","","","","","","","","","",""
"1990","Other degree","higher vocational","","","","","","","","","","",""
"1990","Other degree","in school","","","","","","","","","","",""
"1990","Other degree","inadequately","","","","","","","","","","",""
"1990","Other degree","middle vocational","8.22","8.47","32","5","7","10","10","7.51","8.93","7","10"
"1990","Other degree","vocational + Abi","","","","","","","","","","",""
"1990","secondary school degree","general elemantary","7.7","8","182","5","7","9","10","7.41","7.99","8","8"
"1990","secondary school degree","higher education","7.24","8","476","4","6","9","10","7.06","7.42","8","8"
"1990","secondary school degree","higher vocational","7.69","8","150","5","7","9","10","7.39","7.99","8","8"
"1990","secondary school degree","in school","","","","","","","","","","",""
"1990","secondary school degree","inadequately","","","","","","","","","","",""
"1990","secondary school degree","middle vocational","7.7","8","1219","5","7","9","10","7.6","7.8","8","8"
"1990","secondary school degree","vocational + Abi","","","","","","","","","","",""
"1991","college entrance qualification","general elemantary","","","","","","","","","","",""
"1991","college entrance qualification","higher education","7.46","8","978","5","7","8","9","7.36","7.56","8","8"
