"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1990","16-34 y.","college entrance qualification","7.26","8","223","5","6","8","9","7.02","7.5","7","8"
"1990","16-34 y.","lower secondary degree","7.26","8","180","4","5","9","10","6.94","7.58","8","8"
"1990","16-34 y.","no degree/no degree yet","7.98","8","35","5","7","9","10","7.27","8.69","8","9"
"1990","16-34 y.","Other degree","","","","","","","","","","",""
"1990","16-34 y.","secondary school degree","7.68","8","1239","5","7","9","10","7.58","7.78","8","8"
"1990","35-65 y.","college entrance qualification","7.28","8","302","5","6","9","9","7.07","7.49","8","8"
"1990","35-65 y.","lower secondary degree","7.4","8","1205","5","6","9","10","7.28","7.52","8","8"
"1990","35-65 y.","no degree/no degree yet","","","","","","","","","","",""
"1990","35-65 y.","Other degree","7.94","8","34","5","7","9","10","7.33","8.55","7","9"
"1990","35-65 y.","secondary school degree","7.46","8","738","5","6","9","10","7.32","7.6","8","8"
"1990","66 and older","college entrance qualification","","","","","","","","","","",""
"1990","66 and older","lower secondary degree","7.03","8","347","4","5","9","10","6.79","7.27","7","8"
"1990","66 and older","no degree/no degree yet","","","","","","","","","","",""
"1990","66 and older","Other degree","","","","","","","","","","",""
"1990","66 and older","secondary school degree","7.36","8","50","5","6","9","10","6.65","8.07","7","8"
"1991","16-34 y.","college entrance qualification","7.82","8","818","6","7","9","9","7.72","7.92","8","8"
"1991","16-34 y.","lower secondary degree","7.59","8","1518","5","7","9","9","7.5","7.68","8","8"
"1991","16-34 y.","no degree/no degree yet","7.84","8","330","6","7","9","9","7.66","8.02","8","8"
"1991","16-34 y.","Other degree","7.37","8","230","5","6","8","10","7.13","7.61","8","8"
"1991","16-34 y.","secondary school degree","7.73","8","2000","5","7","9","9","7.66","7.8","8","8"
"1991","35-65 y.","college entrance qualification","7.32","8","802","5","7","8","9","7.21","7.43","8","8"
"1991","35-65 y.","lower secondary degree","6.99","7","3349","5","6","8","9","6.93","7.05","7","8"
"1991","35-65 y.","no degree/no degree yet","6.94","7","496","4","6","8","9","6.77","7.11","7","8"
"1991","35-65 y.","Other degree","6.91","7","764","4","5","8","9","6.78","7.04","7","8"
"1991","35-65 y.","secondary school degree","7.23","8","1410","5","6","8","9","7.14","7.32","8","8"
"1991","66 and older","college entrance qualification","6.68","7","95","3","5","8","9","6.22","7.14","7","8"
"1991","66 and older","lower secondary degree","6.6","7","1043","4","5","8","10","6.46","6.74","7","7"
"1991","66 and older","no degree/no degree yet","","","","","","","","","","",""
"1991","66 and older","Other degree","","","","","","","","","","",""
"1991","66 and older","secondary school degree","6.48","7","201","4","5","8","9","6.18","6.78","6","7"
"1992","16-34 y.","college entrance qualification","7.82","8","801","6","7","9","9","7.72","7.92","8","8"
"1992","16-34 y.","lower secondary degree","7.44","8","1459","5","7","9","9","7.35","7.53","8","8"
"1992","16-34 y.","no degree/no degree yet","7.72","8","337","5","7","9","10","7.53","7.91","8","8"
"1992","16-34 y.","Other degree","6.94","7","229","4","6","8","10","6.68","7.2","7","8"
"1992","16-34 y.","secondary school degree","7.57","8","1916","5","7","9","9","7.5","7.64","8","8"
"1992","35-65 y.","college entrance qualification","7.28","8","824","5","6","8","9","7.16","7.4","8","8"
"1992","35-65 y.","lower secondary degree","6.66","7","3244","4","5","8","9","6.59","6.73","7","7"
"1992","35-65 y.","no degree/no degree yet","6.59","7","479","4","5","8","9","6.41","6.77","7","7"
"1992","35-65 y.","Other degree","6.94","7","743","4","6","8","9","6.8","7.08","7","8"
"1992","35-65 y.","secondary school degree","7.03","7","1436","5","6","8","9","6.94","7.12","7","8"
"1992","66 and older","college entrance qualification","6.52","7","91","4","5","8","9","6.08","6.96","6","7"
"1992","66 and older","lower secondary degree","6.26","6","1039","3","5","8","9","6.13","6.39","6","7"
"1992","66 and older","no degree/no degree yet","","","","","","","","","","",""
"1992","66 and older","Other degree","","","","","","","","","","",""
"1992","66 and older","secondary school degree","6.13","6","208","3","5","8","8","5.82","6.44","6","7"
"1993","16-34 y.","college entrance qualification","7.67","8","815","6","7","9","9","7.57","7.77","8","8"
"1993","16-34 y.","lower secondary degree","7.25","8","1411","5","6","8","9","7.15","7.35","8","8"
"1993","16-34 y.","no degree/no degree yet","7.47","8","333","5","6","9","10","7.27","7.67","7","8"
"1993","16-34 y.","Other degree","7.09","8","226","5","6","8","9","6.82","7.36","7","8"
"1993","16-34 y.","secondary school degree","7.51","8","1860","5","7","9","9","7.43","7.59","8","8"
"1993","35-65 y.","college entrance qualification","7.05","7","839","5","6","8","9","6.93","7.17","7","8"
"1993","35-65 y.","lower secondary degree","6.42","7","3132","4","5","8","9","6.35","6.49","7","7"
"1993","35-65 y.","no degree/no degree yet","6.43","7","466","4","5","8","9","6.25","6.61","7","7"
"1993","35-65 y.","Other degree","6.58","7","711","4","5","8","9","6.43","6.73","7","7"
"1993","35-65 y.","secondary school degree","6.82","7","1466","4","6","8","9","6.72","6.92","7","7"
"1993","66 and older","college entrance qualification","6.3","7","95","4","5","8","9","5.88","6.72","6","7"
"1993","66 and older","lower secondary degree","6.2","6","1065","3","5","8","9","6.06","6.34","6","7"
"1993","66 and older","no degree/no degree yet","","","","","","","","","","",""
"1993","66 and older","Other degree","","","","","","","","","","",""
"1993","66 and older","secondary school degree","6.13","6","211","3","5","8","9","5.82","6.44","6","7"
"1994","16-34 y.","college entrance qualification","7.77","8","861","6","7","9","9","7.68","7.86","8","8"
"1994","16-34 y.","lower secondary degree","7.28","8","1317","5","6","9","9","7.18","7.38","8","8"
"1994","16-34 y.","no degree/no degree yet","7.6","8","361","5","7","9","10","7.42","7.78","8","8"
"1994","16-34 y.","Other degree","7.21","8","204","5","6","8","10","6.94","7.48","7","8"
"1994","16-34 y.","secondary school degree","7.45","8","1765","5","7","9","9","7.37","7.53","8","8"
"1994","35-65 y.","college entrance qualification","7.02","7","832","5","6","8","9","6.9","7.14","7","8"
"1994","35-65 y.","lower secondary degree","6.45","7","3036","4","5","8","9","6.38","6.52","7","7"
"1994","35-65 y.","no degree/no degree yet","6.56","7","429","4","5","8","9","6.37","6.75","7","7"
"1994","35-65 y.","Other degree","6.73","7","668","4","5","8","9","6.58","6.88","7","7"
"1994","35-65 y.","secondary school degree","6.85","7","1495","4","6","8","9","6.76","6.94","7","7"
"1994","66 and older","college entrance qualification","6.27","6","101","4","5","8","9","5.83","6.71","6","7"
"1994","66 and older","lower secondary degree","6.14","6","1073","3","5","8","9","6","6.28","6","7"
"1994","66 and older","no degree/no degree yet","6.44","7","31","5","5","7","8","5.77","7.11","6","7"
"1994","66 and older","Other degree","","","","","","","","","","",""
"1994","66 and older","secondary school degree","6.06","6","208","3","5","8","9","5.76","6.36","6","7"
"1995","16-34 y.","college entrance qualification","7.86","8","889","6","7","9","9","7.77","7.95","8","8"
"1995","16-34 y.","lower secondary degree","7.3","8","1298","5","6","9","9","7.2","7.4","8","8"
"1995","16-34 y.","no degree/no degree yet","7.56","8","396","5","7","9","10","7.39","7.73","8","8"
"1995","16-34 y.","Other degree","7.66","8","301","5","7","9","10","7.44","7.88","8","8"
"1995","16-34 y.","secondary school degree","7.47","8","1740","5","7","9","9","7.39","7.55","8","8"
"1995","35-65 y.","college entrance qualification","7.14","8","892","5","6","8","9","7.03","7.25","7","8"
"1995","35-65 y.","lower secondary degree","6.47","7","2954","4","5","8","9","6.4","6.54","7","7"
"1995","35-65 y.","no degree/no degree yet","6.62","7","422","4","5","8","9","6.43","6.81","7","7"
"1995","35-65 y.","Other degree","6.96","7","813","4","6","8","9","6.82","7.1","7","8"
"1995","35-65 y.","secondary school degree","6.97","7","1591","5","6","8","9","6.88","7.06","7","7"
"1995","66 and older","college entrance qualification","6.48","6","109","4","5","8","9","6.09","6.87","6","7"
"1995","66 and older","lower secondary degree","6.05","6","1081","3","5","8","9","5.91","6.19","6","7"
"1995","66 and older","no degree/no degree yet","6.64","7","38","3","5","8","10","6.15","7.13","6","8"
"1995","66 and older","Other degree","6.5","7","44","4","5","8","8","5.92","7.08","7","8"
"1995","66 and older","secondary school degree","6.09","6","218","3","5","8","9","5.78","6.4","6","7"
"1996","16-34 y.","college entrance qualification","7.8","8","891","6","7","9","9","7.71","7.89","8","8"
"1996","16-34 y.","lower secondary degree","7.22","8","1261","5","6","8","9","7.12","7.32","8","8"
"1996","16-34 y.","no degree/no degree yet","7.78","8","392","5","7","9","10","7.61","7.95","8","8"
"1996","16-34 y.","Other degree","7.39","8","264","5","6","9","9","7.18","7.6","8","8"
"1996","16-34 y.","secondary school degree","7.34","8","1648","5","7","8","9","7.26","7.42","8","8"
"1996","35-65 y.","college entrance qualification","7.09","8","903","5","6","8","9","6.98","7.2","7","8"
"1996","35-65 y.","lower secondary degree","6.28","7","2871","3","5","8","9","6.21","6.35","6","7"
"1996","35-65 y.","no degree/no degree yet","6.32","7","378","3","5","8","9","6.13","6.51","7","7"
"1996","35-65 y.","Other degree","6.69","7","765","4","5","8","9","6.55","6.83","7","7"
"1996","35-65 y.","secondary school degree","6.82","7","1705","4","6","8","9","6.73","6.91","7","7"
"1996","66 and older","college entrance qualification","5.68","6","112","3","5","7","8","5.26","6.1","5","6"
"1996","66 and older","lower secondary degree","6.11","6","1099","3","5","8","9","5.98","6.24","6","7"
"1996","66 and older","no degree/no degree yet","4.48","5","46","1","3","6","8","3.89","5.07","5","7"
"1996","66 and older","Other degree","6.37","7","49","1","5","8","9","5.76","6.98","6","7"
"1996","66 and older","secondary school degree","6.16","6","216","3","5","8","9","5.86","6.46","6","7"
"1997","16-34 y.","college entrance qualification","7.65","8","884","6","7","9","9","7.55","7.75","8","8"
"1997","16-34 y.","lower secondary degree","7.08","8","1197","4","6","8","9","6.97","7.19","8","8"
"1997","16-34 y.","no degree/no degree yet","7.69","8","399","5","7","9","10","7.52","7.86","8","8"
"1997","16-34 y.","Other degree","7.32","8","235","5","6","9","10","7.06","7.58","7","8"
"1997","16-34 y.","secondary school degree","7.07","8","1582","5","6","8","9","6.98","7.16","7","8"
"1997","35-65 y.","college entrance qualification","6.94","7","921","4","6","8","9","6.82","7.06","7","7"
"1997","35-65 y.","lower secondary degree","6.09","6","2785","3","5","8","9","6.01","6.17","6","6"
"1997","35-65 y.","no degree/no degree yet","6.28","6.44","361","3","5","8","9","6.08","6.48","6","7"
"1997","35-65 y.","Other degree","6.52","7","724","4","5","8","9","6.38","6.66","7","7"
"1997","35-65 y.","secondary school degree","6.65","7","1735","4","5","8","9","6.56","6.74","7","7"
"1997","66 and older","college entrance qualification","6.22","6","114","3","5","8","9","5.82","6.62","5","7"
"1997","66 and older","lower secondary degree","5.83","6","1126","3","4","8","8","5.7","5.96","6","6"
"1997","66 and older","no degree/no degree yet","5.48","5.31","49","3","4","7","8","4.88","6.08","5","7"
"1997","66 and older","Other degree","6.44","7","56","4","5","8","8","5.99","6.89","6","7"
"1997","66 and older","secondary school degree","5.94","6","207","3","5","8","9","5.63","6.25","6","7"
"1998","16-34 y.","college entrance qualification","7.79","8","988","6","7","9","9","7.71","7.87","8","8"
"1998","16-34 y.","lower secondary degree","7.33","8","1189","5","6","9","9","7.23","7.43","8","8"
"1998","16-34 y.","no degree/no degree yet","7.81","8","409","5","7","9","9","7.65","7.97","8","8"
"1998","16-34 y.","Other degree","7.41","8","220","5","6","9","10","7.17","7.65","7","8"
"1998","16-34 y.","secondary school degree","7.4","8","1656","5","7","8","9","7.32","7.48","8","8"
"1998","35-65 y.","college entrance qualification","7.17","8","1084","5","6","8","9","7.06","7.28","7","8"
"1998","35-65 y.","lower secondary degree","6.51","7","3126","4","5","8","9","6.44","6.58","7","7"
"1998","35-65 y.","no degree/no degree yet","6.55","6","344","4","5","8","9","6.35","6.75","6","7"
"1998","35-65 y.","Other degree","7.01","7","695","4","6","8","9","6.87","7.15","7","7"
"1998","35-65 y.","secondary school degree","6.91","7","1954","4","6","8","9","6.83","6.99","7","7"
"1998","66 and older","college entrance qualification","6.31","7","124","3","5","8","9","5.92","6.7","6","7"
"1998","66 and older","lower secondary degree","6.04","6","1257","3","5","8","9","5.92","6.16","6","7"
