"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1990","16-34 y.","direct migration background","","","","","","","","","","",""
"1990","16-34 y.","indirect migration background","","","","","","","","","","",""
"1990","16-34 y.","no migration background","7.58","8","1671","5","7","9","10","7.49","7.67","8","8"
"1990","35-65 y.","direct migration background","7.69","8","103","5","7","9","10","7.32","8.06","7","8"
"1990","35-65 y.","indirect migration background","","","","","","","","","","",""
"1990","35-65 y.","no migration background","7.41","8","2190","5","6","9","10","7.33","7.49","8","8"
"1990","66 and older","direct migration background","","","","","","","","","","",""
"1990","66 and older","indirect migration background","","","","","","","","","","",""
"1990","66 and older","no migration background","7.02","8","402","4","5","9","10","6.78","7.26","7","8"
"1991","16-34 y.","direct migration background","7.68","8","878","5","7","9","10","7.57","7.79","8","8"
"1991","16-34 y.","indirect migration background","8.07","8","312","6","7","9","10","7.91","8.23","8","9"
"1991","16-34 y.","no migration background","7.69","8","3882","5","7","9","9","7.64","7.74","8","8"
"1991","35-65 y.","direct migration background","7.01","7","1599","4","6","8","9","6.92","7.1","7","8"
"1991","35-65 y.","indirect migration background","","","","","","","","","","",""
"1991","35-65 y.","no migration background","7.09","8","5260","5","6","8","9","7.04","7.14","7","8"
"1991","66 and older","direct migration background","7.06","7","121","5","6","9","10","6.65","7.47","7","8"
"1991","66 and older","indirect migration background","","","","","","","","","","",""
"1991","66 and older","no migration background","6.53","7","1270","3","5","8","9","6.41","6.65","7","7"
"1992","16-34 y.","direct migration background","7.52","8","834","5","7","9","10","7.4","7.64","8","8"
"1992","16-34 y.","indirect migration background","7.83","8","368","5","7","9","10","7.66","8","8","8"
"1992","16-34 y.","no migration background","7.57","8","3728","5","7","9","9","7.52","7.62","8","8"
"1992","35-65 y.","direct migration background","6.97","7","1549","4","6","8","9","6.87","7.07","7","7"
"1992","35-65 y.","indirect migration background","","","","","","","","","","",""
"1992","35-65 y.","no migration background","6.82","7","5215","4","6","8","9","6.77","6.87","7","7"
"1992","66 and older","direct migration background","6.33","6","135","4","5","8","9","5.95","6.71","6","7"
"1992","66 and older","indirect migration background","","","","","","","","","","",""
"1992","66 and older","no migration background","6.26","6","1257","3","5","8","9","6.14","6.38","7","7"
"1993","16-34 y.","direct migration background","7.33","8","801","5","6","8","9","7.2","7.46","8","8"
"1993","16-34 y.","indirect migration background","7.63","8","434","5","7","9","10","7.46","7.8","8","8"
"1993","16-34 y.","no migration background","7.45","8","3621","5","7","9","9","7.39","7.51","8","8"
"1993","35-65 y.","direct migration background","6.6","7","1502","4","5","8","9","6.5","6.7","7","7"
"1993","35-65 y.","indirect migration background","","","","","","","","","","",""
"1993","35-65 y.","no migration background","6.61","7","5147","4","5","8","9","6.55","6.67","7","7"
"1993","66 and older","direct migration background","6.33","6.28","154","3","5","8","10","5.97","6.69","5","7"
"1993","66 and older","indirect migration background","","","","","","","","","","",""
"1993","66 and older","no migration background","6.19","6","1275","3","5","8","9","6.07","6.31","6","7"
"1994","16-34 y.","direct migration background","7.4","8","745","5","6","9","9","7.27","7.53","8","8"
"1994","16-34 y.","indirect migration background","7.76","8","452","5","7","9","10","7.61","7.91","8","8"
"1994","16-34 y.","no migration background","7.49","8","3555","5","7","9","9","7.44","7.54","8","8"
"1994","35-65 y.","direct migration background","6.55","7","1427","4","5","8","9","6.45","6.65","7","7"
"1994","35-65 y.","indirect migration background","","","","","","","","","","",""
"1994","35-65 y.","no migration background","6.65","7","5080","4","5","8","9","6.6","6.7","7","7"
"1994","66 and older","direct migration background","6.18","6","171","3","5","8","10","5.84","6.52","6","7"
"1994","66 and older","indirect migration background","","","","","","","","","","",""
"1994","66 and older","no migration background","6.15","6","1275","3","5","8","9","6.03","6.27","6","7"
"1995","16-34 y.","direct migration background","7.66","8","933","5","7","9","10","7.54","7.78","8","8"
"1995","16-34 y.","indirect migration background","7.62","8","473","5","7","9","9","7.47","7.77","8","8"
"1995","16-34 y.","no migration background","7.51","8","3493","5","7","9","9","7.46","7.56","8","8"
"1995","35-65 y.","direct migration background","6.83","7","1628","4","6","8","9","6.73","6.93","7","7"
"1995","35-65 y.","indirect migration background","","","","","","","","","","",""
"1995","35-65 y.","no migration background","6.71","7","5106","4","5","8","9","6.66","6.76","7","7"
"1995","66 and older","direct migration background","6.42","7","206","4","5","8","10","6.12","6.72","7","7"
"1995","66 and older","indirect migration background","","","","","","","","","","",""
"1995","66 and older","no migration background","6.08","6","1289","3","5","8","9","5.95","6.21","6","7"
"1996","16-34 y.","direct migration background","7.54","8","834","5","7","9","9","7.43","7.65","8","8"
"1996","16-34 y.","indirect migration background","7.74","8","506","5","7","9","9","7.6","7.88","8","8"
"1996","16-34 y.","no migration background","7.42","8","3403","5","7","9","9","7.36","7.48","8","8"
"1996","35-65 y.","direct migration background","6.55","7","1518","4","5","8","9","6.45","6.65","7","7"
"1996","35-65 y.","indirect migration background","","","","","","","","","","",""
"1996","35-65 y.","no migration background","6.57","7","5158","4","5","8","9","6.52","6.62","7","7"
"1996","66 and older","direct migration background","5.87","6","225","3","4","8","9","5.57","6.17","6","7"
"1996","66 and older","indirect migration background","","","","","","","","","","",""
"1996","66 and older","no migration background","6.11","6","1304","3","5","8","9","5.99","6.23","6","7"
"1997","16-34 y.","direct migration background","7.38","8","777","5","6","9","10","7.25","7.51","8","8"
"1997","16-34 y.","indirect migration background","7.56","8","526","5","6","9","10","7.42","7.7","8","8"
"1997","16-34 y.","no migration background","7.24","8","3298","5","6","8","9","7.18","7.3","8","8"
"1997","35-65 y.","direct migration background","6.48","7","1450","4","5","8","9","6.38","6.58","7","7"
"1997","35-65 y.","indirect migration background","6.02","6","32","3","5","7","9","5.22","6.82","5","7"
"1997","35-65 y.","no migration background","6.37","7","5122","3","5","8","9","6.31","6.43","7","7"
