"plh0178","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Not Employed","Full Time","","","","","0"
"0 Completely dissatisfied","1984","Not Employed","Part Time","","","","","0"
"0 Completely dissatisfied","1984","Not Employed","Not Working","58","0.0101195155443002","0.00723475067653978","0.0130042804120606","0"
"0 Completely dissatisfied","1984","Employed","Full Time","144","0.0211310576327698","0.0173825821181156","0.024879533147424","0"
"0 Completely dissatisfied","1984","Employed","Part Time","48","0.0183292434443481","0.0122641164662536","0.0243943704224426","0"
"0 Completely dissatisfied","1984","Employed","Not Working","","","","","0"
"1 on Scale 1 to 10","1984","Not Employed","Full Time","","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","Part Time","","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","Not Working","36","0.00717019854802987","0.00473831837718288","0.00960207871887686","1"
"1 on Scale 1 to 10","1984","Employed","Full Time","73","0.0119172466471045","0.00908900567324056","0.0147454876209685","1"
"1 on Scale 1 to 10","1984","Employed","Part Time","18","","","","1"
"1 on Scale 1 to 10","1984","Employed","Not Working","","","","","1"
"10 Completely satisfied","1984","Not Employed","Part Time","","","","","10"
"10 Completely satisfied","1984","Not Employed","Full Time","","","","","10"
"10 Completely satisfied","1984","Not Employed","Not Working","1421","0.338524653049382","0.324885381986078","0.352163924112686","10"
"10 Completely satisfied","1984","Employed","Not Working","","","","","10"
"10 Completely satisfied","1984","Employed","Full Time","1298","0.240636948124989","0.229495601837403","0.251778294412574","10"
"10 Completely satisfied","1984","Employed","Part Time","456","0.254134948499932","0.234449422367579","0.273820474632285","10"
"2 on Scale 1 to 10","1984","Not Employed","Full Time","","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","Part Time","","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","Not Working","116","0.0215990906462297","0.0174090779811985","0.025789103311261","2"
"2 on Scale 1 to 10","1984","Employed","Full Time","180","0.0310975463913641","0.0265734184683041","0.035621674314424","2"
"2 on Scale 1 to 10","1984","Employed","Part Time","57","0.0254246998268849","0.0183073171290605","0.0325420825247094","2"
"2 on Scale 1 to 10","1984","Employed","Not Working","","","","","2"
"3 on Scale 1 to 10","1984","Not Employed","Part Time","","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","Not Working","152","0.0247932096179896","0.0203113947527446","0.0292750244832345","3"
"3 on Scale 1 to 10","1984","Not Employed","Full Time","","","","","3"
"3 on Scale 1 to 10","1984","Employed","Full Time","274","0.0467861207561022","0.0412820313000549","0.0522902102121495","3"
"3 on Scale 1 to 10","1984","Employed","Part Time","81","0.0392354343077753","0.0304566895562428","0.0480141790593079","3"
"3 on Scale 1 to 10","1984","Employed","Not Working","","","","","3"
"4 on Scale 1 to 10","1984","Not Employed","Part Time","","","","","4"
"4 on Scale 1 to 10","1984","Employed","Full Time","234","0.0395793881615138","0.0344978281294445","0.0446609481935831","4"
"4 on Scale 1 to 10","1984","Not Employed","Not Working","151","0.0277979203902324","0.0230596089291544","0.0325362318513104","4"
"4 on Scale 1 to 10","1984","Not Employed","Full Time","","","","","4"
"4 on Scale 1 to 10","1984","Employed","Part Time","75","0.0407092567768124","0.0317740128161336","0.0496445007374913","4"
"4 on Scale 1 to 10","1984","Employed","Not Working","","","","","4"
"5 on Scale 1 to 10","1984","Not Employed","Full Time","","","","","5"
"5 on Scale 1 to 10","1984","Not Employed","Part Time","","","","","5"
"5 on Scale 1 to 10","1984","Employed","Not Working","","","","","5"
"5 on Scale 1 to 10","1984","Not Employed","Not Working","413","0.0849575111640984","0.0769211268156865","0.0929938955125102","5"
"5 on Scale 1 to 10","1984","Employed","Full Time","614","0.10722416827715","0.0991601901341876","0.115288146420113","5"
"5 on Scale 1 to 10","1984","Employed","Part Time","203","0.103346783686331","0.0895827591253984","0.117110808247264","5"
"6 on Scale 1 to 10","1984","Employed","Full Time","448","0.0716146616191851","0.0648942341994706","0.0783350890388996","6"
