"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","direct migration background","Rural Area","4.21","5","315","2","4","5","5","5","4.09","4.33","1","5","5","5"
"1990","direct migration background","Urban Area","4.47","5","2215","3","4","5","5","5","4.43","4.51","1","5","5","5"
"1990","indirect migration background","Rural Area","4.19","4.85","37","2","4","5","5","5","3.85","4.53","2","5","4","5"
"1990","indirect migration background","Urban Area","4.12","4","258","2","4","5","5","5","3.99","4.25","2","5","4","4"
"1990","no migration background","Rural Area","4.31","5","1558","3","4","5","5","5","4.26","4.36","1","5","5","5"
"1990","no migration background","Urban Area","4.37","5","5089","3","4","5","5","5","4.35","4.39","1","5","5","5"
"1991","direct migration background","Rural Area","","","","","","","","","","","","","",""
"1991","direct migration background","Urban Area","","","","","","","","","","","","","",""
"1991","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1991","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"1991","no migration background","Rural Area","","","","","","","","","","","","","",""
"1991","no migration background","Urban Area","","","","","","","","","","","","","",""
"1992","direct migration background","Rural Area","","","","","","","","","","","","","",""
"1992","direct migration background","Urban Area","","","","","","","","","","","","","",""
"1992","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1992","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"1992","no migration background","Rural Area","","","","","","","","","","","","","",""
"1992","no migration background","Urban Area","","","","","","","","","","","","","",""
"1993","direct migration background","Rural Area","","","","","","","","","","","","","",""
"1993","direct migration background","Urban Area","","","","","","","","","","","","","",""
"1993","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1993","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"1993","no migration background","Rural Area","","","","","","","","","","","","","",""
"1993","no migration background","Urban Area","","","","","","","","","","","","","",""
"1994","direct migration background","Rural Area","","","","","","","","","","","","","",""
"1994","direct migration background","Urban Area","","","","","","","","","","","","","",""
"1994","indirect migration background","Rural Area","","","","","","","","","","","","","",""
