"hlf0001_h","year","e11103","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","Full Time","3574","0.524671688590296","0.51168222989581","0.537661147284782"
"Main Tenant","1984","Part Time","1143","0.529960590973975","0.507459368555002","0.552461813392948"
"Main Tenant","1984","Not Working","2646","0.513122838248541","0.498776675367332","0.527469001129749"
"Sub-Tenant","1984","Full Time","79","0.00990917310762547","0.00733281266126944","0.0124855335539815"
"Sub-Tenant","1984","Part Time","27","","",""
"Sub-Tenant","1984","Not Working","47","0.0113099519420575","0.00827483209667853","0.0143450717874365"
"Owner","1984","Full Time","2013","0.463783686062291","0.450812546194868","0.476754825929715"
"Owner","1984","Part Time","717","0.456781355559992","0.434323995238861","0.479238715881122"
"Owner","1984","Not Working","1953","0.472413609325513","0.458084362105554","0.486742856545471"
"Nursing Home/Retirement Community","1984","Full Time","","","",""
"Nursing Home/Retirement Community","1984","Part Time","","","",""
"Nursing Home/Retirement Community","1984","Not Working","","","",""
"Tenant","1984","Full Time","12","","",""
"Tenant","1984","Part Time","3","","",""
"Tenant","1984","Not Working","17","","",""
"Main Tenant","1985","Full Time","3032","0.520443877841499","0.506564469839257","0.53432328584374"
"Main Tenant","1985","Part Time","1105","0.530442111390231","0.507761477566382","0.553122745214081"
"Main Tenant","1985","Not Working","2368","0.518809985780168","0.503735089529157","0.533884882031179"
"Sub-Tenant","1985","Full Time","79","0.0141329109063483","0.0108535496177799","0.0174122721949167"
"Sub-Tenant","1985","Part Time","22","","",""
"Sub-Tenant","1985","Not Working","55","0.0132212698406219","0.00977508680694747","0.0166674528742964"
"Owner","1985","Full Time","1866","0.465423211252153","0.451565441580005","0.479280980924301"
"Owner","1985","Part Time","733","0.45887176347172","0.436225978237973","0.481517548705467"
"Owner","1985","Not Working","1797","0.46796874437921","0.452914156792218","0.483023331966202"
"Nursing Home/Retirement Community","1985","Full Time","","","",""
"Nursing Home/Retirement Community","1985","Part Time","","","",""
"Nursing Home/Retirement Community","1985","Not Working","","","",""
"Tenant","1985","Full Time","","","",""
"Tenant","1985","Part Time","","","",""
"Tenant","1985","Not Working","","","",""
"Main Tenant","1986","Full Time","2893","0.518846470308033","0.504799223022998","0.532893717593068"
"Main Tenant","1986","Part Time","1080","0.532597371669086","0.509725322294384","0.555469421043789"
