"hlf0001_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","Not Employed","Male","717","0.491029951897269","0.464071385901215","0.517988517893322"
"Main Tenant","1984","Not Employed","Female","1929","0.522126549248689","0.50519139298828","0.539061705509098"
"Main Tenant","1984","Employed","Male","2850","0.501609955967351","0.48728195060886","0.515937961325843"
"Main Tenant","1984","Employed","Female","1867","0.564577574042011","0.546500989450556","0.582654158633466"
"Sub-Tenant","1984","Not Employed","Male","17","","",""
"Sub-Tenant","1984","Not Employed","Female","30","0.0102781701712758","0.00685869586467638","0.0136976444778753"
"Sub-Tenant","1984","Employed","Male","75","0.0119855722273706","0.00886719240072795","0.0151039520540133"
"Sub-Tenant","1984","Employed","Female","31","0.0087665904758834","0.00536797136595279","0.012165209585814"
"Owner","1984","Not Employed","Male","583","0.491745888604876","0.464786657528815","0.518705119680937"
"Owner","1984","Not Employed","Female","1370","0.464534953144605","0.447625886712587","0.481444019576623"
"Owner","1984","Employed","Male","1740","0.484637290029623","0.47031597521437","0.498958604844876"
"Owner","1984","Employed","Female","990","0.426161440730348","0.408132047568445","0.44419083389225"
"Nursing Home/Retirement Community","1984","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1984","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1984","Employed","Male","","","",""
"Nursing Home/Retirement Community","1984","Employed","Female","","","",""
"Tenant","1984","Not Employed","Male","4","","",""
"Tenant","1984","Not Employed","Female","13","","",""
"Tenant","1984","Employed","Male","13","","",""
"Tenant","1984","Employed","Female","2","","",""
"Main Tenant","1985","Not Employed","Male","668","0.496401440525585","0.468493659360549","0.524309221690622"
"Main Tenant","1985","Not Employed","Female","1700","0.528426917799242","0.510525086941636","0.546328748656847"
"Main Tenant","1985","Employed","Male","2485","0.495640860025177","0.480534364577805","0.510747355472549"
"Main Tenant","1985","Employed","Female","1652","0.565539352797447","0.546591524715242","0.584487180879652"
"Sub-Tenant","1985","Not Employed","Male","16","","",""
"Sub-Tenant","1985","Not Employed","Female","39","0.0127290298941276","0.00870884232366742","0.0167492174645879"
"Sub-Tenant","1985","Employed","Male","71","0.014379076694563","0.0107821574894489","0.0179759958996771"
"Sub-Tenant","1985","Employed","Female","30","0.0112505566620109","0.00721890566894178","0.01528220765508"
"Owner","1985","Not Employed","Male","549","0.489230314580288","0.461328285345751","0.517132343814824"
"Owner","1985","Not Employed","Female","1248","0.45884405230663","0.440974064711553","0.476714039901708"
"Owner","1985","Employed","Male","1652","0.48998006328026","0.474876027467807","0.505084099092713"
"Owner","1985","Employed","Female","947","0.423210090540542","0.404324105906434","0.442096075174651"
"Nursing Home/Retirement Community","1985","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1985","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1985","Employed","Male","","","",""
"Nursing Home/Retirement Community","1985","Employed","Female","","","",""
"Tenant","1985","Not Employed","Male","","","",""
"Tenant","1985","Not Employed","Female","","","",""
"Tenant","1985","Employed","Male","","","",""
"Tenant","1985","Employed","Female","","","",""
"Main Tenant","1986","Not Employed","Male","594","0.473794254222609","0.445341231774165","0.502247276671052"
"Main Tenant","1986","Not Employed","Female","1495","0.521005130815875","0.502361203938788","0.539649057692962"
"Main Tenant","1986","Employed","Male","2371","0.499955493597452","0.484607636816566","0.515303350378337"
"Main Tenant","1986","Employed","Female","1602","0.557063755728709","0.538010564953391","0.576116946504027"
"Sub-Tenant","1986","Not Employed","Male","23","","",""
"Sub-Tenant","1986","Not Employed","Female","41","0.0155556675839841","0.0109372747717459","0.0201740603962223"
"Sub-Tenant","1986","Employed","Male","85","0.0160061581940138","0.0121538814583045","0.0198584349297232"
"Sub-Tenant","1986","Employed","Female","49","0.0175270425307327","0.0124936676432728","0.0225604174181926"
"Owner","1986","Not Employed","Male","566","0.502228409313185","0.473736509421331","0.530720309205039"
"Owner","1986","Not Employed","Female","1222","0.463439201600141","0.444828754212016","0.482049648988266"
"Owner","1986","Employed","Male","1621","0.484038348208534","0.468698313840143","0.499378382576926"
"Owner","1986","Employed","Female","960","0.425409201740558","0.406445311707956","0.444373091773161"
"Nursing Home/Retirement Community","1986","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1986","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1986","Employed","Male","","","",""
"Nursing Home/Retirement Community","1986","Employed","Female","","","",""
"Tenant","1986","Not Employed","Male","","","",""
"Tenant","1986","Not Employed","Female","","","",""
"Tenant","1986","Employed","Male","","","",""
"Tenant","1986","Employed","Female","","","",""
"Main Tenant","1987","Not Employed","Male","579","0.480462781654132","0.451370931353291","0.509554631954973"
"Main Tenant","1987","Not Employed","Female","1464","0.53207712011819","0.513111661241393","0.551042578994987"
"Main Tenant","1987","Employed","Male","2339","0.493176306211115","0.477812911956739","0.50853970046549"
"Main Tenant","1987","Employed","Female","1579","0.538634678665218","0.519629623318454","0.557639734011981"
"Sub-Tenant","1987","Not Employed","Male","20","","",""
"Sub-Tenant","1987","Not Employed","Female","41","0.0169391963186247","0.0120343487706875","0.0218440438665619"
"Sub-Tenant","1987","Employed","Male","90","0.0208818543105438","0.0164878578853906","0.025275850735697"
"Sub-Tenant","1987","Employed","Female","56","0.024681132522716","0.0187661241424178","0.0305961409030142"
"Owner","1987","Not Employed","Male","534","0.497284526417297","0.468170871131025","0.526398181703568"
"Owner","1987","Not Employed","Female","1154","0.450983683563185","0.432070616481758","0.469896750644612"
"Owner","1987","Employed","Male","1639","0.485941839478341","0.470583088658078","0.501300590298605"
"Owner","1987","Employed","Female","1008","0.436684188812066","0.417775595816224","0.455592781807909"
"Nursing Home/Retirement Community","1987","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1987","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1987","Employed","Male","","","",""
"Nursing Home/Retirement Community","1987","Employed","Female","","","",""
"Tenant","1987","Not Employed","Male","","","",""
"Tenant","1987","Not Employed","Female","","","",""
"Tenant","1987","Employed","Male","","","",""
"Tenant","1987","Employed","Female","","","",""
"Main Tenant","1988","Not Employed","Male","564","0.491875997193916","0.462128810964229","0.521623183423603"
"Main Tenant","1988","Not Employed","Female","1390","0.533039010062123","0.513427215908761","0.552650804215485"
"Main Tenant","1988","Employed","Male","2219","0.479851717671859","0.464105432363928","0.495598002979791"
"Main Tenant","1988","Employed","Female","1547","0.538900716721436","0.519662091956436","0.558139341486436"
"Sub-Tenant","1988","Not Employed","Male","20","","",""
"Sub-Tenant","1988","Not Employed","Female","40","0.0215992889302558","0.0158848231591812","0.0273137547013305"
"Sub-Tenant","1988","Employed","Male","79","0.0239898943473857","0.019167060170794","0.0288127285239774"
"Sub-Tenant","1988","Employed","Female","56","0.0271595063321387","0.0208860890569733","0.0334329236073042"
"Owner","1988","Not Employed","Male","501","0.487160810050306","0.457419506698911","0.5169021134017"
"Owner","1988","Not Employed","Female","1056","0.445361701007621","0.425824655413906","0.464898746601337"
"Owner","1988","Employed","Male","1569","0.496158387980755","0.48039976772111","0.5119170082404"
"Owner","1988","Employed","Female","976","0.433939776946425","0.414811825102464","0.453067728790387"
"Nursing Home/Retirement Community","1988","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1988","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1988","Employed","Male","","","",""
"Nursing Home/Retirement Community","1988","Employed","Female","","","",""
"Tenant","1988","Not Employed","Male","","","",""
"Tenant","1988","Not Employed","Female","","","",""
"Tenant","1988","Employed","Male","","","",""
"Tenant","1988","Employed","Female","","","",""
"Main Tenant","1989","Not Employed","Male","545","0.484247097124993","0.454232837102592","0.514261357147394"
"Main Tenant","1989","Not Employed","Female","1310","0.516995784008802","0.496877409908574","0.53711415810903"
"Main Tenant","1989","Employed","Male","2116","0.478555311966637","0.462491860094562","0.494618763838712"
"Main Tenant","1989","Employed","Female","1530","0.538312889771927","0.518978569475776","0.557647210068078"
"Sub-Tenant","1989","Not Employed","Male","21","","",""
"Sub-Tenant","1989","Not Employed","Female","34","0.0188429679819632","0.0133688036132908","0.0243171323506357"
"Sub-Tenant","1989","Employed","Male","73","0.023311303281659","0.0184591999617272","0.0281634066015908"
"Sub-Tenant","1989","Employed","Female","52","0.0252072788226336","0.0191279341601191","0.0312866234851481"
"Owner","1989","Not Employed","Male","495","0.489179253467943","0.459157118999575","0.519201387936311"
"Owner","1989","Not Employed","Female","1024","0.462230852497281","0.442158359074819","0.482303345919742"
"Owner","1989","Employed","Male","1521","0.496534149396839","0.480456289034282","0.512612009759395"
"Owner","1989","Employed","Female","969","0.43510648258583","0.415879164241537","0.454333800930123"
"Nursing Home/Retirement Community","1989","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1989","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1989","Employed","Male","","","",""
"Nursing Home/Retirement Community","1989","Employed","Female","","","",""
"Tenant","1989","Not Employed","Male","4","","",""
"Tenant","1989","Not Employed","Female","2","","",""
"Tenant","1989","Employed","Male","5","","",""
"Tenant","1989","Employed","Female","3","","",""
"Main Tenant","1990","Not Employed","Male","551","0.478628791849283","0.448655198327228","0.508602385371338"
"Main Tenant","1990","Not Employed","Female","1242","0.522452048385925","0.501940287621064","0.542963809150787"
"Main Tenant","1990","Employed","Male","2047","0.491928134612731","0.475646902341692","0.50820936688377"
"Main Tenant","1990","Employed","Female","1493","0.532329359959993","0.5129596357919","0.551699084128087"
"Sub-Tenant","1990","Not Employed","Male","23","","",""
"Sub-Tenant","1990","Not Employed","Female","36","0.0207828114349947","0.0149246289791774","0.026640993890812"
"Sub-Tenant","1990","Employed","Male","76","0.023339352055464","0.018422466382896","0.028256237728032"
"Sub-Tenant","1990","Employed","Female","72","0.0358910716829854","0.0286697043208087","0.043112439045162"
"Owner","1990","Not Employed","Male","491","0.492703761701953","0.462705945399754","0.522701578004151"
"Owner","1990","Not Employed","Female","999","0.456139137447763","0.4356858179141","0.476592456981426"
"Owner","1990","Employed","Male","1498","0.484678807044948","0.46840309922183","0.500954514868066"
"Owner","1990","Employed","Female","983","0.431713540372497","0.412485073314247","0.450942007430747"
"Nursing Home/Retirement Community","1990","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1990","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1990","Employed","Male","","","",""
"Nursing Home/Retirement Community","1990","Employed","Female","","","",""
"Tenant","1990","Not Employed","Male","2","","",""
"Tenant","1990","Not Employed","Female","1","","",""
"Tenant","1990","Employed","Male","1","","",""
"Tenant","1990","Employed","Female","1","","",""
"Main Tenant","1991","Not Employed","Male","517","0.459272042209623","0.428999621999881","0.489544462419366"
"Main Tenant","1991","Not Employed","Female","1194","0.511591048202938","0.490816385777131","0.532365710628745"
"Main Tenant","1991","Employed","Male","2058","0.497931991794216","0.481623994284833","0.514239989303599"
"Main Tenant","1991","Employed","Female","1541","0.547966987370873","0.52874396159182","0.567190013149926"
"Sub-Tenant","1991","Not Employed","Male","27","","",""
"Sub-Tenant","1991","Not Employed","Female","35","0.0200408940132135","0.0142166009206477","0.0258651871057793"
"Sub-Tenant","1991","Employed","Male","77","0.0233901672917941","0.0184605686981784","0.0283197658854099"
"Sub-Tenant","1991","Employed","Female","62","0.0321723104780205","0.0253567806709677","0.0389878402850732"
"Owner","1991","Not Employed","Male","497","0.512994554995989","0.482631461810111","0.543357648181866"
"Owner","1991","Not Employed","Female","993","0.465316740608339","0.44458654826659","0.486046932950087"
"Owner","1991","Employed","Male","1475","0.478627509854423","0.462334278237852","0.494920741470994"
"Owner","1991","Employed","Female","971","0.419791609326379","0.400729614218655","0.438853604434102"
"Nursing Home/Retirement Community","1991","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1991","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1991","Employed","Male","","","",""
"Nursing Home/Retirement Community","1991","Employed","Female","","","",""
"Tenant","1991","Not Employed","Male","","","",""
"Tenant","1991","Not Employed","Female","2","","",""
"Tenant","1991","Employed","Male","1","","",""
"Tenant","1991","Employed","Female","1","","",""
"Main Tenant","1992","Not Employed","Male","740","0.494878798449995","0.468432795300797","0.521324801599193"
"Main Tenant","1992","Not Employed","Female","1619","0.544812209209226","0.526690759223523","0.56293365919493"
"Main Tenant","1992","Employed","Male","3012","0.52711999160846","0.513439142782327","0.540800840434593"
"Main Tenant","1992","Employed","Female","2483","0.5744227552954","0.559098569597453","0.589746940993348"
"Sub-Tenant","1992","Not Employed","Male","22","","",""
"Sub-Tenant","1992","Not Employed","Female","57","0.0224123979647765","0.0170260273537822","0.0277987685757708"
"Sub-Tenant","1992","Employed","Male","141","0.031626883885782","0.0268314005382884","0.0364223672332755"
"Sub-Tenant","1992","Employed","Female","113","0.0320238833680328","0.0265670372419117","0.0374807294941538"
"Owner","1992","Not Employed","Male","610","0.48265796999888","0.456226492238593","0.509089447759166"
"Owner","1992","Not Employed","Female","1222","0.430279632268107","0.412262714598891","0.448296549937323"
"Owner","1992","Employed","Male","1961","0.440695851892531","0.427091548000564","0.454300155784499"
"Owner","1992","Employed","Female","1401","0.392585901010188","0.377450909821674","0.407720892198703"
"Nursing Home/Retirement Community","1992","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1992","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1992","Employed","Male","","","",""
"Nursing Home/Retirement Community","1992","Employed","Female","","","",""
"Tenant","1992","Not Employed","Male","1","","",""
"Tenant","1992","Not Employed","Female","3","","",""
"Tenant","1992","Employed","Male","2","","",""
"Tenant","1992","Employed","Female","2","","",""
"Main Tenant","1993","Not Employed","Male","799","0.488476027398977","0.46292290077515","0.514029154022804"
"Main Tenant","1993","Not Employed","Female","1712","0.545266065345044","0.527363857047933","0.563168273642154"
"Main Tenant","1993","Employed","Male","2885","0.52929355812264","0.515349131495432","0.543237984749847"
"Main Tenant","1993","Employed","Female","2297","0.551997999097546","0.536209627290859","0.567786370904234"
"Sub-Tenant","1993","Not Employed","Male","40","0.0370045006144488","0.0273544669989507","0.046654534229947"
"Sub-Tenant","1993","Not Employed","Female","59","0.0250910777516642","0.0194681128962635","0.0307140426070648"
"Sub-Tenant","1993","Employed","Male","142","0.0313601943731129","0.0264911042249873","0.0362292845212385"
"Sub-Tenant","1993","Employed","Female","113","0.0321276415813352","0.0265290719611481","0.0377262112015223"
"Owner","1993","Not Employed","Male","631","0.474519471986574","0.448992767149528","0.500046176823621"
"Owner","1993","Not Employed","Female","1201","0.429642856903292","0.411845687724256","0.447440026082328"
"Owner","1993","Employed","Male","1895","0.439346247504247","0.425480984444706","0.453211510563789"
"Owner","1993","Employed","Female","1401","0.415874359321118","0.400226215673084","0.431522502969152"
"Nursing Home/Retirement Community","1993","Not Employed","Male","","","",""
"Nursing Home/Retirement Community","1993","Not Employed","Female","","","",""
"Nursing Home/Retirement Community","1993","Employed","Male","","","",""
"Nursing Home/Retirement Community","1993","Employed","Female","","","",""
"Tenant","1993","Not Employed","Male","","","",""
"Tenant","1993","Not Employed","Female","","","",""
"Tenant","1993","Employed","Male","","","",""
"Tenant","1993","Employed","Female","","","",""
"Main Tenant","1994","Not Employed","Male","833","0.487897143330208","0.462932206729557","0.512862079930859"
"Main Tenant","1994","Not Employed","Female","1740","0.539757450544881","0.522060250087589","0.557454651002174"
"Main Tenant","1994","Employed","Male","2717","0.526249778355691","0.511970426767959","0.540529129943422"
"Main Tenant","1994","Employed","Female","2199","0.562228674027226","0.54614502631872","0.578312321735733"
"Sub-Tenant","1994","Not Employed","Male","32","0.03437304164482","0.0252738795096294","0.0434722037800106"
"Sub-Tenant","1994","Not Employed","Female","69","0.0265340159631562","0.0208274643817193","0.0322405675445931"
"Sub-Tenant","1994","Employed","Male","129","0.0252329551525342","0.0207478535279416","0.0297180567771267"
"Sub-Tenant","1994","Employed","Female","106","0.0333600580215287","0.027538353392374","0.0391817626506833"
"Owner","1994","Not Employed","Male","675","0.477729815024972","0.452782344355973","0.502677285693971"
"Owner","1994","Not Employed","Female","1238","0.433708533491962","0.416111848637528","0.451305218346397"
"Owner","1994","Employed","Male","1851","0.448517266491775","0.434294196276135","0.462740336707415"
"Owner","1994","Employed","Female","1350","0.404411267951245","0.388500568922808","0.420321966979682"
"Nursing Home/Retirement Community","1994","Not Employed","Male","","","",""
