"hlf0001_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","16-34 y.","Male","1491","0.568850114483214","0.54847743160981","0.589222797356618","1"
"Main Tenant","1984","16-34 y.","Female","1643","0.623513395887392","0.603874209317837","0.643152582456947","1"
"Main Tenant","1984","35-65 y.","Male","1841","0.45533908262787","0.438138200257955","0.472539964997785","1"
"Main Tenant","1984","35-65 y.","Female","1728","0.464882117698178","0.447389361172141","0.482374874224216","1"
"Main Tenant","1984","66 and older","Male","235","0.479863704496734","0.436462005451152","0.523265403542315","1"
"Main Tenant","1984","66 and older","Female","425","0.585180877200774","0.550403618242896","0.619958136158652","1"
"Nursing Home/Retirement Community","1984","16-34 y.","Male","","","","","4"
"Nursing Home/Retirement Community","1984","16-34 y.","Female","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","Male","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","Female","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","Male","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","Female","","","","","4"
"Owner","1984","16-34 y.","Female","658","0.361683217444544","0.342206841551363","0.381159593337725","3"
"Owner","1984","16-34 y.","Male","731","0.411848415272282","0.391601983337158","0.432094847207406","3"
"Owner","1984","35-65 y.","Female","1371","0.529286759317979","0.511780803777498","0.546792714858459","3"
"Owner","1984","35-65 y.","Male","1326","0.533587554918149","0.516356650789096","0.550818459047202","3"
"Owner","1984","66 and older","Male","266","0.503766641968563","0.460330936392298","0.547202347544829","3"
"Owner","1984","66 and older","Female","331","0.394619133576248","0.360118718776341","0.429119548376154","3"
"Sub-Tenant","1984","16-34 y.","Female","32","0.0129839372014263","0.00839522150394176","0.0175726528989108","2"
"Sub-Tenant","1984","16-34 y.","Male","42","0.0173895011581048","0.0120121372939475","0.0227668650222621","2"
"Sub-Tenant","1984","35-65 y.","Male","45","0.00939518833506048","0.0060630492795214","0.0127273273905996","2"
"Sub-Tenant","1984","35-65 y.","Female","17","","","","2"
"Sub-Tenant","1984","66 and older","Male","5","","","","2"
"Sub-Tenant","1984","66 and older","Female","12","","","","2"
"Tenant","1984","16-34 y.","Male","6","","","","5"
"Tenant","1984","16-34 y.","Female","5","","","","5"
"Tenant","1984","35-65 y.","Male","8","","","","5"
"Tenant","1984","66 and older","Male","3","","","","5"
"Tenant","1984","35-65 y.","Female","7","","","","5"
"Tenant","1984","66 and older","Female","3","","","","5"
"Main Tenant","1985","16-34 y.","Male","1326","0.556665887059773","0.535378118986475","0.577953655133072","1"
"Main Tenant","1985","16-34 y.","Female","1419","0.618132027415634","0.597222657020875","0.639041397810393","1"
"Main Tenant","1985","35-65 y.","Male","1614","0.449541998771644","0.431449564000514","0.467634433542775","1"
"Main Tenant","1985","35-65 y.","Female","1551","0.462978791885951","0.444745858498424","0.481211725273479","1"
"Main Tenant","1985","66 and older","Male","213","0.507225378055548","0.460774627099823","0.553676129011273","1"
"Main Tenant","1985","66 and older","Female","382","0.617661403498757","0.580837117497927","0.654485689499587","1"
"Nursing Home/Retirement Community","1985","16-34 y.","Male","","","","","4"
"Nursing Home/Retirement Community","1985","16-34 y.","Female","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","Male","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","Female","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","Male","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","Female","","","","","4"
