"hlf0001_h","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1985","Urban Area","5601","0.570283866621619","0.559927404663598","0.580640328579639"
"Main Tenant","1985","Rural Area","904","0.362677562124648","0.342943312574875","0.38241181167442"
"Sub-Tenant","1985","Urban Area","132","0.0137954534714556","0.0113552472367548","0.0162356597061564"
"Sub-Tenant","1985","Rural Area","24","","",""
"Owner","1985","Urban Area","3044","0.415920679906925","0.40560931363062","0.426232046183231"
"Owner","1985","Rural Area","1352","0.626156021187552","0.606296574548058","0.646015467827046"
"Nursing Home/Retirement Community","1985","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","Rural Area","","","",""
"Tenant","1985","Urban Area","","","",""
"Tenant","1985","Rural Area","","","",""
"Main Tenant","1986","Urban Area","5243","0.563210648226885","0.552635384995444","0.573785911458327"
"Main Tenant","1986","Rural Area","819","0.359753576367001","0.339602622140201","0.379904530593801"
"Sub-Tenant","1986","Urban Area","153","0.0173635108079927","0.0145784482739742","0.0201485733420112"
"Sub-Tenant","1986","Rural Area","45","0.0169142761926284","0.0114999816319736","0.0223285707532831"
"Owner","1986","Urban Area","3054","0.419425840965122","0.408904376822938","0.429947305107305"
"Owner","1986","Rural Area","1315","0.62333214744037","0.602987108907674","0.643677185973067"
"Nursing Home/Retirement Community","1986","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","Rural Area","","","",""
"Tenant","1986","Urban Area","","","",""
"Tenant","1986","Rural Area","","","",""
"Main Tenant","1987","Urban Area","5097","0.5586209464436","0.54796599593209","0.569275896955109"
"Main Tenant","1987","Rural Area","864","0.363086571322088","0.342806638515018","0.383366504129158"
"Sub-Tenant","1987","Urban Area","170","0.0210137693745506","0.0179360625908725","0.0240914761582287"
"Sub-Tenant","1987","Rural Area","37","0.0201155852500206","0.0141948590643058","0.0260363114357354"
"Owner","1987","Urban Area","3076","0.42036528418185","0.409773293626018","0.430957274737681"
"Owner","1987","Rural Area","1259","0.616797843427892","0.596295353321612","0.637300333534171"
"Nursing Home/Retirement Community","1987","Urban Area","","","",""
"Nursing Home/Retirement Community","1987","Rural Area","","","",""
"Tenant","1987","Urban Area","","","",""
"Tenant","1987","Rural Area","","","",""
"Main Tenant","1988","Urban Area","4898","0.553154871572712","0.54225702369012","0.564052719455304"
"Main Tenant","1988","Rural Area","822","0.36618315121021","0.345184636144384","0.387181666276037"
"Sub-Tenant","1988","Urban Area","152","0.0234770097709694","0.0201580538583615","0.0267959656835773"
"Sub-Tenant","1988","Rural Area","43","0.0243821852530491","0.0176596406917811","0.0311047298143172"
"Owner","1988","Urban Area","2945","0.423368118656319","0.412537649807445","0.434198587505192"
"Owner","1988","Rural Area","1157","0.609434663536741","0.588169538549102","0.630699788524379"
"Nursing Home/Retirement Community","1988","Urban Area","","","",""
"Nursing Home/Retirement Community","1988","Rural Area","","","",""
"Tenant","1988","Urban Area","","","",""
"Tenant","1988","Rural Area","","","",""
"Main Tenant","1989","Urban Area","4719","0.54461463124626","0.533549296105857","0.555679966386662"
"Main Tenant","1989","Rural Area","782","0.364886032546069","0.343369964925617","0.38640210016652"
"Sub-Tenant","1989","Urban Area","146","0.0212017232136071","0.0180008935612514","0.0244025528659628"
"Sub-Tenant","1989","Rural Area","34","0.026059304371631","0.0189388761206988","0.0331797326225632"
"Owner","1989","Urban Area","2905","0.431888796862208","0.420882707630959","0.442894886093457"
"Owner","1989","Rural Area","1104","0.607701953612648","0.585879085005208","0.629524822220088"
"Nursing Home/Retirement Community","1989","Urban Area","","","",""
"Nursing Home/Retirement Community","1989","Rural Area","","","",""
"Tenant","1989","Urban Area","11","","",""
"Tenant","1989","Rural Area","3","","",""
"Main Tenant","1990","Urban Area","5857","0.581761271120211","0.571646534661765","0.591876007578657"
"Main Tenant","1990","Rural Area","2239","0.4352400518497","0.421112464911992","0.449367638787408"
"Sub-Tenant","1990","Urban Area","182","0.0228033615768177","0.0197423817703266","0.0258643413833088"
"Sub-Tenant","1990","Rural Area","176","0.038695603052955","0.0331997781070954","0.0441914279988145"
"Owner","1990","Urban Area","3091","0.39476168261563","0.384738612951192","0.404784752280067"
"Owner","1990","Rural Area","2311","0.524766775235593","0.510536667762234","0.538996882708952"
"Nursing Home/Retirement Community","1990","Urban Area","","","",""
"Nursing Home/Retirement Community","1990","Rural Area","","","",""
"Tenant","1990","Urban Area","6","","",""
"Tenant","1990","Rural Area","5","","",""
"Main Tenant","1991","Urban Area","5663","0.578787993862377","0.568538615044528","0.589037372680225"
"Main Tenant","1991","Rural Area","2184","0.444583083737552","0.430297399394502","0.458868768080603"
"Sub-Tenant","1991","Urban Area","212","0.0267010328995564","0.0233546581123753","0.0300474076867374"
"Sub-Tenant","1991","Rural Area","193","0.0410332378381445","0.0353304829891911","0.0467359926870979"
"Owner","1991","Urban Area","3030","0.392932101431155","0.38279380916671","0.4030703936956"
"Owner","1991","Rural Area","2271","0.514383678424303","0.500015382674419","0.528751974174188"
"Nursing Home/Retirement Community","1991","Urban Area","","","",""
"Nursing Home/Retirement Community","1991","Rural Area","","","",""
"Tenant","1991","Urban Area","10","","",""
"Tenant","1991","Rural Area","","","",""
"Main Tenant","1992","Urban Area","5593","0.574953453935757","0.564641833418495","0.585265074453019"
"Main Tenant","1992","Rural Area","2151","0.453065291627877","0.438424793843159","0.467705789412596"
"Sub-Tenant","1992","Urban Area","197","0.026061881191305","0.0227386474023505","0.0293851149802596"
"Sub-Tenant","1992","Rural Area","134","0.0329316895246159","0.0276830918133625","0.0381802872358692"
"Owner","1992","Urban Area","3033","0.397567237235442","0.387358972652365","0.40777550181852"
"Owner","1992","Rural Area","2154","0.513181971142865","0.498481653247933","0.527882289037797"
"Nursing Home/Retirement Community","1992","Urban Area","","","",""
"Nursing Home/Retirement Community","1992","Rural Area","","","",""
"Tenant","1992","Urban Area","6","","",""
"Tenant","1992","Rural Area","2","","",""
"Main Tenant","1993","Urban Area","5586","0.570394389976346","0.560037666555614","0.580751113397079"
"Main Tenant","1993","Rural Area","2107","0.450258640351251","0.435556473608642","0.464960807093859"
"Sub-Tenant","1993","Urban Area","197","0.0265386985871321","0.0231759148345114","0.0299014823397528"
"Sub-Tenant","1993","Rural Area","157","0.0401346474160587","0.0343345405711872","0.0459347542609303"
"Owner","1993","Urban Area","2993","0.403066911436521","0.392804458370292","0.413329364502751"
"Owner","1993","Rural Area","2135","0.50960671223269","0.494833976174647","0.524379448290734"
"Nursing Home/Retirement Community","1993","Urban Area","","","",""
"Nursing Home/Retirement Community","1993","Rural Area","","","",""
"Tenant","1993","Urban Area","","","",""
"Tenant","1993","Rural Area","","","",""
"Main Tenant","1994","Urban Area","5469","0.571304982919292","0.560858927981973","0.581751037856611"
"Main Tenant","1994","Rural Area","2020","0.445748668336943","0.430921593946314","0.460575742727573"
"Sub-Tenant","1994","Urban Area","189","0.026251427778501","0.0228766594613317","0.0296261960956702"
"Sub-Tenant","1994","Rural Area","147","0.0350753999337651","0.0295875140525633","0.0405632858149669"
"Owner","1994","Urban Area","2964","0.402443589302207","0.392092500281356","0.412794678323059"
"Owner","1994","Rural Area","2150","0.519175931729292","0.504271773879052","0.534080089579532"
"Nursing Home/Retirement Community","1994","Urban Area","","","",""
"Nursing Home/Retirement Community","1994","Rural Area","","","",""
"Tenant","1994","Urban Area","","","",""
