"hlf0001_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","Full Time","Male","2442","0.495879270873355","0.480440784735935","0.511317757010774","1"
"Main Tenant","1984","Full Time","Female","1132","0.595603419252834","0.571915872102042","0.619290966403625","1"
"Main Tenant","1984","Part Time","Male","408","0.534196036679877","0.495818449835963","0.572573623523791","1"
"Main Tenant","1984","Part Time","Female","735","0.527784492748563","0.500009072694633","0.555559912802494","1"
"Main Tenant","1984","Not Working","Male","717","0.491029951897269","0.464071385901215","0.517988517893322","1"
"Main Tenant","1984","Not Working","Female","1929","0.522126549248689","0.50519139298828","0.539061705509098","1"
"Nursing Home/Retirement Community","1984","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1984","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1984","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1984","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1984","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1984","Not Working","Female","","","","","4"
"Owner","1984","Full Time","Female","498","0.394820761724207","0.371227946606646","0.418413576841767","3"
"Owner","1984","Full Time","Male","1515","0.491776931200643","0.476340008810703","0.507213853590584","3"
"Owner","1984","Part Time","Female","492","0.463327878667148","0.435584398761888","0.491071358572407","3"
"Owner","1984","Part Time","Male","225","0.444039539561525","0.405813569316914","0.482265509806137","3"
"Owner","1984","Not Working","Male","583","0.491745888604876","0.464786657528815","0.518705119680937","3"
"Owner","1984","Not Working","Female","1370","0.464534953144605","0.447625886712587","0.481444019576623","3"
"Sub-Tenant","1984","Full Time","Female","17","","","","2"
"Sub-Tenant","1984","Full Time","Male","62","0.0104143973957256","0.00727971738709222","0.013549077404359","2"
"Sub-Tenant","1984","Part Time","Male","13","","","","2"
"Sub-Tenant","1984","Part Time","Female","14","","","","2"
"Sub-Tenant","1984","Not Working","Male","17","","","","2"
"Sub-Tenant","1984","Not Working","Female","30","0.0102781701712758","0.00685869586467638","0.0136976444778753","2"
"Tenant","1984","Full Time","Male","10","","","","5"
"Tenant","1984","Full Time","Female","2","","","","5"
"Tenant","1984","Part Time","Male","3","","","","5"
"Tenant","1984","Not Working","Male","4","","","","5"
"Tenant","1984","Part Time","Female","","","","","5"
"Tenant","1984","Not Working","Female","13","","","","5"
"Main Tenant","1985","Full Time","Male","2074","0.491594178977149","0.475113996921807","0.508074361032491","1"
"Main Tenant","1985","Full Time","Female","958","0.590274877157999","0.564892113405735","0.615657640910263","1"
"Main Tenant","1985","Part Time","Male","411","0.515997553635899","0.478241364010869","0.55375374326093","1"
"Main Tenant","1985","Part Time","Female","694","0.538140699067401","0.509779440601288","0.566501957533515","1"
"Main Tenant","1985","Not Working","Male","668","0.496401440525585","0.468493659360549","0.524309221690622","1"
"Main Tenant","1985","Not Working","Female","1700","0.528426917799242","0.510525086941636","0.546328748656847","1"
"Nursing Home/Retirement Community","1985","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1985","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1985","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1985","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1985","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1985","Not Working","Female","","","","","4"
"Owner","1985","Full Time","Male","1402","0.494386023877264","0.477904551402836","0.510867496351693","3"
"Owner","1985","Full Time","Female","464","0.395318418888884","0.370083474286681","0.420553363491088","3"
"Owner","1985","Part Time","Male","250","0.467816025919856","0.430118833819702","0.50551321802001","3"
"Owner","1985","Part Time","Female","483","0.454104695498044","0.425780641921295","0.482428749074793","3"
"Owner","1985","Not Working","Male","549","0.489230314580288","0.461328285345751","0.517132343814824","3"
"Owner","1985","Not Working","Female","1248","0.45884405230663","0.440974064711553","0.476714039901708","3"
"Sub-Tenant","1985","Full Time","Male","59","0.0140197971455868","0.0101440240438206","0.0178955702473529","2"
"Sub-Tenant","1985","Part Time","Male","12","","","","2"
"Sub-Tenant","1985","Full Time","Female","20","","","","2"
"Sub-Tenant","1985","Part Time","Female","10","","","","2"
"Sub-Tenant","1985","Not Working","Male","16","","","","2"
"Sub-Tenant","1985","Not Working","Female","39","0.0127290298941276","0.00870884232366742","0.0167492174645879","2"
"Tenant","1985","Full Time","Male","","","","","5"
"Tenant","1985","Full Time","Female","","","","","5"
"Tenant","1985","Part Time","Male","","","","","5"
"Tenant","1985","Part Time","Female","","","","","5"
"Tenant","1985","Not Working","Male","","","","","5"
"Tenant","1985","Not Working","Female","","","","","5"
"Main Tenant","1986","Full Time","Male","2000","0.497291846855211","0.480602932098967","0.513980761611454","1"
"Main Tenant","1986","Full Time","Female","893","0.570325959177556","0.544505624302875","0.596146294052236","1"
"Main Tenant","1986","Part Time","Male","371","0.513836028936932","0.474776551384237","0.552895506489627","1"
"Main Tenant","1986","Part Time","Female","709","0.542220840384867","0.51402048306916","0.570421197700574","1"
"Main Tenant","1986","Not Working","Male","594","0.473794254222609","0.445341231774165","0.502247276671052","1"
"Main Tenant","1986","Not Working","Female","1495","0.521005130815875","0.502361203938788","0.539649057692962","1"
"Nursing Home/Retirement Community","1986","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1986","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1986","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1986","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1986","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1986","Not Working","Female","","","","","4"
