"hlf0001_h","year","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","7363","0.520400055305612","0.511546344400277","0.529253766210946"
"Sub-Tenant","1984","153","0.0109867717886711","0.00913940466731186","0.0128341389100304"
"Owner","1984","4683","0.466514912625295","0.457673716688546","0.475356108562044"
"Nursing Home/Retirement Community","1984","","","",""
"Tenant","1984","32","0.00209826028042172","0.00128731663011612","0.00290920393072731"
"Main Tenant","1985","6505","0.521342926833425","0.512031774764685","0.530654078902166"
"Sub-Tenant","1985","156","0.0131756864983785","0.0110503094658413","0.0153010635309157"
"Owner","1985","4396","0.465481386668196","0.456183976038021","0.474778797298371"
"Nursing Home/Retirement Community","1985","","","",""
"Tenant","1985","","","",""
"Main Tenant","1986","6062","0.515837195814178","0.506336532543389","0.525337859084967"
"Sub-Tenant","1986","198","0.0172589098989235","0.0147830382557983","0.0197347815420486"
"Owner","1986","4369","0.466903894286899","0.457419308028462","0.476388480545335"
"Nursing Home/Retirement Community","1986","","","",""
"Tenant","1986","","","",""
"Main Tenant","1987","5961","0.513648659536793","0.504089943801215","0.523207375272372"
"Sub-Tenant","1987","207","0.0208071898709805","0.0180773810589513","0.0235369986830097"
"Owner","1987","4335","0.465544150592226","0.456004603358162","0.47508369782629"
"Nursing Home/Retirement Community","1987","","","",""
"Tenant","1987","","","",""
"Main Tenant","1988","5720","0.510740421436289","0.500951180045131","0.520529662827446"
"Sub-Tenant","1988","195","0.0236823484193754","0.0207046054500299","0.026660091388721"
"Owner","1988","4102","0.465577230144336","0.45580896145266","0.475345498836012"
"Nursing Home/Retirement Community","1988","","","",""
"Tenant","1988","","","",""
"Main Tenant","1989","5501","0.504624948304572","0.494677215276618","0.514572681332525"
"Sub-Tenant","1989","180","0.0222825369059062","0.0193458225891691","0.0252192512226433"
"Owner","1989","4009","0.471007292450967","0.461075872299056","0.480938712602879"
"Nursing Home/Retirement Community","1989","","","",""
"Tenant","1989","14","","",""
"Main Tenant","1990","8177","0.538945082629396","0.53067428646369","0.547215878795103"
"Sub-Tenant","1990","360","0.0275944152333138","0.0248765178752096","0.030312312591418"
