"hlf0001_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","16-34 y.","Full Time","1553","0.616843956937609","0.596634536612223","0.637053377262995","1"
"Main Tenant","1984","16-34 y.","Part Time","604","0.609520064214209","0.577611792070925","0.641428336357492","1"
"Main Tenant","1984","16-34 y.","Not Working","977","0.554649863630203","0.529388728802026","0.57991099845838","1"
"Main Tenant","1984","35-65 y.","Full Time","2013","0.466844833466443","0.450156065410477","0.483533601522409","1"
"Main Tenant","1984","35-65 y.","Part Time","522","0.466129788937165","0.434408007985152","0.497851569889177","1"
"Main Tenant","1984","35-65 y.","Not Working","1034","0.447835659928336","0.425820919493275","0.469850400363397","1"
"Main Tenant","1984","66 and older","Full Time","8","","","","1"
"Main Tenant","1984","66 and older","Part Time","17","","","","1"
"Main Tenant","1984","66 and older","Not Working","635","0.55357348492035","0.525632356962616","0.581514612878085","1"
"Nursing Home/Retirement Community","1984","16-34 y.","Part Time","","","","","4"
"Nursing Home/Retirement Community","1984","16-34 y.","Not Working","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","Part Time","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","Not Working","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","Full Time","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","Not Working","","","","","4"
"Nursing Home/Retirement Community","1984","16-34 y.","Full Time","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","Part Time","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","Full Time","","","","","4"
"Owner","1984","66 and older","Part Time","25","","","","3"
"Owner","1984","16-34 y.","Not Working","487","0.431081183208263","0.405910367556707","0.456251998859818","3"
"Owner","1984","66 and older","Full Time","14","","","","3"
"Owner","1984","35-65 y.","Not Working","908","0.542776354822125","0.520721974671344","0.564830734972907","3"
"Owner","1984","66 and older","Not Working","558","0.426724706761475","0.398925217922098","0.454524195600852","3"
"Owner","1984","16-34 y.","Full Time","626","0.364480337764376","0.344473432857651","0.384487242671101","3"
"Owner","1984","16-34 y.","Part Time","276","0.37299184447688","0.341362063431091","0.404621625522668","3"
"Owner","1984","35-65 y.","Full Time","1373","0.52609528656166","0.509392500870797","0.542798072252522","3"
"Owner","1984","35-65 y.","Part Time","416","0.523416993032473","0.491657067607326","0.555176918457621","3"
"Sub-Tenant","1984","66 and older","Full Time","","","","","2"
"Sub-Tenant","1984","16-34 y.","Not Working","19","","","","2"
"Sub-Tenant","1984","16-34 y.","Part Time","17","","","","2"
"Sub-Tenant","1984","16-34 y.","Full Time","38","0.0162455083123656","0.0109903188722954","0.0215006977524359","2"
"Sub-Tenant","1984","35-65 y.","Not Working","11","","","","2"
"Sub-Tenant","1984","35-65 y.","Part Time","10","","","","2"
"Sub-Tenant","1984","66 and older","Not Working","17","","","","2"
"Sub-Tenant","1984","35-65 y.","Full Time","41","0.00592097795821579","0.00335461329952048","0.00848734261691109","2"
"Sub-Tenant","1984","66 and older","Part Time","","","","","2"
"Tenant","1984","35-65 y.","Part Time","2","","","","5"
"Tenant","1984","16-34 y.","Full Time","6","","","","5"
"Tenant","1984","35-65 y.","Full Time","6","","","","5"
"Tenant","1984","16-34 y.","Not Working","4","","","","5"
"Tenant","1984","16-34 y.","Part Time","1","","","","5"
"Tenant","1984","35-65 y.","Not Working","7","","","","5"
"Tenant","1984","66 and older","Full Time","","","","","5"
"Tenant","1984","66 and older","Part Time","","","","","5"
"Tenant","1984","66 and older","Not Working","6","","","","5"
"Main Tenant","1985","16-34 y.","Full Time","1307","0.61776972192643","0.59611844778365","0.63942099606921","1"
"Main Tenant","1985","16-34 y.","Part Time","568","0.586793305918227","0.554278109149392","0.619308502687061","1"
"Main Tenant","1985","16-34 y.","Not Working","870","0.537676788159162","0.511080887621349","0.564272688696975","1"
"Main Tenant","1985","35-65 y.","Full Time","1720","0.456453795067403","0.438700709650056","0.47420688048475","1"
"Main Tenant","1985","35-65 y.","Part Time","524","0.482937852109747","0.451194951235538","0.514680752983956","1"
"Main Tenant","1985","35-65 y.","Not Working","921","0.443122113189152","0.42018002564755","0.466064200730753","1"
"Main Tenant","1985","66 and older","Full Time","5","","","","1"
"Main Tenant","1985","66 and older","Part Time","13","","","","1"
"Main Tenant","1985","66 and older","Not Working","577","0.582854950493594","0.553296407007794","0.612413493979395","1"
"Nursing Home/Retirement Community","1985","16-34 y.","Part Time","","","","","4"
"Nursing Home/Retirement Community","1985","16-34 y.","Full Time","","","","","4"
"Nursing Home/Retirement Community","1985","16-34 y.","Not Working","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","Part Time","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","Not Working","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","Full Time","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","Not Working","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","Part Time","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","Full Time","","","","","4"
"Owner","1985","16-34 y.","Part Time","301","0.398220263101071","0.36589510971356","0.430545416488581","3"
"Owner","1985","16-34 y.","Not Working","457","0.446398200913463","0.419880176201317","0.472916225625609","3"
"Owner","1985","66 and older","Full Time","13","","","","3"
"Owner","1985","66 and older","Part Time","14","","","","3"
"Owner","1985","35-65 y.","Not Working","863","0.546978344343352","0.523988513157773","0.569968175528932","3"
"Owner","1985","16-34 y.","Full Time","591","0.362187573066581","0.340772435562606","0.383602710570557","3"
"Owner","1985","66 and older","Not Working","477","0.402221094115486","0.372826873267783","0.431615314963189","3"
"Owner","1985","35-65 y.","Full Time","1262","0.533277876871017","0.515496590560218","0.551059163181816","3"
"Owner","1985","35-65 y.","Part Time","418","0.509587262035362","0.477831702487592","0.541342821583132","3"
"Sub-Tenant","1985","66 and older","Full Time","","","","","2"
"Sub-Tenant","1985","16-34 y.","Not Working","23","","","","2"
"Sub-Tenant","1985","35-65 y.","Not Working","17","","","","2"
"Sub-Tenant","1985","16-34 y.","Full Time","37","0.0200427050069888","0.0137983246528178","0.0262870853611597","2"
"Sub-Tenant","1985","16-34 y.","Part Time","12","","","","2"
"Sub-Tenant","1985","35-65 y.","Part Time","10","","","","2"
"Sub-Tenant","1985","35-65 y.","Full Time","42","0.0102683280615801","0.00667525705877933","0.0138613990643808","2"
"Sub-Tenant","1985","66 and older","Not Working","15","","","","2"
"Sub-Tenant","1985","66 and older","Part Time","","","","","2"
"Tenant","1985","35-65 y.","Part Time","","","","","5"
"Tenant","1985","16-34 y.","Full Time","","","","","5"
"Tenant","1985","16-34 y.","Not Working","","","","","5"
"Tenant","1985","35-65 y.","Full Time","","","","","5"
"Tenant","1985","16-34 y.","Part Time","","","","","5"
"Tenant","1985","35-65 y.","Not Working","","","","","5"
"Tenant","1985","66 and older","Full Time","","","","","5"
"Tenant","1985","66 and older","Part Time","","","","","5"
"Tenant","1985","66 and older","Not Working","","","","","5"
"Main Tenant","1986","16-34 y.","Full Time","1310","0.617186825839238","0.595673326604845","0.638700325073632","1"
"Main Tenant","1986","16-34 y.","Part Time","573","0.588788093449476","0.556333207351219","0.621242979547733","1"
"Main Tenant","1986","16-34 y.","Not Working","740","0.507485352982333","0.479714785998818","0.535255919965848","1"
"Main Tenant","1986","35-65 y.","Full Time","1578","0.450956785518261","0.432799709593381","0.469113861443141","1"
"Main Tenant","1986","35-65 y.","Part Time","493","0.477893624903373","0.445563413845001","0.510223835961745","1"
"Main Tenant","1986","35-65 y.","Not Working","845","0.448789766225706","0.425097875516444","0.472481656934969","1"
"Main Tenant","1986","66 and older","Full Time","5","","","","1"
"Main Tenant","1986","66 and older","Part Time","14","","","","1"
"Main Tenant","1986","66 and older","Not Working","504","0.562288206293816","0.531585883319283","0.592990529268348","1"
"Nursing Home/Retirement Community","1986","16-34 y.","Part Time","","","","","4"
"Nursing Home/Retirement Community","1986","16-34 y.","Full Time","","","","","4"
"Nursing Home/Retirement Community","1986","16-34 y.","Not Working","","","","","4"
"Nursing Home/Retirement Community","1986","35-65 y.","Part Time","","","","","4"
"Nursing Home/Retirement Community","1986","35-65 y.","Not Working","","","","","4"
"Nursing Home/Retirement Community","1986","66 and older","Full Time","","","","","4"
"Nursing Home/Retirement Community","1986","66 and older","Part Time","","","","","4"
"Nursing Home/Retirement Community","1986","66 and older","Not Working","","","","","4"
"Nursing Home/Retirement Community","1986","35-65 y.","Full Time","","","","","4"
"Owner","1986","16-34 y.","Full Time","599","0.356846032414286","0.335642549385634","0.378049515442938","3"
"Owner","1986","16-34 y.","Part Time","294","0.393063641630274","0.360847705673859","0.425279577586689","3"
"Owner","1986","16-34 y.","Not Working","476","0.463573737657423","0.43587386047727","0.491273614837575","3"
"Owner","1986","35-65 y.","Not Working","832","0.54472800346205","0.521006351376679","0.568449655547421","3"
"Owner","1986","66 and older","Full Time","9","","","","3"
"Owner","1986","66 and older","Part Time","14","","","","3"
"Owner","1986","66 and older","Not Working","480","0.414269858179235","0.383784726232329","0.444754990126141","3"
"Owner","1986","35-65 y.","Full Time","1258","0.538252952523204","0.520061371032472","0.556444534013937","3"
"Owner","1986","35-65 y.","Part Time","407","0.507660815783542","0.475302758038262","0.540018873528822","3"
"Sub-Tenant","1986","16-34 y.","Part Time","16","","","","2"
"Sub-Tenant","1986","16-34 y.","Not Working","29","","","","2"
