"hlf0001_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","no migration background","in school","61","0.379633525944008","0.303963133449781","0.455303918438235"
"Main Tenant","1984","no migration background","inadequately","48","0.619596496010877","0.511159005294139","0.728033986727615"
"Main Tenant","1984","no migration background","general elemantary","1061","0.462882065707744","0.442696575936538","0.483067555478949"
"Main Tenant","1984","no migration background","middle vocational","2386","0.520268510834618","0.505890606075316","0.534646415593919"
"Main Tenant","1984","no migration background","vocational + Abi","103","0.556390099299993","0.484800070246269","0.627980128353718"
"Main Tenant","1984","no migration background","higher vocational","273","0.448671268479492","0.409007035146108","0.488335501812877"
"Main Tenant","1984","no migration background","higher education","323","0.476790994341334","0.438915222914545","0.514666765768124"
"Main Tenant","1984","direct migration background","in school","19","","",""
"Main Tenant","1984","direct migration background","inadequately","881","0.9036543520038","0.884771660622049","0.922537043385552"
"Main Tenant","1984","direct migration background","general elemantary","959","0.798473916695656","0.774449693460006","0.822498139931306"
"Main Tenant","1984","direct migration background","middle vocational","872","0.700804352156386","0.672880587998269","0.728728116314502"
"Main Tenant","1984","direct migration background","vocational + Abi","111","0.798376966070807","0.72832232850568","0.868431603635935"
"Main Tenant","1984","direct migration background","higher vocational","31","0.543465026514956","0.40808043271455","0.678849620315361"
"Main Tenant","1984","direct migration background","higher education","88","0.605868076659533","0.519156313509801","0.692579839809265"
"Main Tenant","1984","indirect migration background","in school","4","","",""
"Main Tenant","1984","indirect migration background","inadequately","4","","",""
"Main Tenant","1984","indirect migration background","general elemantary","39","0.614754836449463","0.483737208938522","0.745772463960406"
"Main Tenant","1984","indirect migration background","middle vocational","37","0.584236699572366","0.452784243805074","0.715689155339658"
"Main Tenant","1984","indirect migration background","vocational + Abi","1","","",""
"Main Tenant","1984","indirect migration background","higher vocational","1","","",""
"Main Tenant","1984","indirect migration background","higher education","3","","",""
"Sub-Tenant","1984","no migration background","in school","","","",""
"Sub-Tenant","1984","no migration background","inadequately","1","","",""
"Sub-Tenant","1984","no migration background","general elemantary","24","","",""
"Sub-Tenant","1984","no migration background","middle vocational","36","0.00833883637993849","0.00572175578213818","0.0109559169777388"
"Sub-Tenant","1984","no migration background","vocational + Abi","3","","",""
"Sub-Tenant","1984","no migration background","higher vocational","5","","",""
"Sub-Tenant","1984","no migration background","higher education","7","","",""
"Sub-Tenant","1984","direct migration background","in school","","","",""
"Sub-Tenant","1984","direct migration background","inadequately","23","","",""
"Sub-Tenant","1984","direct migration background","general elemantary","21","","",""
"Sub-Tenant","1984","direct migration background","middle vocational","23","","",""
"Sub-Tenant","1984","direct migration background","vocational + Abi","3","","",""
