"hlf0001_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1985","Urban Area","Male","2723","0.546357643357147","0.53151191437049","0.561203372343804","1"
"Main Tenant","1985","Urban Area","Female","2878","0.591447088634805","0.577015674890074","0.605878502379536","1"
"Main Tenant","1985","Rural Area","Male","430","0.334058810044065","0.306448283523984","0.361669336564145","1"
"Main Tenant","1985","Rural Area","Female","474","0.388568710103068","0.360507001158515","0.416630419047621","1"
"Nursing Home/Retirement Community","1985","Rural Area","Male","","","","","4"
"Nursing Home/Retirement Community","1985","Urban Area","Female","","","","","4"
"Nursing Home/Retirement Community","1985","Rural Area","Female","","","","","4"
"Nursing Home/Retirement Community","1985","Urban Area","Male","","","","","4"
"Owner","1985","Rural Area","Female","675","0.602295330058687","0.574118543234973","0.630472116882401","3"
"Owner","1985","Urban Area","Male","1524","0.438965008467543","0.424166561405486","0.453763455529599","3"
"Owner","1985","Urban Area","Female","1520","0.39553751136075","0.381182442181653","0.409892580539848","3"
"Owner","1985","Rural Area","Male","677","0.652530410011775","0.62465610399463","0.68040471602892","3"
"Sub-Tenant","1985","Rural Area","Male","14","","","","2"
"Sub-Tenant","1985","Urban Area","Male","73","0.0146773481753104","0.011091274156329","0.0182634221942918","2"
"Sub-Tenant","1985","Urban Area","Female","59","0.0130154000044445","0.00968795625749961","0.0163428437513894","2"
"Sub-Tenant","1985","Rural Area","Female","10","","","","2"
"Tenant","1985","Urban Area","Male","","","","","5"
"Tenant","1985","Urban Area","Female","","","","","5"
"Tenant","1985","Rural Area","Male","","","","","5"
"Tenant","1985","Rural Area","Female","","","","","5"
"Main Tenant","1986","Urban Area","Male","2576","0.542042769950014","0.526960500617985","0.557125039282043","1"
"Main Tenant","1986","Urban Area","Female","2667","0.582162537851017","0.567348580924047","0.596976494777987","1"
"Main Tenant","1986","Rural Area","Male","389","0.330547635568061","0.302335281084372","0.35875999005175","1"
"Main Tenant","1986","Rural Area","Female","430","0.386005087789316","0.357378475093261","0.414631700485372","1"
"Nursing Home/Retirement Community","1986","Rural Area","Male","","","","","4"
"Nursing Home/Retirement Community","1986","Urban Area","Female","","","","","4"
"Nursing Home/Retirement Community","1986","Urban Area","Male","","","","","4"
"Nursing Home/Retirement Community","1986","Rural Area","Female","","","","","4"
"Owner","1986","Rural Area","Female","658","0.594890914242684","0.566024308456393","0.623757520028974","3"
"Owner","1986","Urban Area","Female","1524","0.402249159100509","0.387520848551055","0.416977469649963","3"
"Owner","1986","Rural Area","Male","657","0.654974248333441","0.626464043824676","0.683484452842206","3"
"Owner","1986","Urban Area","Male","1530","0.438610941665988","0.423589585049019","0.453632298282957","3"
"Sub-Tenant","1986","Rural Area","Male","22","","","","2"
"Sub-Tenant","1986","Rural Area","Female","23","","","","2"
"Sub-Tenant","1986","Urban Area","Male","86","0.0193462883839982","0.0151766910066132","0.0235158857613831","2"
"Sub-Tenant","1986","Urban Area","Female","67","0.0155883030484735","0.0118675309886794","0.0193090751082677","2"
"Tenant","1986","Urban Area","Male","","","","","5"
"Tenant","1986","Urban Area","Female","","","","","5"
"Tenant","1986","Rural Area","Male","","","","","5"
"Tenant","1986","Rural Area","Female","","","","","5"
"Main Tenant","1987","Urban Area","Male","2504","0.534613852688547","0.519439905989305","0.549787799387789","1"
"Main Tenant","1987","Rural Area","Female","450","0.38395377744243","0.355342798124192","0.412564756760667","1"
"Main Tenant","1987","Urban Area","Female","2593","0.5801200056664","0.56517971775937","0.595060293573429","1"
"Main Tenant","1987","Rural Area","Male","414","0.339809630096931","0.311160867059714","0.368458393134148","1"
"Nursing Home/Retirement Community","1987","Urban Area","Male","","","","","4"
"Nursing Home/Retirement Community","1987","Urban Area","Female","","","","","4"
"Nursing Home/Retirement Community","1987","Rural Area","Male","","","","","4"
"Nursing Home/Retirement Community","1987","Rural Area","Female","","","","","4"
"Owner","1987","Rural Area","Female","639","0.591742912983273","0.562828125778011","0.620657700188536","3"
"Owner","1987","Rural Area","Male","620","0.644746105403952","0.61579819438017","0.673694016427734","3"
"Owner","1987","Urban Area","Male","1553","0.44240498980678","0.42729580017338","0.457514179440181","3"
"Owner","1987","Urban Area","Female","1523","0.400628078949178","0.385794144925102","0.415462012973254","3"
"Sub-Tenant","1987","Rural Area","Female","21","","","","2"
"Sub-Tenant","1987","Urban Area","Female","76","0.0192519153844221","0.0150923001468414","0.0234115306220027","2"
"Sub-Tenant","1987","Urban Area","Male","94","0.0229811575046728","0.0184227920178388","0.0275395229915068","2"
"Sub-Tenant","1987","Rural Area","Male","16","","","","2"
"Tenant","1987","Urban Area","Male","","","","","5"
"Tenant","1987","Urban Area","Female","","","","","5"
"Tenant","1987","Rural Area","Male","","","","","5"
"Tenant","1987","Rural Area","Female","","","","","5"
"Main Tenant","1988","Urban Area","Male","2390","0.526190133912575","0.510642501804973","0.541737766020178","1"
"Main Tenant","1988","Rural Area","Female","429","0.392379770691098","0.362589279841184","0.422170261541013","1"
"Main Tenant","1988","Urban Area","Female","2508","0.577456250278261","0.562211182335489","0.592701318221032","1"
"Main Tenant","1988","Rural Area","Male","393","0.337591275142293","0.30813423390213","0.367048316382457","1"
"Nursing Home/Retirement Community","1988","Rural Area","Male","","","","","4"
"Nursing Home/Retirement Community","1988","Urban Area","Female","","","","","4"
"Nursing Home/Retirement Community","1988","Urban Area","Male","","","","","4"
"Nursing Home/Retirement Community","1988","Rural Area","Female","","","","","4"
"Owner","1988","Rural Area","Female","584","0.586649110179537","0.556605169974912","0.616693050384162","3"
"Owner","1988","Rural Area","Male","573","0.634303586727512","0.604302331355175","0.664304842099848","3"
"Owner","1988","Urban Area","Male","1497","0.452104020452842","0.436606611384793","0.467601429520891","3"
"Owner","1988","Urban Area","Female","1448","0.397470517099633","0.382367086955513","0.412573947243754","3"
"Sub-Tenant","1988","Urban Area","Female","77","0.0250732326221061","0.0202479234823733","0.0298985417618388","2"
"Sub-Tenant","1988","Rural Area","Male","24","","","","2"
"Sub-Tenant","1988","Rural Area","Female","19","","","","2"
"Sub-Tenant","1988","Urban Area","Male","75","0.0217058456345829","0.0171683738265827","0.0262433174425831","2"
"Tenant","1988","Urban Area","Male","","","","","5"
"Tenant","1988","Urban Area","Female","","","","","5"
"Tenant","1988","Rural Area","Male","","","","","5"
"Tenant","1988","Rural Area","Female","","","","","5"
"Main Tenant","1989","Rural Area","Female","402","0.382884909139653","0.352310668163147","0.41345915011616","1"
"Main Tenant","1989","Urban Area","Male","2281","0.519409094702546","0.503581873384339","0.535236316020754","1"
