"hlf0001_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","Full Time","in school","1","","",""
"Main Tenant","1984","Full Time","inadequately","473","0.869877993071507","0.840877367385081","0.898878618757932"
"Main Tenant","1984","Full Time","general elemantary","803","0.536124403916657","0.50742633677598","0.564822471057335"
"Main Tenant","1984","Full Time","middle vocational","1752","0.528452050814862","0.510453602202274","0.54645049942745"
"Main Tenant","1984","Full Time","vocational + Abi","125","0.568193635430142","0.49583263868588","0.640554632174403"
"Main Tenant","1984","Full Time","higher vocational","159","0.424778939882374","0.374137455651641","0.475420424113107"
"Main Tenant","1984","Full Time","higher education","233","0.468887407138569","0.42367550817116","0.514099306105978"
"Main Tenant","1984","Part Time","in school","4","","",""
"Main Tenant","1984","Part Time","inadequately","111","0.796603102115749","0.725176278903731","0.868029925327766"
"Main Tenant","1984","Part Time","general elemantary","335","0.514548349713279","0.472741445968311","0.556355253458246"
"Main Tenant","1984","Part Time","middle vocational","507","0.532728835534272","0.499764498329203","0.565693172739342"
"Main Tenant","1984","Part Time","vocational + Abi","35","0.603956024356288","0.469729802033603","0.738182246678972"
"Main Tenant","1984","Part Time","higher vocational","52","0.458685392259682","0.364709049129545","0.552661735389819"
"Main Tenant","1984","Part Time","higher education","94","0.533069939469846","0.456945495677918","0.609194383261774"
"Main Tenant","1984","Not Working","in school","79","0.381752155662287","0.310383068122888","0.453121243201686"
"Main Tenant","1984","Not Working","inadequately","349","0.759708914957167","0.716750452068346","0.802667377845987"
"Main Tenant","1984","Not Working","general elemantary","921","0.476049833125608","0.452710611316906","0.49938905493431"
"Main Tenant","1984","Not Working","middle vocational","1036","0.538784239817109","0.516310430056807","0.561258049577411"
"Main Tenant","1984","Not Working","vocational + Abi","55","0.632709715484417","0.527728268725408","0.737691162243426"
"Main Tenant","1984","Not Working","higher vocational","94","0.501810430841091","0.429955135910511","0.57366572577167"
"Main Tenant","1984","Not Working","higher education","87","0.509972427929273","0.432513459972417","0.587431395886129"
"Sub-Tenant","1984","Full Time","in school","","","",""
"Sub-Tenant","1984","Full Time","inadequately","20","","",""
"Sub-Tenant","1984","Full Time","general elemantary","21","","",""
"Sub-Tenant","1984","Full Time","middle vocational","29","","",""
"Sub-Tenant","1984","Full Time","vocational + Abi","2","","",""
"Sub-Tenant","1984","Full Time","higher vocational","4","","",""
"Sub-Tenant","1984","Full Time","higher education","3","","",""
"Sub-Tenant","1984","Part Time","in school","","","",""
"Sub-Tenant","1984","Part Time","inadequately","2","","",""
"Sub-Tenant","1984","Part Time","general elemantary","5","","",""
"Sub-Tenant","1984","Part Time","middle vocational","15","","",""
"Sub-Tenant","1984","Part Time","vocational + Abi","","","",""
"Sub-Tenant","1984","Part Time","higher vocational","2","","",""
"Sub-Tenant","1984","Part Time","higher education","3","","",""
"Sub-Tenant","1984","Not Working","in school","","","",""
"Sub-Tenant","1984","Not Working","inadequately","2","","",""
"Sub-Tenant","1984","Not Working","general elemantary","20","","",""
"Sub-Tenant","1984","Not Working","middle vocational","18","","",""
"Sub-Tenant","1984","Not Working","vocational + Abi","4","","",""
"Sub-Tenant","1984","Not Working","higher vocational","1","","",""
"Sub-Tenant","1984","Not Working","higher education","2","","",""
"Owner","1984","Full Time","in school","","","",""
"Owner","1984","Full Time","inadequately","22","","",""
"Owner","1984","Full Time","general elemantary","334","0.445765077600518","0.417161585300811","0.474368569900226"
"Owner","1984","Full Time","middle vocational","1168","0.462694433919336","0.444717022573748","0.480671845264924"
"Owner","1984","Full Time","vocational + Abi","53","0.423665064392987","0.351477791022521","0.495852337763453"
"Owner","1984","Full Time","higher vocational","202","0.563413422065083","0.512602586971695","0.614224257158472"
"Owner","1984","Full Time","higher education","231","0.52260807962235","0.477354727323641","0.567861431921059"
"Owner","1984","Part Time","in school","4","","",""
"Owner","1984","Part Time","inadequately","9","","",""
"Owner","1984","Part Time","general elemantary","208","0.478814341724907","0.437027290822776","0.520601392627038"
"Owner","1984","Part Time","middle vocational","357","0.452024522535365","0.419141758585886","0.484907286484844"
"Owner","1984","Part Time","vocational + Abi","15","","",""
"Owner","1984","Part Time","higher vocational","54","0.518175557381483","0.423939070195722","0.612412044567243"
"Owner","1984","Part Time","higher education","68","0.452880174801141","0.376928212353282","0.528832137248999"
"Owner","1984","Not Working","in school","98","0.61177161748309","0.540177656063269","0.683365578902912"
"Owner","1984","Not Working","inadequately","25","","",""
"Owner","1984","Not Working","general elemantary","813","0.510052912764673","0.486691592818288","0.533414232711059"
"Owner","1984","Not Working","middle vocational","830","0.447223061451464","0.424807261496126","0.469638861406802"
"Owner","1984","Not Working","vocational + Abi","21","","",""
"Owner","1984","Not Working","higher vocational","91","0.489241009324069","0.417401880735426","0.561080137912712"
"Owner","1984","Not Working","higher education","71","0.474543315261658","0.397169414806971","0.551917215716344"
"Nursing Home/Retirement Community","1984","Full Time","in school","","","",""
"Nursing Home/Retirement Community","1984","Full Time","inadequately","","","",""
"Nursing Home/Retirement Community","1984","Full Time","general elemantary","","","",""
"Nursing Home/Retirement Community","1984","Full Time","middle vocational","","","",""
"Nursing Home/Retirement Community","1984","Full Time","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1984","Full Time","higher vocational","","","",""
"Nursing Home/Retirement Community","1984","Full Time","higher education","","","",""
"Nursing Home/Retirement Community","1984","Part Time","in school","","","",""
"Nursing Home/Retirement Community","1984","Part Time","inadequately","","","",""
"Nursing Home/Retirement Community","1984","Part Time","general elemantary","","","",""
"Nursing Home/Retirement Community","1984","Part Time","middle vocational","","","",""
"Nursing Home/Retirement Community","1984","Part Time","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1984","Part Time","higher vocational","","","",""
"Nursing Home/Retirement Community","1984","Part Time","higher education","","","",""
"Nursing Home/Retirement Community","1984","Not Working","in school","","","",""
"Nursing Home/Retirement Community","1984","Not Working","inadequately","","","",""
"Nursing Home/Retirement Community","1984","Not Working","general elemantary","","","",""
"Nursing Home/Retirement Community","1984","Not Working","middle vocational","","","",""
"Nursing Home/Retirement Community","1984","Not Working","vocational + Abi","","","",""
"Nursing Home/Retirement Community","1984","Not Working","higher vocational","","","",""
"Nursing Home/Retirement Community","1984","Not Working","higher education","","","",""
"Tenant","1984","Full Time","in school","","","",""
"Tenant","1984","Full Time","inadequately","2","","",""
"Tenant","1984","Full Time","general elemantary","2","","",""
"Tenant","1984","Full Time","middle vocational","6","","",""
"Tenant","1984","Full Time","vocational + Abi","","","",""
"Tenant","1984","Full Time","higher vocational","1","","",""
"Tenant","1984","Full Time","higher education","1","","",""
"Tenant","1984","Part Time","in school","","","",""
"Tenant","1984","Part Time","inadequately","","","",""
"Tenant","1984","Part Time","general elemantary","1","","",""
"Tenant","1984","Part Time","middle vocational","1","","",""
"Tenant","1984","Part Time","vocational + Abi","1","","",""
"Tenant","1984","Part Time","higher vocational","","","",""
"Tenant","1984","Part Time","higher education","","","",""
"Tenant","1984","Not Working","in school","1","","",""
"Tenant","1984","Not Working","inadequately","4","","",""
"Tenant","1984","Not Working","general elemantary","5","","",""
"Tenant","1984","Not Working","middle vocational","6","","",""
"Tenant","1984","Not Working","vocational + Abi","1","","",""
"Tenant","1984","Not Working","higher vocational","","","",""
"Tenant","1984","Not Working","higher education","","","",""
"Main Tenant","1985","Full Time","in school","","","",""
"Main Tenant","1985","Full Time","inadequately","362","0.820879979234251","0.783580997859914","0.858178960608587"
"Main Tenant","1985","Full Time","general elemantary","679","0.528465043004636","0.497525551576268","0.559404534433005"
"Main Tenant","1985","Full Time","middle vocational","1467","0.519016316514298","0.499684376336672","0.538348256691923"
"Main Tenant","1985","Full Time","vocational + Abi","100","0.587351965152889","0.508567323286417","0.666136607019362"
"Main Tenant","1985","Full Time","higher vocational","157","0.456857362671378","0.404445376691215","0.509269348651542"
"Main Tenant","1985","Full Time","higher education","232","0.488013502625366","0.4424829660498","0.533544039200932"
"Main Tenant","1985","Part Time","in school","4","","",""
"Main Tenant","1985","Part Time","inadequately","94","0.816870144357115","0.74144025123481","0.89230003747942"
"Main Tenant","1985","Part Time","general elemantary","326","0.516360385926463","0.474014756623966","0.55870601522896"
"Main Tenant","1985","Part Time","middle vocational","501","0.527564889619411","0.494930366522798","0.560199412716023"
"Main Tenant","1985","Part Time","vocational + Abi","34","0.62569568592997","0.490194203168138","0.761197168691801"
"Main Tenant","1985","Part Time","higher vocational","54","0.510216711811694","0.414600229416502","0.605833194206885"
"Main Tenant","1985","Part Time","higher education","79","0.52602580803954","0.444471347659059","0.607580268420022"
"Main Tenant","1985","Not Working","in school","81","0.358596873357028","0.288339750436989","0.428853996277067"
"Main Tenant","1985","Not Working","inadequately","305","0.721073386300352","0.673543174615364","0.768603597985341"
"Main Tenant","1985","Not Working","general elemantary","807","0.491283653490059","0.466282704920743","0.516284602059376"
"Main Tenant","1985","Not Working","middle vocational","931","0.542091262747898","0.518525114122161","0.565657411373634"
"Main Tenant","1985","Not Working","vocational + Abi","53","0.677074508803583","0.573963759834231","0.780185257772936"
"Main Tenant","1985","Not Working","higher vocational","78","0.495234662262181","0.419630844031333","0.570838480493029"
"Main Tenant","1985","Not Working","higher education","76","0.48218679850084","0.40195451109942","0.56241908590226"
