"hlf0001_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","West Germany","Male","3567","0.49874791575162","0.486095387879539","0.5114004436237","1"
"Main Tenant","1984","West Germany","Female","3796","0.539596053455372","0.527221251141368","0.551970855769376","1"
"Main Tenant","1984","East Germany","Male","","","","","1"
"Main Tenant","1984","East Germany","Female","","","","","1"
"Nursing Home/Retirement Community","1984","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1984","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1984","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1984","East Germany","Female","","","","","4"
"Owner","1984","West Germany","Male","2323","0.48656026613295","0.473912270192097","0.499208262073803","3"
"Owner","1984","East Germany","Female","","","","","3"
"Owner","1984","East Germany","Male","","","","","3"
"Owner","1984","West Germany","Female","2360","0.448743432449644","0.436395043234878","0.461091821664409","3"
"Sub-Tenant","1984","West Germany","Female","61","0.00965612281256169","0.00722823413655298","0.0120840114885704","2"
"Sub-Tenant","1984","East Germany","Male","","","","","2"
"Sub-Tenant","1984","East Germany","Female","","","","","2"
"Sub-Tenant","1984","West Germany","Male","92","0.0124876782329895","0.00967758472509464","0.0152977717408844","2"
"Tenant","1984","West Germany","Male","17","","","","5"
"Tenant","1984","West Germany","Female","15","","","","5"
"Tenant","1984","East Germany","Male","","","","","5"
"Tenant","1984","East Germany","Female","","","","","5"
"Main Tenant","1985","West Germany","Male","3153","0.49585381454359","0.482568745980637","0.509138883106543","1"
"Main Tenant","1985","West Germany","Female","3352","0.544008779588566","0.530982639745601","0.557034919431532","1"
"Main Tenant","1985","East Germany","Male","","","","","1"
"Main Tenant","1985","East Germany","Female","","","","","1"
"Nursing Home/Retirement Community","1985","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1985","West Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1985","East Germany","Female","","","","","4"
"Nursing Home/Retirement Community","1985","West Germany","Male","","","","","4"
"Owner","1985","East Germany","Female","","","","","3"
"Owner","1985","West Germany","Male","2201","0.489770141551728","0.476487397153489","0.503052885949967","3"
"Owner","1985","West Germany","Female","2195","0.443882935708592","0.430888665990731","0.456877205426454","3"
"Owner","1985","East Germany","Male","","","","","3"
"Sub-Tenant","1985","West Germany","Male","87","0.0143760439046819","0.011213154192402","0.0175389336169617","2"
"Sub-Tenant","1985","East Germany","Male","","","","","2"
"Sub-Tenant","1985","West Germany","Female","69","0.0121082847028414","0.00924785996610251","0.0149687094395803","2"
"Sub-Tenant","1985","East Germany","Female","","","","","2"
"Tenant","1985","West Germany","Male","","","","","5"
"Tenant","1985","West Germany","Female","","","","","5"
"Tenant","1985","East Germany","Male","","","","","5"
"Tenant","1985","East Germany","Female","","","","","5"
"Main Tenant","1986","West Germany","Male","2965","0.492719356342831","0.479208615101236","0.506230097584426","1"
"Main Tenant","1986","East Germany","Female","","","","","1"
"Main Tenant","1986","West Germany","Female","3097","0.536553875080217","0.523215353845612","0.549892396314821","1"
"Main Tenant","1986","East Germany","Male","","","","","1"
"Nursing Home/Retirement Community","1986","West Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1986","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","1986","West Germany","Female","","","","","4"
