"hlf0001_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1985","16-34 y.","Urban Area","2366","0.640692713971832","0.624418583778531","0.656966844165134","1"
"Main Tenant","1985","16-34 y.","Rural Area","379","0.404500503223845","0.37105054584216","0.43795046060553","1"
"Main Tenant","1985","35-65 y.","Urban Area","2758","0.506460667014586","0.492020672775489","0.520900661253683","1"
"Main Tenant","1985","35-65 y.","Rural Area","407","0.291477943051321","0.265460547447773","0.317495338654869","1"
"Main Tenant","1985","66 and older","Urban Area","477","0.615493141003247","0.582457005044532","0.648529276961963","1"
"Main Tenant","1985","66 and older","Rural Area","118","0.47090160945231","0.412539868485155","0.529263350419465","1"
"Nursing Home/Retirement Community","1985","35-65 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","16-34 y.","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","16-34 y.","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","Rural Area","","","","","4"
"Owner","1985","16-34 y.","Urban Area","906","0.338443481179955","0.322393799072393","0.354493163287517","3"
"Owner","1985","35-65 y.","Urban Area","1792","0.484061714458306","0.469627853441519","0.498495575475094","3"
"Owner","1985","16-34 y.","Rural Area","443","0.588531130875111","0.5549922514795","0.622070010270722","3"
"Owner","1985","35-65 y.","Rural Area","751","0.698272238243023","0.671993512123929","0.724550964362118","3"
"Owner","1985","66 and older","Urban Area","346","0.372213243314328","0.339386516882807","0.40503996974585","3"
"Owner","1985","66 and older","Rural Area","158","0.508668572114359","0.450216534348173","0.567120609880544","3"
"Sub-Tenant","1985","16-34 y.","Rural Area","5","","","","2"
"Sub-Tenant","1985","16-34 y.","Urban Area","67","0.0208638048482128","0.0160158542009934","0.0257117554954322","2"
