"hlf0001_h","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","16-34 y.","3134","0.596045320061425","0.581877670076225","0.610212970046625","1"
"Main Tenant","1984","35-65 y.","3569","0.460230737938513","0.447965029968034","0.472496445908992","1"
"Main Tenant","1984","66 and older","660","0.547336234989112","0.520067934441917","0.574604535536307","1"
"Nursing Home/Retirement Community","1984","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","","","","","4"
"Owner","1984","16-34 y.","1389","0.386891024629928","0.372828767974945","0.400953281284911","3"
"Owner","1984","66 and older","597","0.433840167500215","0.406689687449505","0.460990647550925","3"
"Owner","1984","35-65 y.","2697","0.531383014173767","0.519102583932921","0.543663444414612","3"
"Sub-Tenant","1984","16-34 y.","74","0.0151977151106489","0.0116654318015813","0.0187299984197165","2"
"Sub-Tenant","1984","35-65 y.","62","0.00676427052949799","0.00474712428271237","0.00878141677628361","2"
"Sub-Tenant","1984","66 and older","17","","","","2"
"Tenant","1984","16-34 y.","11","","","","5"
"Tenant","1984","35-65 y.","15","","","","5"
"Tenant","1984","66 and older","6","","","","5"
"Main Tenant","1985","16-34 y.","2745","0.586915956270028","0.57196408234407","0.601867830195985","1"
"Main Tenant","1985","35-65 y.","3165","0.456459657880991","0.443615252638376","0.469304063123606","1"
"Main Tenant","1985","66 and older","595","0.577925181468088","0.548922642042887","0.606927720893289","1"
"Nursing Home/Retirement Community","1985","35-65 y.","","","","","4"
"Nursing Home/Retirement Community","1985","16-34 y.","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","","","","","4"
"Owner","1985","16-34 y.","1349","0.395383982728585","0.380537013166362","0.410230952290809","3"
"Owner","1985","35-65 y.","2543","0.53388312409912","0.521019379249956","0.546746868948283","3"
"Owner","1985","66 and older","504","0.407667244082765","0.378810901905295","0.436523586260235","3"
"Sub-Tenant","1985","35-65 y.","69","0.00965721801988903","0.0071353886658467","0.0121790473739314","2"
"Sub-Tenant","1985","16-34 y.","72","0.0177000610013871","0.0136960256949381","0.0217040963078361","2"
"Sub-Tenant","1985","66 and older","15","","","","2"
"Tenant","1985","16-34 y.","","","","","5"
"Tenant","1985","35-65 y.","","","","","5"
"Tenant","1985","66 and older","","","","","5"
