"hlf0001_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","16-34 y.","no migration background","1791","0.567558442941748","0.550146914283544","0.584969971599953","1"
"Main Tenant","1984","16-34 y.","direct migration background","1269","0.830489043146792","0.810806952705619","0.850171133587966","1"
"Main Tenant","1984","16-34 y.","indirect migration background","74","0.622910038411957","0.52885476382151","0.716965313002405","1"
"Main Tenant","1984","35-65 y.","no migration background","1832","0.425688434777904","0.410971303599314","0.440405565956494","1"
"Main Tenant","1984","35-65 y.","direct migration background","1723","0.725634214024916","0.706010449619599","0.745257978430233","1"
"Main Tenant","1984","35-65 y.","indirect migration background","14","","","","1"
"Main Tenant","1984","66 and older","no migration background","636","0.547993071449376","0.520291951479915","0.575694191418837","1"
"Main Tenant","1984","66 and older","direct migration background","22","","","","1"
"Main Tenant","1984","66 and older","indirect migration background","2","","","","1"
"Nursing Home/Retirement Community","1984","16-34 y.","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1984","16-34 y.","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","no migration background","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1984","16-34 y.","no migration background","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","no migration background","","","","","4"
"Owner","1984","66 and older","direct migration background","12","","","","3"
"Owner","1984","16-34 y.","indirect migration background","26","","","","3"
"Owner","1984","66 and older","no migration background","584","0.435117551025279","0.407523237791318","0.462711864259239","3"
"Owner","1984","35-65 y.","indirect migration background","7","","","","3"
"Owner","1984","66 and older","indirect migration background","1","","","","3"
"Owner","1984","16-34 y.","no migration background","1274","0.417417582773254","0.400086250343503","0.434748915203005","3"
"Owner","1984","16-34 y.","direct migration background","89","0.134918540997271","0.116997233073426","0.152839848921115","3"
"Owner","1984","35-65 y.","no migration background","2478","0.56803975847721","0.553295779296383","0.582783737658037","3"
"Owner","1984","35-65 y.","direct migration background","212","0.249253585009447","0.230228534905923","0.268278635112971","3"
"Sub-Tenant","1984","66 and older","no migration background","15","","","","2"
"Sub-Tenant","1984","16-34 y.","indirect migration background","2","","","","2"
"Sub-Tenant","1984","16-34 y.","direct migration background","32","0.0299057889661281","0.0209708833225589","0.0388406946096973","2"
"Sub-Tenant","1984","16-34 y.","no migration background","40","0.0134821909872606","0.00942896704946031","0.017535414925061","2"
"Sub-Tenant","1984","35-65 y.","indirect migration background","","","","","2"
"Sub-Tenant","1984","35-65 y.","direct migration background","41","0.0195372106039168","0.0134501825134962","0.0256242386943373","2"
"Sub-Tenant","1984","66 and older","indirect migration background","2","","","","2"
"Sub-Tenant","1984","35-65 y.","no migration background","21","","","","2"
"Sub-Tenant","1984","66 and older","direct migration background","","","","","2"
"Tenant","1984","35-65 y.","direct migration background","10","","","","5"
"Tenant","1984","16-34 y.","no migration background","5","","","","5"
"Tenant","1984","35-65 y.","no migration background","5","","","","5"
"Tenant","1984","16-34 y.","indirect migration background","","","","","5"
"Tenant","1984","16-34 y.","direct migration background","6","","","","5"
"Tenant","1984","35-65 y.","indirect migration background","","","","","5"
"Tenant","1984","66 and older","no migration background","5","","","","5"
"Tenant","1984","66 and older","direct migration background","1","","","","5"
"Tenant","1984","66 and older","indirect migration background","","","","","5"
"Main Tenant","1985","16-34 y.","no migration background","1622","0.560780108901992","0.54270166244746","0.578858555356523","1"
"Main Tenant","1985","16-34 y.","direct migration background","1029","0.809574479150203","0.786881571201394","0.832267387099013","1"
"Main Tenant","1985","16-34 y.","indirect migration background","94","0.696231677862065","0.61429024824603","0.7781731074781","1"
"Main Tenant","1985","35-65 y.","no migration background","1654","0.422171808280186","0.4068772620579","0.437466354502473","1"
"Main Tenant","1985","35-65 y.","direct migration background","1498","0.712077782632726","0.690881561586081","0.733274003679372","1"
"Main Tenant","1985","35-65 y.","indirect migration background","13","","","","1"
"Main Tenant","1985","66 and older","no migration background","569","0.578543490126313","0.548984126017259","0.608102854235366","1"
"Main Tenant","1985","66 and older","direct migration background","22","","","","1"
"Main Tenant","1985","66 and older","indirect migration background","4","","","","1"
"Nursing Home/Retirement Community","1985","16-34 y.","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1985","16-34 y.","no migration background","","","","","4"
"Nursing Home/Retirement Community","1985","16-34 y.","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","no migration background","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","no migration background","","","","","4"
"Owner","1985","16-34 y.","direct migration background","97","0.168728851085502","0.147083471845761","0.190374230325242","3"
"Owner","1985","16-34 y.","indirect migration background","27","","","","3"
"Owner","1985","66 and older","no migration background","489","0.407511841771964","0.378097397181741","0.436926286362187","3"
"Owner","1985","66 and older","direct migration background","14","","","","3"
"Owner","1985","35-65 y.","indirect migration background","5","","","","3"
"Owner","1985","16-34 y.","no migration background","1225","0.421760039156724","0.403770892095043","0.439749186218406","3"
"Owner","1985","66 and older","indirect migration background","1","","","","3"
"Owner","1985","35-65 y.","no migration background","2325","0.570279927653491","0.55495037499733","0.585609480309652","3"
"Owner","1985","35-65 y.","direct migration background","213","0.261966317726314","0.24138287799979","0.282549757452838","3"
"Sub-Tenant","1985","66 and older","no migration background","14","","","","2"
"Sub-Tenant","1985","16-34 y.","indirect migration background","","","","","2"
"Sub-Tenant","1985","35-65 y.","indirect migration background","","","","","2"
"Sub-Tenant","1985","16-34 y.","no migration background","48","0.0174598519412841","0.0126887440458783","0.0222309598366899","2"
"Sub-Tenant","1985","16-34 y.","direct migration background","24","","","","2"
"Sub-Tenant","1985","35-65 y.","direct migration background","42","0.0259558996409601","0.0185126174177422","0.0333991818641779","2"
"Sub-Tenant","1985","35-65 y.","no migration background","27","","","","2"
"Sub-Tenant","1985","66 and older","indirect migration background","","","","","2"
"Sub-Tenant","1985","66 and older","direct migration background","1","","","","2"
