"hlf0001_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","no migration background","Male","1926","0.467101037746104","0.451868416729603","0.482333658762605","1"
"Main Tenant","1984","no migration background","Female","2333","0.51931610852669","0.504822604973094","0.533809612080286","1"
"Main Tenant","1984","direct migration background","Male","1596","0.769286167504241","0.749909863155684","0.788662471852797","1"
"Main Tenant","1984","direct migration background","Female","1418","0.745851529334859","0.724524892787219","0.767178165882498","1"
"Main Tenant","1984","indirect migration background","Male","45","0.552707041971764","0.42894263201943","0.676471451924097","1"
"Main Tenant","1984","indirect migration background","Female","45","0.648096915243684","0.532882283157076","0.763311547330291","1"
"Nursing Home/Retirement Community","1984","no migration background","Male","","","","","4"
"Nursing Home/Retirement Community","1984","no migration background","Female","","","","","4"
"Nursing Home/Retirement Community","1984","direct migration background","Male","","","","","4"
"Nursing Home/Retirement Community","1984","direct migration background","Female","","","","","4"
"Nursing Home/Retirement Community","1984","indirect migration background","Male","","","","","4"
"Nursing Home/Retirement Community","1984","indirect migration background","Female","","","","","4"
"Owner","1984","no migration background","Female","2186","0.469893829275407","0.455415814988941","0.484371843561872","3"
"Owner","1984","no migration background","Male","2150","0.521375929132972","0.506124183965173","0.536627674300772","3"
"Owner","1984","direct migration background","Female","156","0.23618611300102","0.21538084188367","0.256991384118369","3"
"Owner","1984","direct migration background","Male","157","0.191077910075479","0.172995814609819","0.209160005541139","3"
"Owner","1984","indirect migration background","Male","16","","","","3"
"Owner","1984","indirect migration background","Female","18","","","","3"
"Sub-Tenant","1984","no migration background","Female","39","0.00935183030119736","0.00655969969271981","0.0121439609096749","2"
"Sub-Tenant","1984","no migration background","Male","37","0.00963489312548136","0.00665247932772289","0.0126173069232398","2"
"Sub-Tenant","1984","direct migration background","Male","54","0.0346384360133956","0.0262280813967377","0.0430487906300535","2"
"Sub-Tenant","1984","direct migration background","Female","19","","","","2"
"Sub-Tenant","1984","indirect migration background","Male","1","","","","2"
"Sub-Tenant","1984","indirect migration background","Female","3","","","","2"
"Tenant","1984","no migration background","Male","8","","","","5"
"Tenant","1984","no migration background","Female","7","","","","5"
"Tenant","1984","direct migration background","Male","9","","","","5"
"Tenant","1984","indirect migration background","Male","","","","","5"
"Tenant","1984","direct migration background","Female","8","","","","5"
"Tenant","1984","indirect migration background","Female","","","","","5"
"Main Tenant","1985","no migration background","Male","1738","0.46430471751114","0.448460377334037","0.480149057688243","1"
"Main Tenant","1985","no migration background","Female","2107","0.526496745818663","0.51133686907037","0.541656622566955","1"
"Main Tenant","1985","direct migration background","Male","1364","0.758741237635959","0.737571035178053","0.779911440093864","1"
"Main Tenant","1985","direct migration background","Female","1185","0.712580784194633","0.688625335097217","0.736536233292049","1"
"Main Tenant","1985","indirect migration background","Male","51","0.671662879267964","0.558367606490884","0.784958152045044","1"
"Main Tenant","1985","indirect migration background","Female","60","0.758766092020676","0.663820693160912","0.853711490880441","1"
"Nursing Home/Retirement Community","1985","no migration background","Male","","","","","4"
"Nursing Home/Retirement Community","1985","no migration background","Female","","","","","4"
"Nursing Home/Retirement Community","1985","direct migration background","Male","","","","","4"
"Nursing Home/Retirement Community","1985","direct migration background","Female","","","","","4"
"Nursing Home/Retirement Community","1985","indirect migration background","Male","","","","","4"
"Nursing Home/Retirement Community","1985","indirect migration background","Female","","","","","4"
"Owner","1985","no migration background","Male","2027","0.523462569755333","0.507595196983189","0.539329942527476","3"
"Owner","1985","no migration background","Female","2012","0.461651805279216","0.446515313114785","0.476788297443647","3"
"Owner","1985","direct migration background","Male","159","0.207828504404189","0.187751506159136","0.227905502649242","3"
"Owner","1985","direct migration background","Female","165","0.27178009225367","0.248231255550334","0.295328928957006","3"
"Owner","1985","indirect migration background","Male","15","","","","3"
"Owner","1985","indirect migration background","Female","18","","","","3"
"Sub-Tenant","1985","no migration background","Male","41","0.0122327127335273","0.00874048620442918","0.0157249392626254","2"
"Sub-Tenant","1985","direct migration background","Male","46","0.0334302579598523","0.0245357263895556","0.0423247895301491","2"
"Sub-Tenant","1985","no migration background","Female","48","0.0118514489021215","0.00856570898339278","0.0151371888208502","2"
"Sub-Tenant","1985","direct migration background","Female","21","","","","2"
"Sub-Tenant","1985","indirect migration background","Male","","","","","2"
"Sub-Tenant","1985","indirect migration background","Female","","","","","2"
"Tenant","1985","no migration background","Male","","","","","5"
"Tenant","1985","no migration background","Female","","","","","5"
"Tenant","1985","direct migration background","Male","","","","","5"
"Tenant","1985","direct migration background","Female","","","","","5"
"Tenant","1985","indirect migration background","Male","","","","","5"
"Tenant","1985","indirect migration background","Female","","","","","5"
"Main Tenant","1986","no migration background","Male","1597","0.458325351464558","0.44216101603619","0.474489686892927","1"
