"hlf0001_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","16-34 y.","Not Employed","977","0.554649863630203","0.529388728802026","0.57991099845838","1"
"Main Tenant","1984","16-34 y.","Employed","2157","0.614647444423628","0.597573126309896","0.63172176253736","1"
"Main Tenant","1984","35-65 y.","Not Employed","1034","0.447835659928336","0.425820919493275","0.469850400363397","1"
"Main Tenant","1984","35-65 y.","Employed","2535","0.466675087327863","0.451905593901269","0.481444580754457","1"
"Main Tenant","1984","66 and older","Not Employed","635","0.55357348492035","0.525632356962616","0.581514612878085","1"
"Main Tenant","1984","66 and older","Employed","25","","","","1"
"Nursing Home/Retirement Community","1984","16-34 y.","Not Employed","","","","","4"
"Nursing Home/Retirement Community","1984","16-34 y.","Employed","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","Not Employed","","","","","4"
"Nursing Home/Retirement Community","1984","35-65 y.","Employed","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","Not Employed","","","","","4"
"Nursing Home/Retirement Community","1984","66 and older","Employed","","","","","4"
"Owner","1984","16-34 y.","Employed","902","0.367033028213693","0.350123001071142","0.383943055356245","3"
"Owner","1984","16-34 y.","Not Employed","487","0.431081183208263","0.405910367556707","0.456251998859818","3"
"Owner","1984","35-65 y.","Employed","1789","0.525459480026614","0.510676274239909","0.540242685813319","3"
"Owner","1984","35-65 y.","Not Employed","908","0.542776354822125","0.520721974671344","0.564830734972907","3"
"Owner","1984","66 and older","Not Employed","558","0.426724706761475","0.398925217922098","0.454524195600852","3"
"Owner","1984","66 and older","Employed","39","0.586353172242166","0.465696152866957","0.707010191617374","3"
"Sub-Tenant","1984","16-34 y.","Employed","55","0.0165289862299027","0.0120559223768764","0.021002050082929","2"
"Sub-Tenant","1984","16-34 y.","Not Employed","19","","","","2"
"Sub-Tenant","1984","35-65 y.","Not Employed","11","","","","2"
"Sub-Tenant","1984","35-65 y.","Employed","51","0.00692622735206295","0.00447094476766656","0.00938150993645934","2"
"Sub-Tenant","1984","66 and older","Not Employed","17","","","","2"
"Sub-Tenant","1984","66 and older","Employed","","","","","2"
"Tenant","1984","16-34 y.","Not Employed","4","","","","5"
