"hlf0001_h","year","sex","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","Male","3567","0.49874791575162","0.486095387879539","0.5114004436237"
"Main Tenant","1984","Female","3796","0.539596053455372","0.527221251141368","0.551970855769376"
"Sub-Tenant","1984","Male","92","0.0124876782329895","0.00967758472509464","0.0152977717408844"
"Sub-Tenant","1984","Female","61","0.00965612281256169","0.00722823413655298","0.0120840114885704"
"Owner","1984","Male","2323","0.48656026613295","0.473912270192097","0.499208262073803"
"Owner","1984","Female","2360","0.448743432449644","0.436395043234878","0.461091821664409"
"Nursing Home/Retirement Community","1984","Male","","","",""
"Nursing Home/Retirement Community","1984","Female","","","",""
"Tenant","1984","Male","17","","",""
"Tenant","1984","Female","15","","",""
"Main Tenant","1985","Male","3153","0.49585381454359","0.482568745980637","0.509138883106543"
"Main Tenant","1985","Female","3352","0.544008779588566","0.530982639745601","0.557034919431532"
"Sub-Tenant","1985","Male","87","0.0143760439046819","0.011213154192402","0.0175389336169617"
"Sub-Tenant","1985","Female","69","0.0121082847028414","0.00924785996610251","0.0149687094395803"
"Owner","1985","Male","2201","0.489770141551728","0.476487397153489","0.503052885949967"
"Owner","1985","Female","2195","0.443882935708592","0.430888665990731","0.456877205426454"
"Nursing Home/Retirement Community","1985","Male","","","",""
"Nursing Home/Retirement Community","1985","Female","","","",""
"Tenant","1985","Male","","","",""
"Tenant","1985","Female","","","",""
"Main Tenant","1986","Male","2965","0.492719356342831","0.479208615101236","0.506230097584426"
"Main Tenant","1986","Female","3097","0.536553875080217","0.523215353845612","0.549892396314821"
"Sub-Tenant","1986","Male","108","0.0182109673476516","0.014597444417242","0.0218244902780613"
"Sub-Tenant","1986","Female","90","0.0164057389599787","0.0130078648796535","0.0198036130403038"
"Owner","1986","Male","2187","0.489069676309517","0.475560731529558","0.502578621089476"
"Owner","1986","Female","2182","0.447040385959805","0.433741309729614","0.460339462189995"
"Nursing Home/Retirement Community","1986","Male","","","",""
"Nursing Home/Retirement Community","1986","Female","","","",""
"Tenant","1986","Male","","","",""
"Tenant","1986","Female","","","",""
"Main Tenant","1987","Male","2918","0.489790284404616","0.476204519052566","0.503376049756666"
"Main Tenant","1987","Female","3043","0.535019725893605","0.521594228296858","0.548445223490353"
"Sub-Tenant","1987","Male","110","0.0212469525999288","0.0173278236580877","0.02516608154177"
"Sub-Tenant","1987","Female","97","0.0204132737551704","0.0166069475490754","0.0242195999612654"
"Owner","1987","Male","2173","0.488962762995455","0.475377475589315","0.502548050401594"
"Owner","1987","Female","2162","0.444567000351224","0.431191418606855","0.457942582095593"
"Nursing Home/Retirement Community","1987","Male","","","",""
"Nursing Home/Retirement Community","1987","Female","","","",""
"Tenant","1987","Male","","","",""
"Tenant","1987","Female","","","",""
"Main Tenant","1988","Male","2783","0.483119863271674","0.469201757221449","0.497037969321899"
"Main Tenant","1988","Female","2937","0.53572624680656","0.521991619016467","0.549460874596652"
"Sub-Tenant","1988","Male","99","0.0231672503402816","0.0189773361897634","0.0273571644907998"
"Sub-Tenant","1988","Female","96","0.024148311148155","0.0199207134113758","0.0283759088849342"
"Owner","1988","Male","2070","0.493712886388044","0.479787942903656","0.507637829872432"
"Owner","1988","Female","2032","0.440125442045285","0.426454703747298","0.453796180343273"
"Nursing Home/Retirement Community","1988","Male","","","",""
"Nursing Home/Retirement Community","1988","Female","","","",""
"Tenant","1988","Male","","","",""
"Tenant","1988","Female","","","",""
"Main Tenant","1989","Male","2661","0.480114823529942","0.465951655177458","0.494277991882426"
"Main Tenant","1989","Female","2840","0.526864397847479","0.512918987127878","0.54080980856708"
"Sub-Tenant","1989","Male","94","0.0228261517555917","0.018592292560552","0.0270600109506314"
"Sub-Tenant","1989","Female","86","0.0217892838061558","0.0177114759823974","0.0258670916299141"
"Owner","1989","Male","2016","0.494518956460194","0.480345425670743","0.508692487249645"
"Owner","1989","Female","1993","0.449673803935061","0.435779142913845","0.463568464956278"
"Nursing Home/Retirement Community","1989","Male","","","",""
"Nursing Home/Retirement Community","1989","Female","","","",""
"Tenant","1989","Male","9","","",""
"Tenant","1989","Female","5","","",""
"Main Tenant","1990","Male","3924","0.518989936903277","0.507111863474374","0.530868010332179"
"Main Tenant","1990","Female","4253","0.5571071811103","0.545599143302864","0.568615218917736"
"Sub-Tenant","1990","Male","174","0.0258550439056262","0.0220821561158261","0.0296279316954262"
"Sub-Tenant","1990","Female","186","0.0291774973005609","0.0252782882640101","0.0330767063371118"
"Owner","1990","Male","2694","0.45400246625855","0.44216622244422","0.465838710072879"
"Owner","1990","Female","2712","0.413123796574498","0.401716153133146","0.424531440015851"
"Nursing Home/Retirement Community","1990","Male","","","",""
"Nursing Home/Retirement Community","1990","Female","","","",""
"Tenant","1990","Male","5","","",""
"Tenant","1990","Female","6","","",""
"Main Tenant","1991","Male","3802","0.517798934269905","0.505793753049973","0.529804115489838"
"Main Tenant","1991","Female","4128","0.556751655725116","0.545112661798334","0.568390649651898"
"Sub-Tenant","1991","Male","200","0.0300787113670783","0.0259750461791813","0.0341823765549753"
"Sub-Tenant","1991","Female","207","0.0322526743474867","0.0281133927027358","0.0363919559922375"
"Owner","1991","Male","2649","0.451591789706937","0.439635427753907","0.463548151659968"
"Owner","1991","Female","2657","0.409417396386436","0.397896544506444","0.420938248266428"
"Nursing Home/Retirement Community","1991","Male","","","",""
