"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","3.97","4","836","2.33","3","4.67","5.67","7","3.89","4.05","1","7","3.66666674613953","4"
"2005","16-34 y.","higher education","3.8","3.67","523","2.33","3","4.67","5.33","6.33","3.7","3.9","1","7","3.66666674613953","3.66666674613953"
"2005","16-34 y.","higher vocational","3.78","4","206","2","2.67","4.67","5.33","6.33","3.61","3.95","1","7","3.33333325386047","4"
"2005","16-34 y.","in school","3.76","3.67","650","2.33","3","4.67","5.33","6.67","3.67","3.85","1","7","3.66666674613953","3.66666674613953"
"2005","16-34 y.","inadequately","4.12","4.33","59","2","3","5","5.67","6.33","3.76","4.48","1","7","3.66666674613953","4.66666650772095"
"2005","16-34 y.","middle vocational","3.92","4","2337","2.33","3","4.67","5.33","6.67","3.87","3.97","1","7","3.66666674613953","4"
"2005","16-34 y.","vocational + Abi","3.87","4","439","2.33","3","4.67","5.33","7","3.76","3.98","1","7","3.66666674613953","4"
"2005","35-65 y.","general elemantary","4.28","4.33","827","2.67","3.33","5","6","7","4.2","4.36","1","7","4.33333349227905","4.33333349227905"
"2005","35-65 y.","higher education","3.8","3.67","2983","2","3","4.67","5.33","6.67","3.76","3.84","1","7","3.66666674613953","3.66666674613953"
"2005","35-65 y.","higher vocational","3.86","4","1098","2.33","3","4.67","5.33","6.33","3.79","3.93","1","7","3.66666674613953","4"
"2005","35-65 y.","in school","","","","","","","","","","","","","",""
"2005","35-65 y.","inadequately","4.28","4","129","2.33","3.33","5","6.33","7","4.04","4.52","1","7","4","4.66666650772095"
"2005","35-65 y.","middle vocational","4.06","4","5966","2.33","3.33","5","5.67","7","4.03","4.09","1","7","4","4"
"2005","35-65 y.","vocational + Abi","4.03","4","595","2.33","3","4.67","6","7","3.93","4.13","1","7","3.66666674613953","4"
"2005","66 and older","general elemantary","4.33","4.33","746","2.67","3.67","5.33","6","7","4.24","4.42","1","7","4","4.33333349227905"
"2005","66 and older","higher education","3.82","4","665","2","3","4.67","5.67","6.67","3.72","3.92","1","7","3.66666674613953","4"
"2005","66 and older","higher vocational","3.96","4","256","2.33","3","4.67","5.67","6.67","3.81","4.11","1","7","4","4.33333349227905"
"2005","66 and older","in school","","","","","","","","","","","","","",""
"2005","66 and older","inadequately","4.1","4.33","51","2","3","5","6","7","3.73","4.47","1.67","7","4","5"
"2005","66 and older","middle vocational","4.01","4","1968","2.33","3","5","5.67","7","3.95","4.07","1","7","4","4"
"2005","66 and older","vocational + Abi","3.66","3.67","102","2","3","4.33","5.33","7","3.41","3.91","1","7","3.66666674613953","4.33333349227905"
"2006","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","","","","","","",""
"2006","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2006","16-34 y.","in school","","","","","","","","","","","","","",""
"2006","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2006","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2006","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2006","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2006","35-65 y.","higher education","","","","","","","","","","","","","",""
"2006","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2006","35-65 y.","in school","","","","","","","","","","","","","",""
"2006","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2006","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2006","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2006","66 and older","general elemantary","","","","","","","","","","","","","",""
"2006","66 and older","higher education","","","","","","","","","","","","","",""
"2006","66 and older","higher vocational","","","","","","","","","","","","","",""
"2006","66 and older","in school","","","","","","","","","","","","","",""
"2006","66 and older","inadequately","","","","","","","","","","","","","",""
"2006","66 and older","middle vocational","","","","","","","","","","","","","",""
"2006","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2007","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2007","16-34 y.","higher education","","","","","","","","","","","","","",""
"2007","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2007","16-34 y.","in school","","","","","","","","","","","","","",""
"2007","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2007","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2007","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2007","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2007","35-65 y.","higher education","","","","","","","","","","","","","",""
"2007","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2007","35-65 y.","in school","","","","","","","","","","","","","",""
"2007","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2007","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2007","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2007","66 and older","general elemantary","","","","","","","","","","","","","",""
"2007","66 and older","higher education","","","","","","","","","","","","","",""
"2007","66 and older","higher vocational","","","","","","","","","","","","","",""
"2007","66 and older","in school","","","","","","","","","","","","","",""
"2007","66 and older","inadequately","","","","","","","","","","","","","",""
"2007","66 and older","middle vocational","","","","","","","","","","","","","",""
"2007","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2008","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2008","16-34 y.","higher education","","","","","","","","","","","","","",""
"2008","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2008","16-34 y.","in school","","","","","","","","","","","","","",""
"2008","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2008","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2008","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2008","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2008","35-65 y.","higher education","","","","","","","","","","","","","",""
"2008","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2008","35-65 y.","in school","","","","","","","","","","","","","",""
"2008","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2008","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2008","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2008","66 and older","general elemantary","","","","","","","","","","","","","",""
"2008","66 and older","higher education","","","","","","","","","","","","","",""
"2008","66 and older","higher vocational","","","","","","","","","","","","","",""
"2008","66 and older","in school","","","","","","","","","","","","","",""
"2008","66 and older","inadequately","","","","","","","","","","","","","",""
"2008","66 and older","middle vocational","","","","","","","","","","","","","",""
"2008","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2009","16-34 y.","general elemantary","3.77","3.67","549","2.33","3","4.67","5.33","6.33","3.67","3.87","1","7","3.66666674613953","4"
"2009","16-34 y.","higher education","3.63","3.67","539","2","2.67","4.33","5.33","6.67","3.53","3.73","1","6.67","3.66666674613953","4"
"2009","16-34 y.","higher vocational","4.05","4.33","109","2.33","3.33","4.67","5.67","6","3.84","4.26","1.33","6.33","3.66666674613953","4.33333349227905"
"2009","16-34 y.","in school","3.68","3.67","312","2.33","2.67","4.67","5.33","6.33","3.54","3.82","1","7","3.33333325386047","3.66666674613953"
"2009","16-34 y.","inadequately","4.54","4.79","41","2.33","3.67","5.33","6.33","7","4.12","4.96","1.67","7","3.66666674613953","5"
