"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Full Time","college entrance qualification","3.65","3.67","2573","2","2.67","4.33","5.33","6.67","3.6","3.7","1","7","3.66666674613953","3.66666674613953"
"2005","Full Time","lower secondary degree","3.8","3.67","2010","2.33","3","4.67","5.33","6.67","3.75","3.85","1","7","3.66666674613953","4"
"2005","Full Time","no degree/no degree yet","3.95","3.92","57","2","3","5.33","6","7","3.58","4.32","1","7","3.33333325386047","4.33333349227905"
"2005","Full Time","Other degree","4.04","4","383","2.33","3.33","4.67","5.33","7","3.92","4.16","1","7","4","4"
"2005","Full Time","secondary school degree","3.85","4","2883","2.33","3","4.67","5.33","6.67","3.81","3.89","1","7","3.66666674613953","4"
"2005","Not Working","college entrance qualification","3.89","3.67","1242","2.33","3","4.67","5.67","6.67","3.82","3.96","1","7","3.66666674613953","4"
"2005","Not Working","lower secondary degree","4.19","4.33","3783","2.67","3.33","5","5.67","7","4.15","4.23","1","7","4","4.33333349227905"
"2005","Not Working","no degree/no degree yet","3.85","3.67","709","2.33","3","4.67","5.67","7","3.76","3.94","1","7","3.66666674613953","4"
"2005","Not Working","Other degree","4.22","4","476","2.67","3.33","5","6","7","4.1","4.34","1","7","4","4.33333349227905"
"2005","Not Working","secondary school degree","4.15","4","1528","2.33","3.33","5","6","7","4.09","4.21","1","7","4","4.33333349227905"
"2005","Part Time","college entrance qualification","3.91","4","1383","2.33","3","4.67","5.67","6.67","3.84","3.98","1","7","3.66666674613953","4"
"2005","Part Time","lower secondary degree","4.15","4.33","1313","2.67","3.33","5","6","6.67","4.08","4.22","1","7","4","4.33333349227905"
"2005","Part Time","no degree/no degree yet","4.14","4","138","2.33","3.33","5","5.5","6.67","3.94","4.34","1.67","7","4","4.33333349227905"
"2005","Part Time","Other degree","4.38","4.33","259","3","3.5","5","6.33","7","4.24","4.52","1","7","4","4.33333349227905"
"2005","Part Time","secondary school degree","4.11","4","1614","2.67","3.33","5","5.67","7","4.05","4.17","1","7","4","4"
"2006","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"2006","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"2006","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","Full Time","Other degree","","","","","","","","","","","","","",""
"2006","Full Time","secondary school degree","","","","","","","","","","","","","",""
"2006","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"2006","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"2006","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","Not Working","Other degree","","","","","","","","","","","","","",""
"2006","Not Working","secondary school degree","","","","","","","","","","","","","",""
"2006","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"2006","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"2006","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","Part Time","Other degree","","","","","","","","","","","","","",""
"2006","Part Time","secondary school degree","","","","","","","","","","","","","",""
"2007","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"2007","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"2007","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2007","Full Time","Other degree","","","","","","","","","","","","","",""
"2007","Full Time","secondary school degree","","","","","","","","","","","","","",""
"2007","Not Working","college entrance qualification","","","","","","","","","","","","","",""
