"year","e11102","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","East Germany","3.99","4","2947","2.67","3.33","4.67","5.33","6.67","3.95","4.03","1","7","4","4"
"2005","Employed","West Germany","3.89","4","9907","2.33","3","4.67","5.33","6.67","3.87","3.91","1","7","3.66666674613953","4"
"2005","Not Employed","East Germany","4.21","4.33","2103","2.67","3.33","5","5.67","7","4.16","4.26","1","7","4","4.33333349227905"
"2005","Not Employed","West Germany","4.09","4","5781","2.33","3.33","5","5.67","7","4.06","4.12","1","7","4","4"
"2006","Employed","East Germany","","","","","","","","","","","","","",""
"2006","Employed","West Germany","","","","","","","","","","","","","",""
"2006","Not Employed","East Germany","","","","","","","","","","","","","",""
"2006","Not Employed","West Germany","","","","","","","","","","","","","",""
"2007","Employed","East Germany","","","","","","","","","","","","","",""
"2007","Employed","West Germany","","","","","","","","","","","","","",""
"2007","Not Employed","East Germany","","","","","","","","","","","","","",""
"2007","Not Employed","West Germany","","","","","","","","","","","","","",""
"2008","Employed","East Germany","","","","","","","","","","","","","",""
"2008","Employed","West Germany","","","","","","","","","","","","","",""
"2008","Not Employed","East Germany","","","","","","","","","","","","","",""
"2008","Not Employed","West Germany","","","","","","","","","","","","","",""
"2009","Employed","East Germany","3.86","3.67","2692","2.33","3","4.67","5.33","6.67","3.82","3.9","1","7","3.66666674613953","3.66666674613953"
"2009","Employed","West Germany","3.78","3.67","8535","2.33","3","4.67","5.33","6.67","3.75","3.81","1","7","3.66666674613953","3.66666674613953"
"2009","Not Employed","East Germany","4.09","4","1862","2.67","3.33","5","5.67","7","4.04","4.14","1","7","4","4"
"2009","Not Employed","West Germany","3.96","4","4959","2.33","3","4.67","5.67","7","3.92","4","1","7","4","4"
"2010","Employed","East Germany","","","","","","","","","","","","","",""
"2010","Employed","West Germany","","","","","","","","","","","","","",""
"2010","Not Employed","East Germany","","","","","","","","","","","","","",""
"2010","Not Employed","West Germany","","","","","","","","","","","","","",""
"2011","Employed","East Germany","","","","","","","","","","","","","",""
"2011","Employed","West Germany","","","","","","","","","","","","","",""
"2011","Not Employed","East Germany","","","","","","","","","","","","","",""
"2011","Not Employed","West Germany","","","","","","","","","","","","","",""
"2012","Employed","East Germany","3.81","3.67","999","2.33","3","4.67","5.33","6.67","3.73","3.89","1","7","3.66666674613953","4"
"2012","Employed","West Germany","3.84","4","4384","2.33","3","4.67","5.67","6.67","3.8","3.88","1","7","3.66666674613953","4"
"2012","Not Employed","East Germany","4.28","4.33","339","2.67","3.33","5.33","5.67","7","4.14","4.42","1","7","4","4.33333349227905"
"2012","Not Employed","West Germany","4.21","4","1408","2.67","3.33","5","6","7","4.15","4.27","1","7","4","4.33333349227905"
"2013","Employed","East Germany","3.69","3.67","2603","2.33","3","4.33","5.33","6.67","3.65","3.73","1","7","3.66666674613953","3.66666674613953"
"2013","Employed","West Germany","3.66","3.67","8972","2","2.67","4.33","5.33","6.67","3.63","3.69","1","7","3.66666674613953","3.66666674613953"
"2013","Not Employed","East Germany","4.07","4","1868","2.67","3.33","5","5.67","7","4.02","4.12","1","7","4","4"
"2013","Not Employed","West Germany","3.88","4","5456","2.33","3","4.67","5.67","7","3.85","3.91","1","7","3.66666674613953","4"
"2014","Employed","East Germany","","","","","","","","","","","","","",""
"2014","Employed","West Germany","","","","","","","","","","","","","",""
"2014","Not Employed","East Germany","","","","","","","","","","","","","",""
"2014","Not Employed","West Germany","","","","","","","","","","","","","",""
"2015","Employed","East Germany","","","","","","","","","","","","","",""
"2015","Employed","West Germany","","","","","","","","","","","","","",""
"2015","Not Employed","East Germany","","","","","","","","","","","","","",""
"2015","Not Employed","West Germany","","","","","","","","","","","","","",""
"2016","Employed","East Germany","","","","","","","","","","","","","",""
"2016","Employed","West Germany","","","","","","","","","","","","","",""
"2016","Not Employed","East Germany","","","","","","","","","","","","","",""
"2016","Not Employed","West Germany","","","","","","","","","","","","","",""
"2017","Employed","East Germany","3.77","3.67","3641","2.33","3","4.67","5.33","6.67","3.73","3.81","1","7","3.66666674613953","3.66666674613953"
"2017","Employed","West Germany","3.74","3.67","14673","2","3","4.67","5.33","6.67","3.72","3.76","1","7","3.66666674613953","3.66666674613953"
"2017","Not Employed","East Germany","4.03","4","2466","2.67","3.33","4.67","5.67","7","3.98","4.08","1","7","4","4"
"2017","Not Employed","West Germany","3.93","4","8546","2.33","3","4.67","5.67","7","3.9","3.96","1","7","3.66666674613953","4"
"2018","Employed","East Germany","","","","","","","","","","","","","",""
"2018","Employed","West Germany","","","","","","","","","","","","","",""
"2018","Not Employed","East Germany","","","","","","","","","","","","","",""
"2018","Not Employed","West Germany","","","","","","","","","","","","","",""
"2019","Employed","East Germany","3.56","3.67","3609","2","2.67","4.33","5","6.33","3.52","3.6","1","7","3.33333325386047","3.66666674613953"
"2019","Employed","West Germany","3.51","3.33","14067","2","2.67","4.33","5.33","6.67","3.49","3.53","1","7","3.33333325386047","3.33333325386047"
"2019","Not Employed","East Germany","3.88","3.67","1966","2.33","3","4.67","5.67","7","3.82","3.94","1","7","3.66666674613953","4"
"2019","Not Employed","West Germany","3.72","3.67","6103","2","2.67","4.67","5.33","7","3.69","3.75","1","7","3.66666674613953","3.66666674613953"
