"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"2005","college entrance qualification","higher education","3.74","3.67","3164","2","3","4.67","5.33","6.67","3.7","3.78","1","7","3.66666674613953","3.66666674613953"
"2005","college entrance qualification","higher vocational","3.71","3.67","347","2.33","3","4.33","5.33","6.33","3.58","3.84","1","7","3.66666674613953","4"
"2005","college entrance qualification","in school","","","","","","","","","","","","","",""
"2005","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"2005","college entrance qualification","middle vocational","3.88","4","732","2.33","3","4.67","5.33","6.67","3.79","3.97","1","7","3.66666674613953","4"
"2005","college entrance qualification","vocational + Abi","3.85","3.67","955","2.33","3","4.67","5.33","7","3.77","3.93","1","7","3.66666674613953","4"
"2005","lower secondary degree","general elemantary","4.24","4.33","1502","2.67","3.33","5","6","7","4.18","4.3","1","7","4","4.33333349227905"
"2005","lower secondary degree","higher education","3.88","4","183","2","3.33","4.67","5.33","6.67","3.7","4.06","1","7","3.66666674613953","4.33333349227905"
"2005","lower secondary degree","higher vocational","3.81","4","453","2.33","3","4.67","5.33","6.33","3.7","3.92","1","7","4","4"
"2005","lower secondary degree","in school","","","","","","","","","","","","","",""
"2005","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"2005","lower secondary degree","middle vocational","4.04","4","4945","2.33","3.33","5","5.67","6.67","4.01","4.07","1","7","4","4"
"2005","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"2005","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"2005","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"2005","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"2005","no degree/no degree yet","in school","3.76","3.67","650","2.33","3","4.67","5.33","6.67","3.67","3.85","1","7","3.66666674613953","3.66666674613953"
"2005","no degree/no degree yet","inadequately","4.2","4.33","202","2","3","5","6.33","7","4.01","4.39","1","7","4","4.66666650772095"
"2005","no degree/no degree yet","middle vocational","3.89","3.94","46","2.33","3","4.67","6","6.33","3.53","4.25","1.67","6.33","3","4"
"2005","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"2005","Other degree","general elemantary","4.32","4","330","3","3.67","5","6","7","4.19","4.45","1","7","4","4.33333349227905"
"2005","Other degree","higher education","4.05","4","186","2.33","3","5","6","7","3.87","4.23","1","7","3.66666674613953","4"
"2005","Other degree","higher vocational","3.88","3.67","55","2.67","3.33","4.33","5.33","6","3.57","4.19","1.33","6.67","3.66666674613953","4.33333349227905"
"2005","Other degree","in school","","","","","","","","","","","","","",""
"2005","Other degree","inadequately","4.15","4.34","37","2.33","3","5.33","5.33","7","3.64","4.66","1","7","3.33333325386047","5"
"2005","Other degree","middle vocational","4.17","4.28","388","2.67","3.33","5","5.67","7","4.05","4.29","1","7","4","4.33333349227905"
"2005","Other degree","vocational + Abi","4.35","4.33","122","3","3.67","5","6","7","4.14","4.56","1.33","7","4","4.33333349227905"
"2005","secondary school degree","general elemantary","3.98","4","577","2.33","3","4.67","5.67","7","3.88","4.08","1","7","3.66666674613953","4"
"2005","secondary school degree","higher education","3.98","4","622","2.33","3.33","4.67","5.33","6.67","3.89","4.07","1","7","4","4"
"2005","secondary school degree","higher vocational","3.98","4","696","2.33","3.33","4.67","5.67","6.67","3.89","4.07","1","7","3.66666674613953","4"
"2005","secondary school degree","in school","","","","","","","","","","","","","",""
"2005","secondary school degree","inadequately","","","","","","","","","","","","","",""
"2005","secondary school degree","middle vocational","4","4","4094","2.33","3","5","5.67","7","3.96","4.04","1","7","4","4"
"2005","secondary school degree","vocational + Abi","3.79","4","36","1.33","3","5","5.33","6.33","3.36","4.22","1","6.33","3.66666674613953","4.33333349227905"
"2006","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"2006","college entrance qualification","higher education","","","","","","","","","","","","","",""
"2006","college entrance qualification","higher vocational","","","","","","","","","","","","","",""
"2006","college entrance qualification","in school","","","","","","","","","","","","","",""
"2006","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"2006","college entrance qualification","middle vocational","","","","","","","","","","","","","",""
"2006","college entrance qualification","vocational + Abi","","","","","","","","","","","","","",""
"2006","lower secondary degree","general elemantary","","","","","","","","","","","","","",""
"2006","lower secondary degree","higher education","","","","","","","","","","","","","",""
"2006","lower secondary degree","higher vocational","","","","","","","","","","","","","",""
"2006","lower secondary degree","in school","","","","","","","","","","","","","",""
"2006","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"2006","lower secondary degree","middle vocational","","","","","","","","","","","","","",""
"2006","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","in school","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","inadequately","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","middle vocational","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"2006","Other degree","general elemantary","","","","","","","","","","","","","",""
"2006","Other degree","higher education","","","","","","","","","","","","","",""
"2006","Other degree","higher vocational","","","","","","","","","","","","","",""
"2006","Other degree","in school","","","","","","","","","","","","","",""
"2006","Other degree","inadequately","","","","","","","","","","","","","",""
"2006","Other degree","middle vocational","","","","","","","","","","","","","",""
"2006","Other degree","vocational + Abi","","","","","","","","","","","","","",""
"2006","secondary school degree","general elemantary","","","","","","","","","","","","","",""
"2006","secondary school degree","higher education","","","","","","","","","","","","","",""
"2006","secondary school degree","higher vocational","","","","","","","","","","","","","",""
"2006","secondary school degree","in school","","","","","","","","","","","","","",""
"2006","secondary school degree","inadequately","","","","","","","","","","","","","",""
"2006","secondary school degree","middle vocational","","","","","","","","","","","","","",""
"2006","secondary school degree","vocational + Abi","","","","","","","","","","","","","",""
"2007","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"2007","college entrance qualification","higher education","","","","","","","","","","","","","",""
"2007","college entrance qualification","higher vocational","","","","","","","","","","","","","",""
"2007","college entrance qualification","in school","","","","","","","","","","","","","",""
"2007","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"2007","college entrance qualification","middle vocational","","","","","","","","","","","","","",""
"2007","college entrance qualification","vocational + Abi","","","","","","","","","","","","","",""
"2007","lower secondary degree","general elemantary","","","","","","","","","","","","","",""
"2007","lower secondary degree","higher education","","","","","","","","","","","","","",""
"2007","lower secondary degree","higher vocational","","","","","","","","","","","","","",""
"2007","lower secondary degree","in school","","","","","","","","","","","","","",""
"2007","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"2007","lower secondary degree","middle vocational","","","","","","","","","","","","","",""
"2007","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","in school","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","inadequately","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","middle vocational","","","","","","","","","","","","","",""
