"plh0111","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very important","1990","(0) in school","in school","6","","",""
"Very important","1990","(0) in school","inadequately","","","",""
"Very important","1990","(0) in school","general elemantary","","","",""
"Very important","1990","(0) in school","middle vocational","","","",""
"Very important","1990","(0) in school","vocational + Abi","","","",""
"Very important","1990","(0) in school","higher vocational","","","",""
"Very important","1990","(0) in school","higher education","","","",""
"Very important","1990","(1a) inadequately completed","in school","","","",""
"Very important","1990","(1a) inadequately completed","inadequately","","","",""
"Very important","1990","(1a) inadequately completed","general elemantary","","","",""
"Very important","1990","(1a) inadequately completed","middle vocational","","","",""
"Very important","1990","(1a) inadequately completed","vocational + Abi","","","",""
"Very important","1990","(1a) inadequately completed","higher vocational","","","",""
"Very important","1990","(1a) inadequately completed","higher education","","","",""
"Very important","1990","(1b) general elementary school","in school","","","",""
"Very important","1990","(1b) general elementary school","inadequately","1","","",""
"Very important","1990","(1b) general elementary school","general elemantary","23","","",""
"Very important","1990","(1b) general elementary school","middle vocational","","","",""
"Very important","1990","(1b) general elementary school","vocational + Abi","","","",""
"Very important","1990","(1b) general elementary school","higher vocational","","","",""
"Very important","1990","(1b) general elementary school","higher education","","","",""
"Very important","1990","(1c) basic vocational qualification","in school","","","",""
"Very important","1990","(1c) basic vocational qualification","inadequately","","","",""
"Very important","1990","(1c) basic vocational qualification","general elemantary","","","",""
"Very important","1990","(1c) basic vocational qualification","middle vocational","53","0.0216858820428928","0.0160135949717307","0.027358169114055"
"Very important","1990","(1c) basic vocational qualification","vocational + Abi","","","",""
"Very important","1990","(1c) basic vocational qualification","higher vocational","6","","",""
"Very important","1990","(1c) basic vocational qualification","higher education","","","",""
"Very important","1990","(2b) intermediate general qualification","in school","","","",""
"Very important","1990","(2b) intermediate general qualification","inadequately","","","",""
"Very important","1990","(2b) intermediate general qualification","general elemantary","4","","",""
"Very important","1990","(2b) intermediate general qualification","middle vocational","","","",""
"Very important","1990","(2b) intermediate general qualification","vocational + Abi","","","",""
"Very important","1990","(2b) intermediate general qualification","higher vocational","","","",""
"Very important","1990","(2b) intermediate general qualification","higher education","","","",""
"Very important","1990","(2a) intermediate vocational","in school","","","",""
"Very important","1990","(2a) intermediate vocational","inadequately","","","",""
"Very important","1990","(2a) intermediate vocational","general elemantary","","","",""
