"plh0111","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","no migration background","Urban Area","1161","0.233563279848819","0.221920515848902","0.245206043848736","2"
"Important","1990","no migration background","Rural Area","320","0.199315882076262","0.179453828739094","0.219177935413429","2"
"Important","1990","direct migration background","Rural Area","11","","","","2"
"Important","1990","direct migration background","Urban Area","58","0.161527616350204","0.123824667231808","0.1992305654686","2"
"Important","1990","indirect migration background","Urban Area","10","","","","2"
"Important","1990","indirect migration background","Rural Area","1","","","","2"
"Less important","1990","direct migration background","Rural Area","40","0.482700907756359","0.370356564235044","0.595045251277674","3"
"Less important","1990","no migration background","Rural Area","807","0.507510953084887","0.482654246738373","0.5323676594314","3"
"Less important","1990","no migration background","Urban Area","2474","0.475925388704449","0.462182385209292","0.489668392199606","3"
"Less important","1990","direct migration background","Urban Area","171","0.465410442344258","0.414308683801103","0.516512200887414","3"
"Less important","1990","indirect migration background","Urban Area","24","","","","3"
"Less important","1990","indirect migration background","Rural Area","2","","","","3"
"Quite unimportant","1990","no migration background","Urban Area","1293","0.262246488232763","0.250142565484311","0.274350410981215","4"
"Quite unimportant","1990","no migration background","Rural Area","400","0.2751702563296","0.252965739302613","0.297374773356586","4"
"Quite unimportant","1990","direct migration background","Urban Area","126","0.339493306142528","0.290979899985546","0.38800671229951","4"
"Quite unimportant","1990","direct migration background","Rural Area","24","","","","4"
"Quite unimportant","1990","indirect migration background","Urban Area","14","","","","4"
"Quite unimportant","1990","indirect migration background","Rural Area","4","","","","4"
"Very important","1990","no migration background","Urban Area","145","0.0282648432139685","0.0237043385101868","0.0328253479177503","1"
"Very important","1990","no migration background","Rural Area","27","","","","1"
"Very important","1990","direct migration background","Urban Area","11","","","","1"
"Very important","1990","direct migration background","Rural Area","1","","","","1"
"Very important","1990","indirect migration background","Urban Area","","","","","1"
"Very important","1990","indirect migration background","Rural Area","","","","","1"
"Important","1991","no migration background","Rural Area","","","","","2"
"Important","1991","no migration background","Urban Area","","","","","2"
"Important","1991","direct migration background","Urban Area","","","","","2"
"Important","1991","direct migration background","Rural Area","","","","","2"
"Important","1991","indirect migration background","Urban Area","","","","","2"
"Important","1991","indirect migration background","Rural Area","","","","","2"
"Less important","1991","no migration background","Urban Area","","","","","3"
"Less important","1991","no migration background","Rural Area","","","","","3"
"Less important","1991","direct migration background","Urban Area","","","","","3"
"Less important","1991","direct migration background","Rural Area","","","","","3"
"Less important","1991","indirect migration background","Urban Area","","","","","3"
"Less important","1991","indirect migration background","Rural Area","","","","","3"
"Quite unimportant","1991","no migration background","Rural Area","","","","","4"
"Quite unimportant","1991","no migration background","Urban Area","","","","","4"
"Quite unimportant","1991","direct migration background","Urban Area","","","","","4"
