"plh0111","year","education","n","percent","lower_confidence","upper_confidence"
"Very important","1990","lower secondary degree","82","0.0198823573891622","0.0155920931020642","0.0241726216762603"
"Very important","1990","secondary school degree","29","","",""
"Very important","1990","college entrance qualification","63","0.0566704292496541","0.0432898055451038","0.0700510529542044"
"Very important","1990","Other degree","1","","",""
"Very important","1990","no degree/no degree yet","6","","",""
"Important","1990","lower secondary degree","672","0.167481825698745","0.156005794781049","0.178957856616441"
"Important","1990","secondary school degree","406","0.26123539666954","0.239553299076641","0.282917494262439"
"Important","1990","college entrance qualification","416","0.369321307610632","0.341391197773528","0.397251417447736"
"Important","1990","Other degree","6","","",""
"Important","1990","no degree/no degree yet","40","0.227453279992108","0.164807424255054","0.290099135729162"
"Less important","1990","lower secondary degree","1981","0.472804763484582","0.457460796149715","0.48814873081945"
"Less important","1990","secondary school degree","833","0.522425285714304","0.497772556747955","0.547078014680653"
"Less important","1990","college entrance qualification","536","0.461239381816188","0.432390599009126","0.490088164623249"
"Less important","1990","Other degree","28","","",""
"Less important","1990","no degree/no degree yet","85","0.50342048868422","0.428699310796285","0.578141666572155"
"Quite unimportant","1990","lower secondary degree","1332","0.33983105342751","0.325274113773763","0.354387993081257"
"Quite unimportant","1990","secondary school degree","309","0.197059351204375","0.177426992027076","0.216691710381673"
"Quite unimportant","1990","college entrance qualification","132","0.112768881323527","0.0944634738296375","0.131074288817416"
"Quite unimportant","1990","Other degree","20","","",""
"Quite unimportant","1990","no degree/no degree yet","41","0.237572392487704","0.173968871218105","0.301175913757303"
"Very important","1991","lower secondary degree","","","",""
"Very important","1991","secondary school degree","","","",""
"Very important","1991","college entrance qualification","","","",""
"Very important","1991","Other degree","","","",""
"Very important","1991","no degree/no degree yet","","","",""
"Important","1991","lower secondary degree","","","",""
"Important","1991","secondary school degree","","","",""
"Important","1991","college entrance qualification","","","",""
"Important","1991","Other degree","","","",""
"Important","1991","no degree/no degree yet","","","",""
"Less important","1991","lower secondary degree","","","",""
"Less important","1991","secondary school degree","","","",""
"Less important","1991","college entrance qualification","","","",""
"Less important","1991","Other degree","","","",""
"Less important","1991","no degree/no degree yet","","","",""
"Quite unimportant","1991","lower secondary degree","","","",""
"Quite unimportant","1991","secondary school degree","","","",""
"Quite unimportant","1991","college entrance qualification","","","",""
"Quite unimportant","1991","Other degree","","","",""
"Quite unimportant","1991","no degree/no degree yet","","","",""
"Very important","1992","lower secondary degree","75","0.0139093879017618","0.0107658735885287","0.0170529022149949"
"Very important","1992","secondary school degree","60","0.0195278470283656","0.0149245860443472","0.024131108012384"
"Very important","1992","college entrance qualification","67","0.0430268087709894","0.0332741861295219","0.0527794314124569"
"Very important","1992","Other degree","1","","",""
"Very important","1992","no degree/no degree yet","7","","",""
"Important","1992","lower secondary degree","538","0.102142740041389","0.094014239819573","0.110271240263205"
"Important","1992","secondary school degree","518","0.157753986993411","0.145627627523244","0.169880346463578"
"Important","1992","college entrance qualification","437","0.276353219633368","0.25486019443576","0.297846244830976"
"Important","1992","Other degree","7","","",""
"Important","1992","no degree/no degree yet","37","0.14940623783281","0.102929104513441","0.195883371152179"
"Less important","1992","lower secondary degree","2398","0.439179830786928","0.425858855388713","0.452500806185142"
"Less important","1992","secondary school degree","1953","0.535743689964704","0.519152473709051","0.552334906220357"
"Less important","1992","college entrance qualification","882","0.513351496967247","0.489329059104189","0.537373934830304"
"Less important","1992","Other degree","36","0.366207819327434","0.2698360750592","0.462579563595668"
"Less important","1992","no degree/no degree yet","104","0.458664437601269","0.393700149306964","0.523628725895573"
"Quite unimportant","1992","lower secondary degree","2321","0.444768041269922","0.431429539973504","0.458106542566339"
"Quite unimportant","1992","secondary school degree","940","0.286974476013519","0.271925915527804","0.302023036499234"
"Quite unimportant","1992","college entrance qualification","277","0.167268474628396","0.149330990994083","0.185205958262709"
"Quite unimportant","1992","Other degree","52","0.542958767577781","0.443309619362069","0.642607915793493"
"Quite unimportant","1992","no degree/no degree yet","78","0.352300980984261","0.290022585173299","0.414579376795223"
"Very important","1993","lower secondary degree","","","",""
"Very important","1993","secondary school degree","","","",""
"Very important","1993","college entrance qualification","","","",""
"Very important","1993","Other degree","","","",""
"Very important","1993","no degree/no degree yet","","","",""
"Important","1993","lower secondary degree","","","",""
"Important","1993","secondary school degree","","","",""
"Important","1993","college entrance qualification","","","",""
"Important","1993","Other degree","","","",""
"Important","1993","no degree/no degree yet","","","",""
"Less important","1993","lower secondary degree","","","",""
"Less important","1993","secondary school degree","","","",""
"Less important","1993","college entrance qualification","","","",""
"Less important","1993","Other degree","","","",""
"Less important","1993","no degree/no degree yet","","","",""
"Quite unimportant","1993","lower secondary degree","","","",""
"Quite unimportant","1993","secondary school degree","","","",""
"Quite unimportant","1993","college entrance qualification","","","",""
"Quite unimportant","1993","Other degree","","","",""
"Quite unimportant","1993","no degree/no degree yet","","","",""
"Very important","1994","lower secondary degree","","","",""
"Very important","1994","secondary school degree","","","",""
"Very important","1994","college entrance qualification","","","",""
"Very important","1994","Other degree","","","",""
"Very important","1994","no degree/no degree yet","","","",""
"Important","1994","lower secondary degree","","","",""
"Important","1994","secondary school degree","","","",""
"Important","1994","college entrance qualification","","","",""
"Important","1994","Other degree","","","",""
"Important","1994","no degree/no degree yet","","","",""
"Less important","1994","lower secondary degree","","","",""
"Less important","1994","secondary school degree","","","",""
"Less important","1994","college entrance qualification","","","",""
"Less important","1994","Other degree","","","",""
"Less important","1994","no degree/no degree yet","","","",""
"Quite unimportant","1994","lower secondary degree","","","",""
"Quite unimportant","1994","secondary school degree","","","",""
"Quite unimportant","1994","college entrance qualification","","","",""
"Quite unimportant","1994","Other degree","","","",""
"Quite unimportant","1994","no degree/no degree yet","","","",""
"Very important","1995","lower secondary degree","60","0.0124272824726919","0.0093464105956692","0.0155081543497145"
"Very important","1995","secondary school degree","41","0.0146625847855191","0.0106435731020534","0.0186815964689848"
"Very important","1995","college entrance qualification","55","0.0299328643658526","0.0221042043707491","0.0377615243609562"
"Very important","1995","Other degree","10","","",""
"Very important","1995","no degree/no degree yet","8","","",""
"Important","1995","lower secondary degree","526","0.110626465053399","0.101903329331675","0.119349600775123"
"Important","1995","secondary school degree","477","0.1520445143337","0.140038650364266","0.164050378303135"
"Important","1995","college entrance qualification","433","0.246805637694484","0.22699750825563","0.266613767133338"
"Important","1995","Other degree","41","0.110288358599871","0.0809188388015308","0.139657878398212"
"Important","1995","no degree/no degree yet","44","0.130310192805875","0.0942608732836266","0.166359512328123"
"Less important","1995","lower secondary degree","2344","0.462332707418158","0.448467220374777","0.476198194461538"
"Less important","1995","secondary school degree","1940","0.538084260993154","0.521414551238341","0.554753970747967"
"Less important","1995","college entrance qualification","1015","0.549845233372963","0.526988531911743","0.572701934834182"
"Less important","1995","Other degree","164","0.354524213842489","0.309673402739875","0.399375024945104"
"Less important","1995","no degree/no degree yet","175","0.521960955872133","0.468470489915949","0.575451421828316"
"Quite unimportant","1995","lower secondary degree","2037","0.414613545055752","0.400912803040796","0.428314287070708"
"Quite unimportant","1995","secondary school degree","978","0.295208639887626","0.279957007420536","0.310460272354716"
"Quite unimportant","1995","college entrance qualification","317","0.173416264566701","0.156022213596986","0.190810315536416"
"Quite unimportant","1995","Other degree","222","0.505067553170554","0.458191064790936","0.551944041550172"
"Quite unimportant","1995","no degree/no degree yet","108","0.322715886448664","0.272652375371033","0.372779397526294"
"Very important","1996","lower secondary degree","","","",""
"Very important","1996","secondary school degree","","","",""
"Very important","1996","college entrance qualification","","","",""
"Very important","1996","Other degree","","","",""
"Very important","1996","no degree/no degree yet","","","",""
