"plh0111","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","in school","Male","3","","",""
"Very important","1990","in school","Female","3","","",""
"Very important","1990","inadequately","Male","","","",""
"Very important","1990","inadequately","Female","1","","",""
"Very important","1990","general elemantary","Male","11","","",""
"Very important","1990","general elemantary","Female","16","","",""
"Very important","1990","middle vocational","Male","65","0.0323747278577471","0.0246847949850613","0.0400646607304328"
"Very important","1990","middle vocational","Female","28","","",""
"Very important","1990","vocational + Abi","Male","3","","",""
"Very important","1990","vocational + Abi","Female","6","","",""
"Very important","1990","higher vocational","Male","7","","",""
"Very important","1990","higher vocational","Female","4","","",""
"Very important","1990","higher education","Male","23","","",""
"Very important","1990","higher education","Female","11","","",""
"Important","1990","in school","Male","14","","",""
"Important","1990","in school","Female","14","","",""
"Important","1990","inadequately","Male","6","","",""
"Important","1990","inadequately","Female","5","","",""
"Important","1990","general elemantary","Male","86","0.205911974657191","0.167377181466188","0.244446767848194"
"Important","1990","general elemantary","Female","154","0.133161545132081","0.113970733389053","0.152352356875109"
"Important","1990","middle vocational","Male","471","0.231524168673517","0.213197684435176","0.249850652911858"
"Important","1990","middle vocational","Female","361","0.202045123198857","0.183703635893805","0.22038661050391"
"Important","1990","vocational + Abi","Male","31","0.26653825815583","0.182761275892559","0.350315240419102"
"Important","1990","vocational + Abi","Female","25","","",""
"Important","1990","higher vocational","Male","67","0.252168841632168","0.200843809035054","0.303493874229282"
"Important","1990","higher vocational","Female","55","0.24712088323266","0.190508295240562","0.303733471224759"
"Important","1990","higher education","Male","170","0.403386096880876","0.35739068415362","0.449381509608131"
"Important","1990","higher education","Female","88","0.382156122789199","0.317653165123283","0.446659080455115"
"Less important","1990","in school","Male","36","0.635685454317817","0.512890229693508","0.758480678942126"
"Less important","1990","in school","Female","27","","",""
"Less important","1990","inadequately","Male","14","","",""
"Less important","1990","inadequately","Female","14","","",""
"Less important","1990","general elemantary","Male","197","0.463240490824651","0.415721081085986","0.510759900563315"
"Less important","1990","general elemantary","Female","506","0.406144814781415","0.378404232007757","0.433885397555072"
"Less important","1990","middle vocational","Male","1054","0.515935242645206","0.494222473544487","0.537648011745925"
"Less important","1990","middle vocational","Female","958","0.501016657121999","0.478176961950163","0.523856352293835"
"Less important","1990","vocational + Abi","Male","60","0.549701276182805","0.455432052017303","0.643970500348308"
"Less important","1990","vocational + Abi","Female","53","0.511542459237098","0.412575709827402","0.610509208646794"
"Less important","1990","higher vocational","Male","147","0.531387359431108","0.472408773817271","0.590365945044945"
"Less important","1990","higher vocational","Female","121","0.492788163672815","0.427170542288441","0.558405785057189"
"Less important","1990","higher education","Male","195","0.435738514446462","0.389248406914316","0.482228621978608"
"Less important","1990","higher education","Female","97","0.472755211848458","0.406481063645928","0.539029360050988"
"Quite unimportant","1990","in school","Male","6","","",""
"Quite unimportant","1990","in school","Female","7","","",""
"Quite unimportant","1990","inadequately","Male","18","","",""
"Quite unimportant","1990","inadequately","Female","16","","",""
"Quite unimportant","1990","general elemantary","Male","129","0.304601298218749","0.260742096773693","0.348460499663806"
"Quite unimportant","1990","general elemantary","Female","528","0.447368138490454","0.4192824332978","0.475453843683108"
"Quite unimportant","1990","middle vocational","Male","445","0.22016586082353","0.202162980483871","0.238168741163188"
"Quite unimportant","1990","middle vocational","Female","494","0.281375445963467","0.260834742117729","0.301916149809205"
"Quite unimportant","1990","vocational + Abi","Male","13","","",""
"Quite unimportant","1990","vocational + Abi","Female","14","","",""
"Quite unimportant","1990","higher vocational","Male","54","0.194193952124039","0.147440373799108","0.24094753044897"
"Quite unimportant","1990","higher vocational","Female","43","0.244907081465604","0.188465843663143","0.301348319268065"
"Quite unimportant","1990","higher education","Male","49","0.114903798481966","0.0850038937954985","0.144803703168434"
"Quite unimportant","1990","higher education","Female","22","","",""
"Very important","1991","in school","Male","","","",""
"Very important","1991","in school","Female","","","",""
"Very important","1991","inadequately","Male","","","",""
"Very important","1991","inadequately","Female","","","",""
"Very important","1991","general elemantary","Male","","","",""
"Very important","1991","general elemantary","Female","","","",""
"Very important","1991","middle vocational","Male","","","",""
"Very important","1991","middle vocational","Female","","","",""
"Very important","1991","vocational + Abi","Male","","","",""
"Very important","1991","vocational + Abi","Female","","","",""
"Very important","1991","higher vocational","Male","","","",""
"Very important","1991","higher vocational","Female","","","",""
"Very important","1991","higher education","Male","","","",""
"Very important","1991","higher education","Female","","","",""
"Important","1991","in school","Male","","","",""
"Important","1991","in school","Female","","","",""
"Important","1991","inadequately","Male","","","",""
"Important","1991","inadequately","Female","","","",""
"Important","1991","general elemantary","Male","","","",""
"Important","1991","general elemantary","Female","","","",""
"Important","1991","middle vocational","Male","","","",""
"Important","1991","middle vocational","Female","","","",""
"Important","1991","vocational + Abi","Male","","","",""
"Important","1991","vocational + Abi","Female","","","",""
"Important","1991","higher vocational","Male","","","",""
"Important","1991","higher vocational","Female","","","",""
"Important","1991","higher education","Male","","","",""
"Important","1991","higher education","Female","","","",""
"Less important","1991","in school","Male","","","",""
"Less important","1991","in school","Female","","","",""
"Less important","1991","inadequately","Male","","","",""
"Less important","1991","inadequately","Female","","","",""
"Less important","1991","general elemantary","Male","","","",""
"Less important","1991","general elemantary","Female","","","",""
"Less important","1991","middle vocational","Male","","","",""
"Less important","1991","middle vocational","Female","","","",""
"Less important","1991","vocational + Abi","Male","","","",""
"Less important","1991","vocational + Abi","Female","","","",""
"Less important","1991","higher vocational","Male","","","",""
"Less important","1991","higher vocational","Female","","","",""
"Less important","1991","higher education","Male","","","",""
"Less important","1991","higher education","Female","","","",""
"Quite unimportant","1991","in school","Male","","","",""
"Quite unimportant","1991","in school","Female","","","",""
"Quite unimportant","1991","inadequately","Male","","","",""
"Quite unimportant","1991","inadequately","Female","","","",""
"Quite unimportant","1991","general elemantary","Male","","","",""
"Quite unimportant","1991","general elemantary","Female","","","",""
"Quite unimportant","1991","middle vocational","Male","","","",""
"Quite unimportant","1991","middle vocational","Female","","","",""
"Quite unimportant","1991","vocational + Abi","Male","","","",""
"Quite unimportant","1991","vocational + Abi","Female","","","",""
"Quite unimportant","1991","higher vocational","Male","","","",""
"Quite unimportant","1991","higher vocational","Female","","","",""
"Quite unimportant","1991","higher education","Male","","","",""
"Quite unimportant","1991","higher education","Female","","","",""
"Very important","1992","in school","Male","1","","",""
"Very important","1992","in school","Female","5","","",""
"Very important","1992","inadequately","Male","","","",""
"Very important","1992","inadequately","Female","1","","",""
"Very important","1992","general elemantary","Male","14","","",""
"Very important","1992","general elemantary","Female","12","","",""
"Very important","1992","middle vocational","Male","68","0.0222224592690598","0.0169476889737929","0.0274972295643267"
"Very important","1992","middle vocational","Female","33","0.0116669955456265","0.00783465946758533","0.0154993316236676"
"Very important","1992","vocational + Abi","Male","5","","",""
"Very important","1992","vocational + Abi","Female","1","","",""
"Very important","1992","higher vocational","Male","10","","",""
"Very important","1992","higher vocational","Female","7","","",""
"Very important","1992","higher education","Male","36","0.042415444106915","0.0290847915636868","0.0557460966501433"
"Very important","1992","higher education","Female","17","","",""
"Important","1992","in school","Male","12","","",""
"Important","1992","in school","Female","14","","",""
"Important","1992","inadequately","Male","6","","",""
"Important","1992","inadequately","Female","5","","",""
"Important","1992","general elemantary","Male","60","0.0985355601286009","0.0730171717892402","0.124053948467962"
"Important","1992","general elemantary","Female","128","0.0890634498922167","0.074238139446826","0.103888760337607"
"Important","1992","middle vocational","Male","388","0.133174466488985","0.121016420151599","0.14533251282637"
"Important","1992","middle vocational","Female","349","0.126753703737841","0.114880138911605","0.138627268564077"
"Important","1992","vocational + Abi","Male","30","0.174201290661614","0.115061152930293","0.233341428392935"
"Important","1992","vocational + Abi","Female","33","0.253058969516498","0.179446783028729","0.326671156004266"
"Important","1992","higher vocational","Male","72","0.163757223163467","0.130720954116606","0.196793492210328"
"Important","1992","higher vocational","Female","57","0.206238963408622","0.157616437129607","0.254861489687636"
"Important","1992","higher education","Male","216","0.266374073703253","0.237133617456518","0.295614529949988"
"Important","1992","higher education","Female","175","0.267944858443335","0.235795009376212","0.300094707510457"
"Less important","1992","in school","Male","42","0.592975469358966","0.476207886419044","0.709743052298889"
"Less important","1992","in school","Female","39","0.521225526038838","0.405837651182882","0.636613400894795"
"Less important","1992","inadequately","Male","13","","",""
"Less important","1992","inadequately","Female","13","","",""
"Less important","1992","general elemantary","Male","243","0.454658406463838","0.41202408340871","0.497292729518966"
"Less important","1992","general elemantary","Female","555","0.366783232021429","0.34169957143925","0.391866892603608"
"Less important","1992","middle vocational","Male","1528","0.503009178189809","0.485117560784119","0.520900795595498"
"Less important","1992","middle vocational","Female","1543","0.482304621538219","0.464471380561605","0.500137862514833"
"Less important","1992","vocational + Abi","Male","94","0.575121260744917","0.498043026196334","0.652199495293499"
"Less important","1992","vocational + Abi","Female","73","0.549512066089555","0.465270605148817","0.633753527030294"
"Less important","1992","higher vocational","Male","261","0.531472098392122","0.486923654734199","0.576020542050046"
"Less important","1992","higher vocational","Female","132","0.462743747735366","0.40282423243462","0.522663263036112"
"Less important","1992","higher education","Male","459","0.505282381692183","0.472211437125995","0.538353326258371"
"Less important","1992","higher education","Female","407","0.547954230532028","0.511825918296996","0.584082542767059"
"Quite unimportant","1992","in school","Male","13","","",""
"Quite unimportant","1992","in school","Female","14","","",""
"Quite unimportant","1992","inadequately","Male","27","","",""
"Quite unimportant","1992","inadequately","Female","32","0.664842253058843","0.53528941229464","0.794395093823046"
"Quite unimportant","1992","general elemantary","Male","207","0.414326501028521","0.372148927586829","0.456504074470214"
"Quite unimportant","1992","general elemantary","Female","723","0.53417770961426","0.508214224401662","0.560141194826857"
"Quite unimportant","1992","middle vocational","Male","1016","0.341593896052147","0.32462359922057","0.358564192883723"
"Quite unimportant","1992","middle vocational","Female","1091","0.379274679178313","0.36195822061246","0.396591137744167"
"Quite unimportant","1992","vocational + Abi","Male","29","","",""
"Quite unimportant","1992","vocational + Abi","Female","27","","",""
"Quite unimportant","1992","higher vocational","Male","139","0.284009239364529","0.243751951296562","0.324266527432497"
"Quite unimportant","1992","higher vocational","Female","70","0.302402920375904","0.247207557859215","0.357598282892593"
"Quite unimportant","1992","higher education","Male","167","0.185928100497649","0.160194252510992","0.211661948484307"
"Quite unimportant","1992","higher education","Female","130","0.158261867492842","0.131767047639758","0.184756687345926"
"Very important","1993","in school","Male","","","",""
"Very important","1993","in school","Female","","","",""
"Very important","1993","inadequately","Male","","","",""
"Very important","1993","inadequately","Female","","","",""
"Very important","1993","general elemantary","Male","","","",""
"Very important","1993","general elemantary","Female","","","",""
"Very important","1993","middle vocational","Male","","","",""
"Very important","1993","middle vocational","Female","","","",""
"Very important","1993","vocational + Abi","Male","","","",""
"Very important","1993","vocational + Abi","Female","","","",""
"Very important","1993","higher vocational","Male","","","",""
"Very important","1993","higher vocational","Female","","","",""
"Very important","1993","higher education","Male","","","",""
"Very important","1993","higher education","Female","","","",""
"Important","1993","in school","Male","","","",""
"Important","1993","in school","Female","","","",""
"Important","1993","inadequately","Male","","","",""
"Important","1993","inadequately","Female","","","",""
"Important","1993","general elemantary","Male","","","",""
"Important","1993","general elemantary","Female","","","",""
"Important","1993","middle vocational","Male","","","",""
"Important","1993","middle vocational","Female","","","",""
"Important","1993","vocational + Abi","Male","","","",""
"Important","1993","vocational + Abi","Female","","","",""
"Important","1993","higher vocational","Male","","","",""
"Important","1993","higher vocational","Female","","","",""
"Important","1993","higher education","Male","","","",""
"Important","1993","higher education","Female","","","",""
"Less important","1993","in school","Male","","","",""
"Less important","1993","in school","Female","","","",""
"Less important","1993","inadequately","Male","","","",""
"Less important","1993","inadequately","Female","","","",""
"Less important","1993","general elemantary","Male","","","",""
"Less important","1993","general elemantary","Female","","","",""
"Less important","1993","middle vocational","Male","","","",""
"Less important","1993","middle vocational","Female","","","",""
"Less important","1993","vocational + Abi","Male","","","",""
"Less important","1993","vocational + Abi","Female","","","",""
"Less important","1993","higher vocational","Male","","","",""
"Less important","1993","higher vocational","Female","","","",""
"Less important","1993","higher education","Male","","","",""
"Less important","1993","higher education","Female","","","",""
"Quite unimportant","1993","in school","Male","","","",""
"Quite unimportant","1993","in school","Female","","","",""
"Quite unimportant","1993","inadequately","Male","","","",""
"Quite unimportant","1993","inadequately","Female","","","",""
"Quite unimportant","1993","general elemantary","Male","","","",""
"Quite unimportant","1993","general elemantary","Female","","","",""
"Quite unimportant","1993","middle vocational","Male","","","",""
"Quite unimportant","1993","middle vocational","Female","","","",""
"Quite unimportant","1993","vocational + Abi","Male","","","",""
"Quite unimportant","1993","vocational + Abi","Female","","","",""
"Quite unimportant","1993","higher vocational","Male","","","",""
"Quite unimportant","1993","higher vocational","Female","","","",""
"Quite unimportant","1993","higher education","Male","","","",""
"Quite unimportant","1993","higher education","Female","","","",""
"Very important","1994","in school","Male","","","",""
"Very important","1994","in school","Female","","","",""
"Very important","1994","inadequately","Male","","","",""
"Very important","1994","inadequately","Female","","","",""
"Very important","1994","general elemantary","Male","","","",""
"Very important","1994","general elemantary","Female","","","",""
"Very important","1994","middle vocational","Male","","","",""
"Very important","1994","middle vocational","Female","","","",""
"Very important","1994","vocational + Abi","Male","","","",""
"Very important","1994","vocational + Abi","Female","","","",""
"Very important","1994","higher vocational","Male","","","",""
"Very important","1994","higher vocational","Female","","","",""
"Very important","1994","higher education","Male","","","",""
"Very important","1994","higher education","Female","","","",""
"Important","1994","in school","Male","","","",""
"Important","1994","in school","Female","","","",""
"Important","1994","inadequately","Male","","","",""
"Important","1994","inadequately","Female","","","",""
"Important","1994","general elemantary","Male","","","",""
"Important","1994","general elemantary","Female","","","",""
"Important","1994","middle vocational","Male","","","",""
"Important","1994","middle vocational","Female","","","",""
"Important","1994","vocational + Abi","Male","","","",""
"Important","1994","vocational + Abi","Female","","","",""
"Important","1994","higher vocational","Male","","","",""
"Important","1994","higher vocational","Female","","","",""
"Important","1994","higher education","Male","","","",""
"Important","1994","higher education","Female","","","",""
"Less important","1994","in school","Male","","","",""
"Less important","1994","in school","Female","","","",""
"Less important","1994","inadequately","Male","","","",""
"Less important","1994","inadequately","Female","","","",""
"Less important","1994","general elemantary","Male","","","",""
"Less important","1994","general elemantary","Female","","","",""
"Less important","1994","middle vocational","Male","","","",""
"Less important","1994","middle vocational","Female","","","",""
"Less important","1994","vocational + Abi","Male","","","",""
"Less important","1994","vocational + Abi","Female","","","",""
"Less important","1994","higher vocational","Male","","","",""
"Less important","1994","higher vocational","Female","","","",""
"Less important","1994","higher education","Male","","","",""
"Less important","1994","higher education","Female","","","",""
"Quite unimportant","1994","in school","Male","","","",""
"Quite unimportant","1994","in school","Female","","","",""
"Quite unimportant","1994","inadequately","Male","","","",""
"Quite unimportant","1994","inadequately","Female","","","",""
"Quite unimportant","1994","general elemantary","Male","","","",""
"Quite unimportant","1994","general elemantary","Female","","","",""
"Quite unimportant","1994","middle vocational","Male","","","",""
"Quite unimportant","1994","middle vocational","Female","","","",""
"Quite unimportant","1994","vocational + Abi","Male","","","",""
"Quite unimportant","1994","vocational + Abi","Female","","","",""
"Quite unimportant","1994","higher vocational","Male","","","",""
"Quite unimportant","1994","higher vocational","Female","","","",""
"Quite unimportant","1994","higher education","Male","","","",""
"Quite unimportant","1994","higher education","Female","","","",""
"Very important","1995","in school","Male","3","","",""
"Very important","1995","in school","Female","3","","",""
"Very important","1995","inadequately","Male","3","","",""
"Very important","1995","inadequately","Female","","","",""
"Very important","1995","general elemantary","Male","8","","",""
"Very important","1995","general elemantary","Female","5","","",""
"Very important","1995","middle vocational","Male","52","0.0185915095589362","0.0137595312101842","0.0234234879076882"
"Very important","1995","middle vocational","Female","33","0.0114822719520785","0.0077093246602054","0.0152552192439517"
"Very important","1995","vocational + Abi","Male","5","","",""
"Very important","1995","vocational + Abi","Female","1","","",""
"Very important","1995","higher vocational","Male","5","","",""
"Very important","1995","higher vocational","Female","5","","",""
"Very important","1995","higher education","Male","33","0.0381235899115916","0.0257963810173285","0.0504507988058547"
"Very important","1995","higher education","Female","18","","",""
"Important","1995","in school","Male","15","","",""
"Important","1995","in school","Female","24","","",""
"Important","1995","inadequately","Male","3","","",""
"Important","1995","inadequately","Female","3","","",""
"Important","1995","general elemantary","Male","54","0.117745179887901","0.0899895044891004","0.145500855286702"
"Important","1995","general elemantary","Female","118","0.0928596569834829","0.0771548735522363","0.10856444041473"
"Important","1995","middle vocational","Male","402","0.139034894519411","0.126658406437563","0.151411382601259"
"Important","1995","middle vocational","Female","333","0.124725895245255","0.113024842217818","0.136426948272692"
"Important","1995","vocational + Abi","Male","44","0.228016244348985","0.170723258559606","0.285309230138364"
"Important","1995","vocational + Abi","Female","30","0.167560327889842","0.115274734541432","0.219845921238253"
"Important","1995","higher vocational","Male","84","0.179725416458566","0.144675902073488","0.214774930843643"
"Important","1995","higher vocational","Female","48","0.161982879653357","0.118673027983116","0.205292731323598"
"Important","1995","higher education","Male","215","0.233521632390928","0.206286986430728","0.260756278351129"
"Important","1995","higher education","Female","160","0.227031801564332","0.197633316547476","0.256430286581187"
"Less important","1995","in school","Male","69","0.589789869674754","0.500279996574281","0.679299742775228"
"Less important","1995","in school","Female","73","0.615416696160454","0.528733432150343","0.702099960170565"
"Less important","1995","inadequately","Male","14","","",""
"Less important","1995","inadequately","Female","18","","",""
"Less important","1995","general elemantary","Male","240","0.451885767452882","0.409027650827285","0.494743884078478"
"Less important","1995","general elemantary","Female","532","0.378573570281156","0.352328292179622","0.40481884838269"
"Less important","1995","middle vocational","Male","1577","0.520299975527884","0.502428742402383","0.538171208653385"
"Less important","1995","middle vocational","Female","1614","0.502616742801955","0.484910001209877","0.520323484394032"
"Less important","1995","vocational + Abi","Male","116","0.5313109905158","0.463166418936144","0.599455562095457"
"Less important","1995","vocational + Abi","Female","111","0.585340265831521","0.516368683747047","0.654311847915995"
"Less important","1995","higher vocational","Male","261","0.54702967545532","0.501589714744973","0.592469636165667"
"Less important","1995","higher vocational","Female","158","0.55294172990399","0.494496719114059","0.611386740693921"
"Less important","1995","higher education","Male","485","0.514583333401854","0.482410195259027","0.54675647154468"
"Less important","1995","higher education","Female","414","0.517591156095396","0.482523895258033","0.552658416932759"
"Quite unimportant","1995","in school","Male","29","","",""
"Quite unimportant","1995","in school","Female","21","","",""
"Quite unimportant","1995","inadequately","Male","23","","",""
"Quite unimportant","1995","inadequately","Female","34","0.57063539587864","0.439819891692326","0.701450900064954"
"Quite unimportant","1995","general elemantary","Male","216","0.412939950700933","0.370539748733453","0.455340152668413"
"Quite unimportant","1995","general elemantary","Female","657","0.523791677689242","0.496767097206721","0.550816258171763"
"Quite unimportant","1995","middle vocational","Male","971","0.322073620393769","0.305358419851779","0.33878882093576"
"Quite unimportant","1995","middle vocational","Female","1083","0.361175090000712","0.344164302919565","0.378185877081858"
"Quite unimportant","1995","vocational + Abi","Male","41","0.209699413097943","0.154107804552055","0.26529102164383"
