"plh0111","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","1-pers.-HH","(0) in school","","","",""
"Very important","1990","1-pers.-HH","(1a) inadequately completed","","","",""
"Very important","1990","1-pers.-HH","(1b) general elementary school","3","","",""
"Very important","1990","1-pers.-HH","(1c) basic vocational qualification","9","","",""
"Very important","1990","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"Very important","1990","1-pers.-HH","(2a) intermediate vocational","3","","",""
"Very important","1990","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"Very important","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","5","","",""
"Very important","1990","1-pers.-HH","(3a) lower tertiary education","1","","",""
"Very important","1990","1-pers.-HH","(3b) higher tertiary education","7","","",""
"Very important","1990","(Married) couple without C. ","(0) in school","","","",""
"Very important","1990","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Very important","1990","(Married) couple without C. ","(1b) general elementary school","1","","",""
"Very important","1990","(Married) couple without C. ","(1c) basic vocational qualification","20","","",""
"Very important","1990","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Very important","1990","(Married) couple without C. ","(2a) intermediate vocational","5","","",""
"Very important","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","5","","",""
"Very important","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","2","","",""
"Very important","1990","(Married) couple without C. ","(3a) lower tertiary education","1","","",""
"Very important","1990","(Married) couple without C. ","(3b) higher tertiary education","5","","",""
"Very important","1990","Single parent ","(0) in school","1","","",""
"Very important","1990","Single parent ","(1a) inadequately completed","","","",""
"Very important","1990","Single parent ","(1b) general elementary school","2","","",""
"Very important","1990","Single parent ","(1c) basic vocational qualification","4","","",""
"Very important","1990","Single parent ","(2b) intermediate general qualification","1","","",""
"Very important","1990","Single parent ","(2a) intermediate vocational","","","",""
"Very important","1990","Single parent ","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Very important","1990","Single parent ","(3a) lower tertiary education","2","","",""
"Very important","1990","Single parent ","(3b) higher tertiary education","","","",""
"Very important","1990","Couple + C. LE 16 ","(0) in school","1","","",""
"Very important","1990","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Very important","1990","Couple + C. LE 16 ","(1b) general elementary school","4","","",""
"Very important","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","13","","",""
"Very important","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Very important","1990","Couple + C. LE 16 ","(2a) intermediate vocational","8","","",""
"Very important","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","4","","",""
"Very important","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","2","","",""
"Very important","1990","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
