"plh0111","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Full Time","Urban Area","596","0.252158175726366","0.235008445724177","0.269307905728554","2"
"Important","1990","Full Time","Rural Area","179","0.253871906916546","0.222147540225853","0.285596273607239","2"
"Important","1990","Part Time","Rural Area","57","0.165483883006963","0.124314805281338","0.206652960732587","2"
"Important","1990","Part Time","Urban Area","248","0.24580584552869","0.219460002800839","0.27215168825654","2"
"Important","1990","Not Working","Urban Area","385","0.194540916894296","0.177183800732186","0.211898033056406","2"
"Important","1990","Not Working","Rural Area","96","0.152337589894443","0.123608236101755","0.181066943687132","2"
"Less important","1990","Part Time","Rural Area","181","0.598993933510885","0.544698587439876","0.653289279581894","3"
"Less important","1990","Full Time","Rural Area","391","0.527600250171414","0.491209897186149","0.563990603156679","3"
"Less important","1990","Full Time","Urban Area","1307","0.528597288083626","0.508883304581905","0.548311271585348","3"
"Less important","1990","Part Time","Urban Area","514","0.504487515594304","0.473894173514869","0.535080857673739","3"
"Less important","1990","Not Working","Urban Area","848","0.407851124968888","0.386302645237966","0.42939960469981","3"
"Less important","1990","Not Working","Rural Area","277","0.446200340840867","0.406458118755463","0.48594256292627","3"
"Quite unimportant","1990","Full Time","Urban Area","497","0.194145453326671","0.178524489470138","0.209766417183205","4"
"Quite unimportant","1990","Full Time","Rural Area","143","0.204984160288537","0.175558447972527","0.234409872604547","4"
"Quite unimportant","1990","Part Time","Urban Area","237","0.221909279156469","0.196483324974813","0.247335233338125","4"
"Quite unimportant","1990","Part Time","Rural Area","70","0.215810644993953","0.170236049262924","0.261385240724982","4"
"Quite unimportant","1990","Not Working","Urban Area","699","0.365252011965856","0.344139139515257","0.386364884416455","4"
"Quite unimportant","1990","Not Working","Rural Area","215","0.380519308226684","0.341703101547722","0.419335514905646","4"
"Very important","1990","Full Time","Urban Area","63","0.0250990828633366","0.0189214079500715","0.0312767577766017","1"
"Very important","1990","Full Time","Rural Area","10","","","","1"
"Very important","1990","Part Time","Urban Area","27","","","","1"
"Very important","1990","Part Time","Rural Area","5","","","","1"
"Very important","1990","Not Working","Urban Area","66","0.0323559461709604","0.024597313027912","0.0401145793140088","1"
"Very important","1990","Not Working","Rural Area","13","","","","1"
"Important","1991","Full Time","Rural Area","","","","","2"
"Important","1991","Full Time","Urban Area","","","","","2"
"Important","1991","Part Time","Urban Area","","","","","2"
"Important","1991","Part Time","Rural Area","","","","","2"
"Important","1991","Not Working","Urban Area","","","","","2"
"Important","1991","Not Working","Rural Area","","","","","2"
"Less important","1991","Full Time","Urban Area","","","","","3"
"Less important","1991","Full Time","Rural Area","","","","","3"
"Less important","1991","Part Time","Urban Area","","","","","3"
"Less important","1991","Part Time","Rural Area","","","","","3"
"Less important","1991","Not Working","Urban Area","","","","","3"
"Less important","1991","Not Working","Rural Area","","","","","3"
"Quite unimportant","1991","Full Time","Rural Area","","","","","4"
"Quite unimportant","1991","Full Time","Urban Area","","","","","4"
"Quite unimportant","1991","Part Time","Urban Area","","","","","4"
"Quite unimportant","1991","Part Time","Rural Area","","","","","4"
"Quite unimportant","1991","Not Working","Urban Area","","","","","4"
"Quite unimportant","1991","Not Working","Rural Area","","","","","4"
"Very important","1991","Full Time","Urban Area","","","","","1"
"Very important","1991","Full Time","Rural Area","","","","","1"
"Very important","1991","Part Time","Urban Area","","","","","1"
"Very important","1991","Part Time","Rural Area","","","","","1"
"Very important","1991","Not Working","Urban Area","","","","","1"
"Very important","1991","Not Working","Rural Area","","","","","1"
"Important","1992","Full Time","Rural Area","297","0.144031094122742","0.128756939022458","0.159305249223026","2"
"Important","1992","Full Time","Urban Area","474","0.156145878168382","0.143629503288355","0.16866225304841","2"
"Important","1992","Part Time","Urban Area","210","0.170833281154313","0.149885191659608","0.191781370649017","2"
"Important","1992","Part Time","Rural Area","111","0.131495660009251","0.108817110115425","0.154174209903077","2"
"Important","1992","Not Working","Urban Area","329","0.148919294660634","0.134126714170485","0.163711875150783","2"
"Important","1992","Not Working","Rural Area","130","0.104653109018249","0.0877108602187901","0.121595357817708","2"
"Less important","1992","Full Time","Urban Area","1724","0.528754346933832","0.511542389397197","0.545966304470466","3"
"Less important","1992","Full Time","Rural Area","1154","0.559546688996845","0.537950944694536","0.581142433299154","3"
"Less important","1992","Part Time","Urban Area","625","0.522832312768777","0.495031725385729","0.550632900151825","3"
"Less important","1992","Part Time","Rural Area","454","0.501127238627002","0.467573379559319","0.534681097694686","3"
"Less important","1992","Not Working","Urban Area","933","0.403227831287932","0.38284508897973","0.423610573596134","3"
"Less important","1992","Not Working","Rural Area","504","0.360758175652039","0.334179091943368","0.38733725936071","3"
"Quite unimportant","1992","Full Time","Urban Area","979","0.296784210782306","0.281031898429768","0.312536523134845","4"
