"plh0111","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very important","1990","1-pers.-HH","in school","","","",""
"Very important","1990","1-pers.-HH","inadequately","","","",""
"Very important","1990","1-pers.-HH","general elemantary","4","","",""
"Very important","1990","1-pers.-HH","middle vocational","14","","",""
"Very important","1990","1-pers.-HH","vocational + Abi","5","","",""
"Very important","1990","1-pers.-HH","higher vocational","","","",""
"Very important","1990","1-pers.-HH","higher education","8","","",""
"Very important","1990","(Married) couple without C. ","in school","","","",""
"Very important","1990","(Married) couple without C. ","inadequately","","","",""
"Very important","1990","(Married) couple without C. ","general elemantary","1","","",""
"Very important","1990","(Married) couple without C. ","middle vocational","27","","",""
"Very important","1990","(Married) couple without C. ","vocational + Abi","2","","",""
"Very important","1990","(Married) couple without C. ","higher vocational","3","","",""
"Very important","1990","(Married) couple without C. ","higher education","6","","",""
"Very important","1990","Single parent ","in school","1","","",""
"Very important","1990","Single parent ","inadequately","1","","",""
"Very important","1990","Single parent ","general elemantary","2","","",""
"Very important","1990","Single parent ","middle vocational","3","","",""
"Very important","1990","Single parent ","vocational + Abi","","","",""
"Very important","1990","Single parent ","higher vocational","2","","",""
"Very important","1990","Single parent ","higher education","2","","",""
"Very important","1990","Couple + C. LE 16 ","in school","1","","",""
"Very important","1990","Couple + C. LE 16 ","inadequately","","","",""
"Very important","1990","Couple + C. LE 16 ","general elemantary","4","","",""
"Very important","1990","Couple + C. LE 16 ","middle vocational","24","","",""
"Very important","1990","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Very important","1990","Couple + C. LE 16 ","higher vocational","1","","",""
"Very important","1990","Couple + C. LE 16 ","higher education","9","","",""
"Very important","1990","Couple + C. GT 16 ","in school","4","","",""
"Very important","1990","Couple + C. GT 16 ","inadequately","","","",""
"Very important","1990","Couple + C. GT 16 ","general elemantary","8","","",""
"Very important","1990","Couple + C. GT 16 ","middle vocational","18","","",""
"Very important","1990","Couple + C. GT 16 ","vocational + Abi","","","",""
"Very important","1990","Couple + C. GT 16 ","higher vocational","3","","",""
"Very important","1990","Couple + C. GT 16 ","higher education","4","","",""
"Very important","1990","Couple + C. LE and GT 16","in school","","","",""
"Very important","1990","Couple + C. LE and GT 16","inadequately","","","",""
"Very important","1990","Couple + C. LE and GT 16","general elemantary","3","","",""
"Very important","1990","Couple + C. LE and GT 16","middle vocational","2","","",""
"Very important","1990","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Very important","1990","Couple + C. LE and GT 16","higher vocational","1","","",""
"Very important","1990","Couple + C. LE and GT 16","higher education","1","","",""
"Important","1990","1-pers.-HH","in school","1","","",""
"Important","1990","1-pers.-HH","inadequately","3","","",""
"Important","1990","1-pers.-HH","general elemantary","34","0.133157283976257","0.0920186315389411","0.174295936413573"
"Important","1990","1-pers.-HH","middle vocational","110","0.249283034343895","0.208953664798189","0.289612403889601"
"Important","1990","1-pers.-HH","vocational + Abi","10","","",""
"Important","1990","1-pers.-HH","higher vocational","16","","",""
"Important","1990","1-pers.-HH","higher education","49","0.461365974289303","0.366466275994869","0.556265672583737"
"Important","1990","(Married) couple without C. ","in school","","","",""
"Important","1990","(Married) couple without C. ","inadequately","2","","",""
