"plh0111","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Urban Area","Male","660","0.257222319617936","0.240488374961264","0.273956264274607","2"
"Important","1990","Rural Area","Male","192","0.230743488018892","0.201512266595023","0.259974709442761","2"
"Important","1990","Urban Area","Female","569","0.202104788807753","0.187402964471452","0.216806613144054","2"
"Important","1990","Rural Area","Female","140","0.163660726735629","0.138626706795652","0.188694746675606","2"
"Less important","1990","Rural Area","Female","433","0.494008535797176","0.460178229302982","0.527838842291371","3"
"Less important","1990","Urban Area","Male","1308","0.495465314373206","0.476324221828228","0.514606406918183","3"
"Less important","1990","Urban Area","Female","1361","0.459285136296043","0.441040494237282","0.477529778354805","3"
"Less important","1990","Rural Area","Male","416","0.519518205826005","0.484853661206344","0.554182750445666","3"
"Quite unimportant","1990","Urban Area","Male","556","0.211048484977953","0.195426692753355","0.226670277202551","4"
"Quite unimportant","1990","Urban Area","Female","877","0.317142434918988","0.300105077330873","0.334179792507103","4"
"Quite unimportant","1990","Rural Area","Male","172","0.225018513008211","0.196044981424754","0.253992044591668","4"
"Quite unimportant","1990","Rural Area","Female","256","0.331119552399199","0.299275100793298","0.362964004005101","4"
"Very important","1990","Urban Area","Male","97","0.0362638810309056","0.0291068847902456","0.0434208772715655","1"
"Very important","1990","Urban Area","Female","59","0.0214676399772158","0.0161613650737528","0.0267739148806789","1"
"Very important","1990","Rural Area","Male","18","","","","1"
"Very important","1990","Rural Area","Female","10","","","","1"
"Important","1991","Urban Area","Male","","","","","2"
"Important","1991","Urban Area","Female","","","","","2"
"Important","1991","Rural Area","Male","","","","","2"
"Important","1991","Rural Area","Female","","","","","2"
"Less important","1991","Urban Area","Male","","","","","3"
"Less important","1991","Rural Area","Female","","","","","3"
"Less important","1991","Urban Area","Female","","","","","3"
"Less important","1991","Rural Area","Male","","","","","3"
"Quite unimportant","1991","Urban Area","Male","","","","","4"
"Quite unimportant","1991","Urban Area","Female","","","","","4"
"Quite unimportant","1991","Rural Area","Female","","","","","4"
"Quite unimportant","1991","Rural Area","Male","","","","","4"
"Very important","1991","Urban Area","Female","","","","","1"
"Very important","1991","Urban Area","Male","","","","","1"
"Very important","1991","Rural Area","Male","","","","","1"
"Very important","1991","Rural Area","Female","","","","","1"
"Important","1992","Urban Area","Male","506","0.160771820423361","0.147978919010016","0.173564721836705","2"
"Important","1992","Urban Area","Female","507","0.15140844247556","0.139582203213169","0.163234681737951","2"
"Important","1992","Rural Area","Male","281","0.144721174388639","0.1292519315685","0.160190417208778","2"
"Important","1992","Rural Area","Female","257","0.110247808596665","0.0970090160407018","0.123486601152629","2"
"Less important","1992","Rural Area","Female","1078","0.458740960754208","0.437678204492689","0.479803717015726","3"
"Less important","1992","Urban Area","Male","1607","0.508413063742444","0.491001708497286","0.525824418987602","3"
"Less important","1992","Urban Area","Female","1675","0.453050042351219","0.436626412594495","0.469473672107943","3"
"Less important","1992","Rural Area","Male","1034","0.4902786101954","0.468298135874275","0.512259084516525","3"
"Quite unimportant","1992","Urban Area","Male","967","0.300876897577561","0.28490357334321","0.316850221811913","4"
"Quite unimportant","1992","Urban Area","Female","1298","0.38090586835245","0.364884137295787","0.396927599409113","4"
"Quite unimportant","1992","Rural Area","Male","625","0.341356141557864","0.320507472230427","0.3622048108853","4"
"Quite unimportant","1992","Rural Area","Female","789","0.418390877438886","0.397539460648729","0.439242294229043","4"
"Very important","1992","Urban Area","Female","49","0.0146356468207711","0.0106735357525904","0.0185977578889519","1"
"Very important","1992","Urban Area","Male","87","0.029938218256634","0.0240029994832844","0.0358734370299836","1"
"Very important","1992","Rural Area","Male","47","0.0236440738580975","0.0169634903910607","0.0303246573251342","1"
"Very important","1992","Rural Area","Female","26","","","","1"
"Important","1993","Urban Area","Male","","","","","2"
"Important","1993","Urban Area","Female","","","","","2"
"Important","1993","Rural Area","Male","","","","","2"
"Important","1993","Rural Area","Female","","","","","2"
"Less important","1993","Rural Area","Female","","","","","3"
"Less important","1993","Urban Area","Male","","","","","3"
"Less important","1993","Urban Area","Female","","","","","3"
"Less important","1993","Rural Area","Male","","","","","3"
"Quite unimportant","1993","Urban Area","Female","","","","","4"
"Quite unimportant","1993","Urban Area","Male","","","","","4"
"Quite unimportant","1993","Rural Area","Male","","","","","4"
"Quite unimportant","1993","Rural Area","Female","","","","","4"
"Very important","1993","Rural Area","Female","","","","","1"
"Very important","1993","Urban Area","Female","","","","","1"
"Very important","1993","Urban Area","Male","","","","","1"
"Very important","1993","Rural Area","Male","","","","","1"
"Important","1994","Urban Area","Female","","","","","2"
"Important","1994","Urban Area","Male","","","","","2"
"Important","1994","Rural Area","Male","","","","","2"
"Important","1994","Rural Area","Female","","","","","2"
"Less important","1994","Urban Area","Male","","","","","3"
"Less important","1994","Urban Area","Female","","","","","3"
"Less important","1994","Rural Area","Male","","","","","3"
"Less important","1994","Rural Area","Female","","","","","3"
"Quite unimportant","1994","Urban Area","Female","","","","","4"
"Quite unimportant","1994","Urban Area","Male","","","","","4"
"Quite unimportant","1994","Rural Area","Male","","","","","4"
"Quite unimportant","1994","Rural Area","Female","","","","","4"
"Very important","1994","Rural Area","Female","","","","","1"
"Very important","1994","Urban Area","Male","","","","","1"
"Very important","1994","Urban Area","Female","","","","","1"
"Very important","1994","Rural Area","Male","","","","","1"
"Important","1995","Urban Area","Female","479","0.136661709903723","0.125613305991981","0.147710113815465","2"
"Important","1995","Rural Area","Male","288","0.150325736659316","0.13476352661544","0.165887946703192","2"
"Important","1995","Urban Area","Male","537","0.164204356922201","0.151576226575721","0.176832487268682","2"
"Important","1995","Rural Area","Female","247","0.120685063404094","0.106947168106072","0.134422958702116","2"
"Less important","1995","Rural Area","Male","1081","0.5131655911501","0.49140113759624","0.53493004470396","3"
"Less important","1995","Urban Area","Female","1835","0.480937969029921","0.464867084533084","0.497008853526757","3"
"Less important","1995","Rural Area","Female","1117","0.470311686374313","0.449263033971051","0.491360338777576","3"
"Less important","1995","Urban Area","Male","1711","0.51571090288211","0.498675509417559","0.532746296346662","3"
"Quite unimportant","1995","Urban Area","Female","1351","0.368797087569166","0.353278083221016","0.384316091917316","4"
"Quite unimportant","1995","Urban Area","Male","987","0.295972845923698","0.280412569577874","0.311533122269523","4"
"Quite unimportant","1995","Rural Area","Male","617","0.316790011573006","0.296532261260555","0.337047761885458","4"
"Quite unimportant","1995","Rural Area","Female","778","0.400167849499756","0.379506571459802","0.420829127539711","4"
"Very important","1995","Rural Area","Female","18","","","","1"
"Very important","1995","Urban Area","Male","71","0.0241118942719898","0.0188829700972771","0.0293408184467026","1"
"Very important","1995","Urban Area","Female","48","0.0136032334971898","0.00987732218883912","0.0173291448055404","1"
"Very important","1995","Rural Area","Male","40","0.0197186606175781","0.0136646602301096","0.0257726610050466","1"
"Important","1996","Urban Area","Female","","","","","2"
"Important","1996","Urban Area","Male","","","","","2"
"Important","1996","Rural Area","Male","","","","","2"
"Important","1996","Rural Area","Female","","","","","2"
"Less important","1996","Rural Area","Male","","","","","3"
"Less important","1996","Urban Area","Female","","","","","3"
"Less important","1996","Rural Area","Female","","","","","3"
"Less important","1996","Urban Area","Male","","","","","3"
"Quite unimportant","1996","Urban Area","Female","","","","","4"
"Quite unimportant","1996","Urban Area","Male","","","","","4"
"Quite unimportant","1996","Rural Area","Male","","","","","4"
"Quite unimportant","1996","Rural Area","Female","","","","","4"
"Very important","1996","Rural Area","Female","","","","","1"
"Very important","1996","Urban Area","Male","","","","","1"
"Very important","1996","Urban Area","Female","","","","","1"
"Very important","1996","Rural Area","Male","","","","","1"
"Important","1997","Rural Area","Male","","","","","2"
"Important","1997","Urban Area","Male","","","","","2"
"Important","1997","Urban Area","Female","","","","","2"
"Important","1997","Rural Area","Female","","","","","2"
"Less important","1997","Rural Area","Male","","","","","3"
"Less important","1997","Urban Area","Female","","","","","3"
"Less important","1997","Rural Area","Female","","","","","3"
"Less important","1997","Urban Area","Male","","","","","3"
"Quite unimportant","1997","Urban Area","Female","","","","","4"
"Quite unimportant","1997","Urban Area","Male","","","","","4"
"Quite unimportant","1997","Rural Area","Male","","","","","4"
"Quite unimportant","1997","Rural Area","Female","","","","","4"
"Very important","1997","Rural Area","Female","","","","","1"
"Very important","1997","Urban Area","Male","","","","","1"
"Very important","1997","Urban Area","Female","","","","","1"
"Very important","1997","Rural Area","Male","","","","","1"
"Important","1998","Rural Area","Male","","","","","2"
"Important","1998","Urban Area","Female","","","","","2"
"Important","1998","Urban Area","Male","","","","","2"
"Important","1998","Rural Area","Female","","","","","2"
"Less important","1998","Urban Area","Male","","","","","3"
"Less important","1998","Rural Area","Male","","","","","3"
"Less important","1998","Urban Area","Female","","","","","3"
"Less important","1998","Rural Area","Female","","","","","3"
"Quite unimportant","1998","Urban Area","Female","","","","","4"
"Quite unimportant","1998","Urban Area","Male","","","","","4"
"Quite unimportant","1998","Rural Area","Male","","","","","4"
"Quite unimportant","1998","Rural Area","Female","","","","","4"
"Very important","1998","Urban Area","Male","","","","","1"
"Very important","1998","Urban Area","Female","","","","","1"
"Very important","1998","Rural Area","Male","","","","","1"
