"ple0016","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","general elemantary","Urban Area","1176","0.971107153841309","0.961653424237553","0.980560883445064","2"
"No","2009","vocational + Abi","Urban Area","741","0.994155391508272","0.988685439377482","0.999625343639063","2"
"No","2009","higher education","Urban Area","2826","0.989050786924202","0.985231572160114","0.99287000168829","2"
"No","2009","in school","Urban Area","219","1","1","1","2"
"No","2009","in school","Rural Area","94","1","1","1","2"
"No","2009","general elemantary","Rural Area","593","0.986147421438512","0.97684174363521","0.995453099241813","2"
"No","2009","vocational + Abi","Rural Area","255","0.988880606673406","0.976060430132806","1.00170078321401","2"
"No","2009","higher education","Rural Area","1182","0.985036460925021","0.978158743479474","0.991914178370568","2"
"No","2009","inadequately","Urban Area","122","0.943324353447368","0.902951301238679","0.983697405656056","2"
"No","2009","inadequately","Rural Area","41","0.951320196262345","0.88699936759577","1.01564102492892","2"
"No","2009","middle vocational","Urban Area","5577","0.981903680035395","0.97843708189058","0.98537027818021","2"
"No","2009","middle vocational","Rural Area","3363","0.980973452739151","0.97640208297577","0.985544822502533","2"
"No","2009","higher vocational","Urban Area","803","0.973077241981479","0.962005653271943","0.984148830691014","2"
"No","2009","higher vocational","Rural Area","509","0.969584874786229","0.954782188342494","0.984387561229964","2"
"Yes","2009","in school","Urban Area","","","","","1"
"Yes","2009","in school","Rural Area","","","","","1"
"Yes","2009","inadequately","Urban Area","4","","","","1"
"Yes","2009","inadequately","Rural Area","2","","","","1"
"Yes","2009","general elemantary","Urban Area","30","0.0288928461586913","0.0194391165549359","0.0383465757624467","1"
"Yes","2009","general elemantary","Rural Area","13","","","","1"
"Yes","2009","middle vocational","Urban Area","103","0.018096319964605","0.0146297218197901","0.02156291810942","1"
"Yes","2009","middle vocational","Rural Area","68","0.0190265472608488","0.0144551774974673","0.0235979170242303","1"
"Yes","2009","vocational + Abi","Urban Area","5","","","","1"
"Yes","2009","vocational + Abi","Rural Area","2","","","","1"
"Yes","2009","higher vocational","Urban Area","18","","","","1"
"Yes","2009","higher vocational","Rural Area","8","","","","1"
"Yes","2009","higher education","Urban Area","26","","","","1"
"Yes","2009","higher education","Rural Area","15","","","","1"
"No","2010","in school","Urban Area","","","","","2"
"No","2010","in school","Rural Area","","","","","2"
"No","2010","general elemantary","Urban Area","","","","","2"
"No","2010","general elemantary","Rural Area","","","","","2"
"No","2010","vocational + Abi","Urban Area","","","","","2"
"No","2010","vocational + Abi","Rural Area","","","","","2"
"No","2010","higher education","Urban Area","","","","","2"
"No","2010","higher education","Rural Area","","","","","2"
"No","2010","inadequately","Urban Area","","","","","2"
"No","2010","inadequately","Rural Area","","","","","2"
"No","2010","middle vocational","Urban Area","","","","","2"
"No","2010","middle vocational","Rural Area","","","","","2"
"No","2010","higher vocational","Urban Area","","","","","2"
"No","2010","higher vocational","Rural Area","","","","","2"
"Yes","2010","in school","Urban Area","","","","","1"
"Yes","2010","in school","Rural Area","","","","","1"
"Yes","2010","inadequately","Urban Area","","","","","1"
"Yes","2010","inadequately","Rural Area","","","","","1"
"Yes","2010","general elemantary","Urban Area","","","","","1"
"Yes","2010","general elemantary","Rural Area","","","","","1"
"Yes","2010","middle vocational","Urban Area","","","","","1"
"Yes","2010","middle vocational","Rural Area","","","","","1"
"Yes","2010","vocational + Abi","Urban Area","","","","","1"
"Yes","2010","vocational + Abi","Rural Area","","","","","1"
"Yes","2010","higher vocational","Urban Area","","","","","1"
"Yes","2010","higher vocational","Rural Area","","","","","1"
"Yes","2010","higher education","Urban Area","","","","","1"
"Yes","2010","higher education","Rural Area","","","","","1"
"No","2011","in school","Urban Area","236","1","1","1","2"
"No","2011","general elemantary","Urban Area","1377","0.950294711045198","0.939053804722855","0.961535617367541","2"
"No","2011","vocational + Abi","Urban Area","884","0.99732110369673","0.993921431338913","1.00072077605455","2"
"No","2011","in school","Rural Area","77","1","1","1","2"
"No","2011","general elemantary","Rural Area","735","0.982636269111723","0.97330034981529","0.991972188408155","2"
"No","2011","vocational + Abi","Rural Area","319","0.997439900771478","0.991911909573167","1.00296789196979","2"
"No","2011","inadequately","Urban Area","162","0.955903720558437","0.924765204963657","0.987042236153218","2"
"No","2011","inadequately","Rural Area","62","0.964572217944357","0.919974208010829","1.00917022787788","2"
"No","2011","middle vocational","Urban Area","6370","0.975592741292696","0.971845445319818","0.979340037265575","2"
"No","2011","middle vocational","Rural Area","3933","0.974178988995764","0.969284739049553","0.979073238941975","2"
"No","2011","higher vocational","Urban Area","856","0.980878189574339","0.971809008334492","0.989947370814186","2"
"No","2011","higher vocational","Rural Area","565","0.97010479059229","0.956221439825652","0.983988141358929","2"
"No","2011","higher education","Urban Area","3216","0.982712908395477","0.978238040613488","0.987187776177466","2"
"No","2011","higher education","Rural Area","1319","0.980780325631086","0.973431929033194","0.988128722228978","2"
"Yes","2011","in school","Urban Area","","","","","1"
"Yes","2011","in school","Rural Area","","","","","1"
"Yes","2011","inadequately","Urban Area","5","","","","1"
"Yes","2011","inadequately","Rural Area","4","","","","1"
"Yes","2011","general elemantary","Urban Area","59","0.0497052889548016","0.0384643826324587","0.0609461952771445","1"
"Yes","2011","general elemantary","Rural Area","17","","","","1"
"Yes","2011","middle vocational","Urban Area","144","0.0244072587073036","0.0206599627344248","0.0281545546801824","1"
"Yes","2011","middle vocational","Rural Area","101","0.0258210110042356","0.0209267610580247","0.0307152609504465","1"
"Yes","2011","vocational + Abi","Urban Area","4","","","","1"
"Yes","2011","vocational + Abi","Rural Area","2","","","","1"
"Yes","2011","higher vocational","Urban Area","20","","","","1"
"Yes","2011","higher vocational","Rural Area","13","","","","1"
"Yes","2011","higher education","Urban Area","43","0.017287091604523","0.012812223822534","0.021761959386512","1"
"Yes","2011","higher education","Rural Area","22","","","","1"
"No","2012","in school","Urban Area","","","","","2"
"No","2012","in school","Rural Area","","","","","2"
"No","2012","general elemantary","Urban Area","","","","","2"
"No","2012","general elemantary","Rural Area","","","","","2"
"No","2012","vocational + Abi","Urban Area","","","","","2"
"No","2012","vocational + Abi","Rural Area","","","","","2"
"No","2012","higher vocational","Urban Area","","","","","2"
"No","2012","higher vocational","Rural Area","","","","","2"
"No","2012","higher education","Urban Area","","","","","2"
"No","2012","higher education","Rural Area","","","","","2"
"No","2012","inadequately","Urban Area","","","","","2"
"No","2012","inadequately","Rural Area","","","","","2"
"No","2012","middle vocational","Urban Area","","","","","2"
"No","2012","middle vocational","Rural Area","","","","","2"
"Yes","2012","higher vocational","Urban Area","","","","","1"
"Yes","2012","higher vocational","Rural Area","","","","","1"
"Yes","2012","in school","Urban Area","","","","","1"
"Yes","2012","in school","Rural Area","","","","","1"
"Yes","2012","inadequately","Urban Area","","","","","1"
"Yes","2012","inadequately","Rural Area","","","","","1"
"Yes","2012","general elemantary","Urban Area","","","","","1"
"Yes","2012","general elemantary","Rural Area","","","","","1"
"Yes","2012","middle vocational","Urban Area","","","","","1"
"Yes","2012","middle vocational","Rural Area","","","","","1"
"Yes","2012","vocational + Abi","Urban Area","","","","","1"
"Yes","2012","vocational + Abi","Rural Area","","","","","1"
"Yes","2012","higher education","Urban Area","","","","","1"
"Yes","2012","higher education","Rural Area","","","","","1"
"No","2013","in school","Urban Area","185","1","1","1","2"
"No","2013","in school","Rural Area","75","1","1","1","2"
"No","2013","general elemantary","Urban Area","1199","0.96190150398501","0.951237826874974","0.972565181095046","2"
"No","2013","general elemantary","Rural Area","607","0.971161347436641","0.958072498780226","0.984250196093055","2"
"No","2013","vocational + Abi","Urban Area","800","0.998265783619187","0.99538974441681","1.00114182282156","2"
"No","2013","vocational + Abi","Rural Area","295","0.995228072543271","0.987416819225228","1.00303932586131","2"
"No","2013","higher vocational","Urban Area","779","0.969781924972161","0.95791949838335","0.981644351560971","2"
"No","2013","higher vocational","Rural Area","523","0.983021952240254","0.972054393473355","0.993989511007154","2"
"No","2013","higher education","Urban Area","3148","0.982977932471769","0.978490533456497","0.987465331487041","2"
"No","2013","higher education","Rural Area","1262","0.976590837828238","0.968327093641948","0.984854582014528","2"
"No","2013","inadequately","Urban Area","126","0.969336616885597","0.9395856845798","0.999087549191393","2"
"No","2013","inadequately","Rural Area","63","0.962069110855025","0.915982394045934","1.00815582766412","2"
"No","2013","middle vocational","Urban Area","5608","0.975014672673238","0.970979023756514","0.979050321589962","2"
"No","2013","middle vocational","Rural Area","3609","0.972012200401368","0.966706950423344","0.977317450379391","2"
"Yes","2013","higher vocational","Urban Area","21","","","","1"
"Yes","2013","higher vocational","Rural Area","10","","","","1"
"Yes","2013","in school","Urban Area","","","","","1"
"Yes","2013","in school","Rural Area","","","","","1"
"Yes","2013","inadequately","Urban Area","3","","","","1"
"Yes","2013","inadequately","Rural Area","3","","","","1"
"Yes","2013","general elemantary","Urban Area","39","0.0380984960149901","0.027434818904954","0.0487621731250261","1"
"Yes","2013","general elemantary","Rural Area","21","","","","1"
"Yes","2013","middle vocational","Urban Area","138","0.0249853273267621","0.0209496784100377","0.0290209762434864","1"
"Yes","2013","middle vocational","Rural Area","104","0.0279877995986325","0.0226825496206087","0.0332930495766563","1"
"Yes","2013","vocational + Abi","Urban Area","4","","","","1"
"Yes","2013","vocational + Abi","Rural Area","4","","","","1"
"Yes","2013","higher education","Urban Area","44","0.0170220675282311","0.0125346685129592","0.021509466543503","1"
"Yes","2013","higher education","Rural Area","24","","","","1"
"No","2014","in school","Urban Area","","","","","2"
"No","2014","in school","Rural Area","","","","","2"
"No","2014","general elemantary","Urban Area","","","","","2"
"No","2014","general elemantary","Rural Area","","","","","2"
"No","2014","inadequately","Urban Area","","","","","2"
"No","2014","inadequately","Rural Area","","","","","2"
"No","2014","middle vocational","Urban Area","","","","","2"
"No","2014","middle vocational","Rural Area","","","","","2"
"No","2014","vocational + Abi","Urban Area","","","","","2"
"No","2014","vocational + Abi","Rural Area","","","","","2"
"No","2014","higher vocational","Urban Area","","","","","2"
"No","2014","higher vocational","Rural Area","","","","","2"
"No","2014","higher education","Urban Area","","","","","2"
"No","2014","higher education","Rural Area","","","","","2"
"Yes","2014","in school","Urban Area","","","","","1"
"Yes","2014","in school","Rural Area","","","","","1"
"Yes","2014","inadequately","Urban Area","","","","","1"
"Yes","2014","inadequately","Rural Area","","","","","1"
"Yes","2014","general elemantary","Urban Area","","","","","1"
"Yes","2014","general elemantary","Rural Area","","","","","1"
"Yes","2014","middle vocational","Urban Area","","","","","1"
"Yes","2014","middle vocational","Rural Area","","","","","1"
"Yes","2014","higher vocational","Urban Area","","","","","1"
"Yes","2014","higher vocational","Rural Area","","","","","1"
"Yes","2014","vocational + Abi","Urban Area","","","","","1"
"Yes","2014","vocational + Abi","Rural Area","","","","","1"
"Yes","2014","higher education","Urban Area","","","","","1"
"Yes","2014","higher education","Rural Area","","","","","1"
"No","2015","in school","Urban Area","233","1","1","1","2"
"No","2015","in school","Rural Area","119","1","1","1","2"
"No","2015","general elemantary","Urban Area","1745","0.970417881212","0.962560073495455","0.978275688928545","2"
"No","2015","general elemantary","Rural Area","885","0.975931404489698","0.965929565864883","0.985933243114513","2"
"No","2015","middle vocational","Urban Area","6939","0.972572261940138","0.968774550296686","0.97636997358359","2"
"No","2015","middle vocational","Rural Area","4497","0.972736766705024","0.968033793874471","0.977439739535576","2"
"No","2015","vocational + Abi","Urban Area","1414","0.991991890965224","0.98737557388079","0.996608208049658","2"
"No","2015","vocational + Abi","Rural Area","522","0.985870961484904","0.975813541249565","0.995928381720243","2"
"No","2015","higher vocational","Urban Area","900","0.974850991887668","0.964771520105113","0.984930463670223","2"
"No","2015","higher vocational","Rural Area","589","0.964686154461399","0.949978753486912","0.979393555435885","2"
"No","2015","higher education","Urban Area","4207","0.984679261460019","0.980990924949687","0.988367597970351","2"
"No","2015","higher education","Rural Area","1606","0.979356125323786","0.972459749390856","0.986252501256716","2"
"No","2015","inadequately","Urban Area","272","0.963657086123592","0.941853596607656","0.985460575639527","2"
"No","2015","inadequately","Rural Area","124","0.953762754802255","0.917524323394779","0.990001186209731","2"
"Yes","2015","middle vocational","Urban Area","166","0.027427738059862","0.0236300264164096","0.0312254497033145","1"
