"ple0016","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","vocational + Abi","153","0.988963024093809","0.972515621755927","1.00541042643169","2"
"No","2009","Single parent ","in school","45","1","1","1","2"
"No","2009","(Married) couple without C. ","vocational + Abi","291","0.993092596663472","0.983625284309413","1.00255990901753","2"
"No","2009","1-pers.-HH","inadequately","22","","","","2"
"No","2009","(Married) couple without C. ","middle vocational","3407","0.968030768086907","0.962217627112767","0.973843909061048","2"
"No","2009","1-pers.-HH","in school","1","","","","2"
"No","2009","Couple + C. LE 16 ","middle vocational","1354","0.997167017031075","0.994340158073917","0.999993875988232","2"
"No","2009","Couple + C. LE 16 ","in school","","","","","2"
"No","2009","Couple + C. GT 16 ","general elemantary","335","0.977836837316758","0.962280120939594","0.993393553693921","2"
"No","2009","Couple + C. GT 16 ","middle vocational","1573","0.991504020992791","0.986988440555795","0.996019601429788","2"
"No","2009","Single parent ","higher education","152","0.9889959883942","0.972519657114052","1.00547231967435","2"
"No","2009","Couple + C. GT 16 ","higher education","580","0.994564627621161","0.988596405613586","1.00053284962874","2"
"No","2009","Couple + C. LE and GT 16","in school","119","1","1","1","2"
"No","2009","Couple + C. LE and GT 16","inadequately","10","","","","2"
"No","2009","Couple + C. LE and GT 16","general elemantary","137","1","1","1","2"
"No","2009","Couple + C. LE and GT 16","middle vocational","488","0.997012039025782","0.9921842864233","1.00183979162826","2"
"No","2009","Couple + C. LE and GT 16","vocational + Abi","69","1","1","1","2"
"No","2009","Couple + C. LE and GT 16","higher vocational","78","1","1","1","2"
"No","2009","Couple + C. LE and GT 16","higher education","209","1","1","1","2"
"No","2009","1-pers.-HH","general elemantary","377","0.954915302914301","0.934479227217403","0.975351378611199","2"
"No","2009","1-pers.-HH","middle vocational","1474","0.982567337689204","0.975952987364729","0.989181688013679","2"
"No","2009","(Married) couple without C. ","higher vocational","502","0.960959847182358","0.9442638949052","0.977655799459516","2"
"No","2009","(Married) couple without C. ","higher education","1717","0.981257089885463","0.974892289821914","0.987621889949013","2"
"No","2009","Couple + C. LE 16 ","inadequately","26","","","","2"
"No","2009","Couple + C. LE 16 ","general elemantary","180","0.995224909169594","0.985181983676336","1.00526783466285","2"
"No","2009","Couple + C. GT 16 ","vocational + Abi","141","1","1","1","2"
"No","2009","Couple + C. GT 16 ","higher vocational","207","0.966243030486086","0.941758044437089","0.990728016535082","2"
"No","2009","1-pers.-HH","higher vocational","182","0.97194354123833","0.948338426673245","0.995548655803414","2"
"No","2009","1-pers.-HH","higher education","604","0.985405249276088","0.975904055917039","0.994906442635137","2"
"No","2009","(Married) couple without C. ","in school","3","","","","2"
"No","2009","(Married) couple without C. ","inadequately","52","0.922281123935324","0.850873246037863","0.993689001832785","2"
"No","2009","(Married) couple without C. ","general elemantary","507","0.977812745999771","0.965140778898311","0.990484713101232","2"
"No","2009","Single parent ","inadequately","18","","","","2"
"No","2009","Single parent ","general elemantary","171","0.997765284959335","0.990708463360088","1.00482210655858","2"
"No","2009","Single parent ","middle vocational","476","0.990342652788959","0.981602938852838","0.99908236672508","2"
"No","2009","Single parent ","vocational + Abi","44","1","1","1","2"
"No","2009","Single parent ","higher vocational","34","0.966878893427237","0.907592841806487","1.02616494504799","2"
"No","2009","Couple + C. LE 16 ","vocational + Abi","284","0.997146669085284","0.990953951805089","1.00333938636548","2"
"No","2009","Couple + C. LE 16 ","higher vocational","290","0.989731825463966","0.978149200743673","1.00131445018426","2"
"No","2009","Couple + C. LE 16 ","higher education","705","0.999563726880054","0.99802333857698","1.00110411518313","2"
"No","2009","Couple + C. GT 16 ","in school","139","1","1","1","2"
"No","2009","Couple + C. GT 16 ","inadequately","30","0.991173533401991","0.958247794226197","1.02409927257778","2"
"Yes","2009","1-pers.-HH","in school","","","","","1"
"Yes","2009","1-pers.-HH","inadequately","3","","","","1"
"Yes","2009","1-pers.-HH","general elemantary","19","","","","1"
"Yes","2009","1-pers.-HH","middle vocational","30","0.017432662310796","0.010818311986321","0.024047012635271","1"
"Yes","2009","1-pers.-HH","vocational + Abi","2","","","","1"
"Yes","2009","1-pers.-HH","higher vocational","6","","","","1"
"Yes","2009","1-pers.-HH","higher education","8","","","","1"
"Yes","2009","(Married) couple without C. ","in school","","","","","1"
"Yes","2009","(Married) couple without C. ","inadequately","2","","","","1"
"Yes","2009","(Married) couple without C. ","general elemantary","12","","","","1"
"Yes","2009","(Married) couple without C. ","middle vocational","111","0.0319692319130926","0.026156090938952","0.0377823728872332","1"
"Yes","2009","(Married) couple without C. ","vocational + Abi","3","","","","1"
"Yes","2009","(Married) couple without C. ","higher vocational","15","","","","1"
"Yes","2009","(Married) couple without C. ","higher education","27","","","","1"
"Yes","2009","Single parent ","in school","","","","","1"
"Yes","2009","Single parent ","inadequately","","","","","1"
"Yes","2009","Single parent ","general elemantary","1","","","","1"
"Yes","2009","Single parent ","middle vocational","5","","","","1"
"Yes","2009","Single parent ","vocational + Abi","","","","","1"
"Yes","2009","Single parent ","higher vocational","1","","","","1"
"Yes","2009","Single parent ","higher education","2","","","","1"
"Yes","2009","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2009","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2009","Couple + C. LE 16 ","general elemantary","1","","","","1"
"Yes","2009","Couple + C. LE 16 ","middle vocational","4","","","","1"
"Yes","2009","Couple + C. LE 16 ","vocational + Abi","1","","","","1"
