"ple0016","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","direct migration background","329","0.968284753280965","0.94968502947128","0.986884477090649","2"
"No","2009","66 and older","indirect migration background","5","","","","2"
"No","2009","16-34 y.","no migration background","3187","0.999134515961297","0.998114060011599","1.000154971911","2"
"No","2009","16-34 y.","indirect migration background","517","0.998880494385648","0.996000755469612","1.00176023330168","2"
"No","2009","35-65 y.","no migration background","8593","0.988490288209536","0.986246501141292","0.990734075277781","2"
"No","2009","35-65 y.","direct migration background","1020","0.984429238954528","0.976864610956658","0.991993866952398","2"
"No","2009","66 and older","no migration background","3693","0.951214254330896","0.944429001025672","0.957999507636119","2"
"No","2009","16-34 y.","direct migration background","298","1","1","1","2"
"No","2009","35-65 y.","indirect migration background","190","0.994219081967268","0.983467537379555","1.00497062655498","2"
"Yes","2009","16-34 y.","no migration background","3","","","","1"
"Yes","2009","16-34 y.","direct migration background","","","","","1"
"Yes","2009","16-34 y.","indirect migration background","1","","","","1"
"Yes","2009","35-65 y.","no migration background","88","0.0115097117904636","0.00926592472221879","0.0137534988587084","1"
"Yes","2009","35-65 y.","direct migration background","9","","","","1"
"Yes","2009","35-65 y.","indirect migration background","1","","","","1"
"Yes","2009","66 and older","no migration background","179","0.0487857456691042","0.0420004923638807","0.0555709989743276","1"
"Yes","2009","66 and older","direct migration background","12","","","","1"
"Yes","2009","66 and older","indirect migration background","1","","","","1"
"No","2010","16-34 y.","no migration background","","","","","2"
"No","2010","16-34 y.","indirect migration background","","","","","2"
"No","2010","35-65 y.","no migration background","","","","","2"
"No","2010","35-65 y.","direct migration background","","","","","2"
"No","2010","66 and older","no migration background","","","","","2"
"No","2010","66 and older","direct migration background","","","","","2"
"No","2010","66 and older","indirect migration background","","","","","2"
"No","2010","16-34 y.","direct migration background","","","","","2"
"No","2010","35-65 y.","indirect migration background","","","","","2"
"Yes","2010","16-34 y.","no migration background","","","","","1"
"Yes","2010","16-34 y.","direct migration background","","","","","1"
"Yes","2010","16-34 y.","indirect migration background","","","","","1"
"Yes","2010","35-65 y.","no migration background","","","","","1"
"Yes","2010","35-65 y.","direct migration background","","","","","1"
"Yes","2010","35-65 y.","indirect migration background","","","","","1"
"Yes","2010","66 and older","no migration background","","","","","1"
"Yes","2010","66 and older","direct migration background","","","","","1"
"Yes","2010","66 and older","indirect migration background","","","","","1"
"No","2011","16-34 y.","no migration background","3414","0.999797698567546","0.99932077947895","1.00027461765614","2"
"No","2011","16-34 y.","direct migration background","369","1","1","1","2"
"No","2011","16-34 y.","indirect migration background","522","1","1","1","2"
"No","2011","35-65 y.","no migration background","9727","0.985647884303415","0.983300617618443","0.987995150988387","2"
"No","2011","35-65 y.","direct migration background","1215","0.983028858434768","0.975807634526163","0.990250082343372","2"
"No","2011","66 and older","no migration background","4510","0.940285697327258","0.933555582205609","0.947015812448907","2"
"No","2011","66 and older","direct migration background","397","0.952631043085882","0.932363498313016","0.972898587858749","2"
"No","2011","66 and older","indirect migration background","5","","","","2"
"No","2011","35-65 y.","indirect migration background","267","0.983918958591293","0.968942808113862","0.998895109068724","2"
"Yes","2011","16-34 y.","no migration background","2","","","","1"
"Yes","2011","16-34 y.","direct migration background","","","","","1"
"Yes","2011","16-34 y.","indirect migration background","","","","","1"
"Yes","2011","35-65 y.","no migration background","136","0.0143521156965849","0.0120048490116132","0.0166993823815566","1"
"Yes","2011","35-65 y.","direct migration background","14","","","","1"
"Yes","2011","35-65 y.","indirect migration background","4","","","","1"
"Yes","2011","66 and older","no migration background","252","0.0597143026727419","0.0529841875510928","0.066444417794391","1"
"Yes","2011","66 and older","direct migration background","25","","","","1"
"Yes","2011","66 and older","indirect migration background","1","","","","1"
"No","2012","16-34 y.","no migration background","","","","","2"
"No","2012","16-34 y.","direct migration background","","","","","2"
"No","2012","16-34 y.","indirect migration background","","","","","2"
"No","2012","35-65 y.","no migration background","","","","","2"
"No","2012","35-65 y.","direct migration background","","","","","2"
"No","2012","66 and older","no migration background","","","","","2"
"No","2012","66 and older","direct migration background","","","","","2"
"No","2012","66 and older","indirect migration background","","","","","2"
"No","2012","35-65 y.","indirect migration background","","","","","2"
"Yes","2012","16-34 y.","no migration background","","","","","1"
"Yes","2012","16-34 y.","direct migration background","","","","","1"
"Yes","2012","16-34 y.","indirect migration background","","","","","1"
"Yes","2012","35-65 y.","no migration background","","","","","1"
"Yes","2012","35-65 y.","direct migration background","","","","","1"
"Yes","2012","35-65 y.","indirect migration background","","","","","1"
"Yes","2012","66 and older","no migration background","","","","","1"
"Yes","2012","66 and older","direct migration background","","","","","1"
"Yes","2012","66 and older","indirect migration background","","","","","1"
"No","2013","16-34 y.","no migration background","2993","0.99921298987127","0.998209179974285","1.00021679976825","2"
