"ple0016","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","no migration background","10","","",""
"Yes","2009","Schleswig-Holstein","direct migration background","1","","",""
"Yes","2009","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2009","Hamburg","no migration background","4","","",""
"Yes","2009","Hamburg","direct migration background","","","",""
"Yes","2009","Hamburg","indirect migration background","","","",""
"Yes","2009","Lower Saxony","no migration background","26","","",""
"Yes","2009","Lower Saxony","direct migration background","1","","",""
"Yes","2009","Lower Saxony","indirect migration background","1","","",""
"Yes","2009","Bremen","no migration background","2","","",""
"Yes","2009","Bremen","direct migration background","1","","",""
"Yes","2009","Bremen","indirect migration background","","","",""
"Yes","2009","North Rhine-Westphalia","no migration background","49","0.0191537513984947","0.0142498414769832","0.0240576613200063"
"Yes","2009","North Rhine-Westphalia","direct migration background","4","","",""
"Yes","2009","North Rhine-Westphalia","indirect migration background","1","","",""
"Yes","2009","Hesse","no migration background","23","","",""
"Yes","2009","Hesse","direct migration background","","","",""
"Yes","2009","Hesse","indirect migration background","","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","no migration background","12","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","direct migration background","1","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","2009","Baden-Württemberg","no migration background","21","","",""
"Yes","2009","Baden-Württemberg","direct migration background","8","","",""
"Yes","2009","Baden-Württemberg","indirect migration background","1","","",""
"Yes","2009","Bavaria","no migration background","36","0.0145056640826555","0.00955656485716976","0.0194547633081412"
"Yes","2009","Bavaria","direct migration background","3","","",""
"Yes","2009","Bavaria","indirect migration background","","","",""
"Yes","2009","Berlin","no migration background","11","","",""
"Yes","2009","Berlin","direct migration background","","","",""
"Yes","2009","Berlin","indirect migration background","","","",""
"Yes","2009","Brandenburg","no migration background","15","","",""
"Yes","2009","Brandenburg","direct migration background","1","","",""
"Yes","2009","Brandenburg","indirect migration background","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","no migration background","8","","",""
"Yes","2009","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2009","Saxony","no migration background","27","","",""
"Yes","2009","Saxony","direct migration background","1","","",""
"Yes","2009","Saxony","indirect migration background","","","",""
"Yes","2009","Saxony-Anhalt","no migration background","13","","",""
"Yes","2009","Saxony-Anhalt","direct migration background","","","",""
"Yes","2009","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2009","Thuringia","no migration background","13","","",""
"Yes","2009","Thuringia","direct migration background","","","",""
"Yes","2009","Thuringia","indirect migration background","","","",""
"No","2009","Schleswig-Holstein","no migration background","452","0.973541709401876","0.958906960489885","0.988176458313868"
"No","2009","Schleswig-Holstein","direct migration background","44","0.972102569433423","0.923987625692073","1.02021751317477"
"No","2009","Schleswig-Holstein","indirect migration background","9","","",""
"No","2009","Hamburg","no migration background","246","0.982284995423618","0.965933123524313","0.998636867322924"
"No","2009","Hamburg","direct migration background","13","","",""
"No","2009","Hamburg","indirect migration background","8","","",""
"No","2009","Lower Saxony","no migration background","1444","0.98020658318458","0.973086113918323","0.987327052450837"
"No","2009","Lower Saxony","direct migration background","131","0.98644967198784","0.966726648317819","1.00617269565786"
"No","2009","Lower Saxony","indirect migration background","44","0.985330937268508","0.950204502168155","1.02045737236886"
"No","2009","Bremen","no migration background","111","0.977043370467205","0.949429972420582","1.00465676851383"
"No","2009","Bremen","direct migration background","4","","",""
"No","2009","Bremen","indirect migration background","2","","",""
"No","2009","North Rhine-Westphalia","no migration background","2952","0.980846248601505","0.975942338679994","0.985750158523017"
"No","2009","North Rhine-Westphalia","direct migration background","443","0.988668105153674","0.978855804215778","0.998480406091571"
"No","2009","North Rhine-Westphalia","indirect migration background","196","0.995063625507696","0.985276741229883","1.00485050978551"
"No","2009","Hesse","no migration background","981","0.973909872524856","0.964049831559774","0.983769913489938"
"No","2009","Hesse","direct migration background","161","1","1","1"
"No","2009","Hesse","indirect migration background","61","1","1","1"
"No","2009","Rhineland-Palatinate,Saarland","no migration background","826","0.9883670688623","0.98110718298602","0.995626954738581"
"No","2009","Rhineland-Palatinate,Saarland","direct migration background","132","0.997544861127804","0.989134270020553","1.00595545223505"
"No","2009","Rhineland-Palatinate,Saarland","indirect migration background","56","1","1","1"
"No","2009","Baden-Württemberg","no migration background","1590","0.985722557107224","0.979929565701775","0.991515548512673"
"No","2009","Baden-Württemberg","direct migration background","344","0.969903429044437","0.95205501980119","0.987751838287684"
"No","2009","Baden-Württemberg","indirect migration background","154","0.99634323327166","0.986840788412818","1.0058456781305"
"No","2009","Bavaria","no migration background","2206","0.985494335917344","0.980545236691859","0.99044343514283"
"No","2009","Bavaria","direct migration background","259","0.983762216403786","0.968458183554872","0.9990662492527"
"No","2009","Bavaria","indirect migration background","124","1","1","1"
"No","2009","Berlin","no migration background","603","0.975226327587092","0.962931801032991","0.987520854141192"
"No","2009","Berlin","direct migration background","50","1","1","1"
"No","2009","Berlin","indirect migration background","22","","",""
"No","2009","Brandenburg","no migration background","755","0.975687626664872","0.964809056801208","0.986566196528535"
"No","2009","Brandenburg","direct migration background","12","","",""
"No","2009","Brandenburg","indirect migration background","12","","",""
"No","2009","Mecklenburg-Western Pomerania","no migration background","462","0.966046878806195","0.949673507345485","0.982420250266905"
"No","2009","Mecklenburg-Western Pomerania","direct migration background","5","","",""
"No","2009","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"No","2009","Saxony","no migration background","1314","0.98373981792737","0.976970630652297","0.990509005202443"
"No","2009","Saxony","direct migration background","23","","",""
"No","2009","Saxony","indirect migration background","9","","",""
"No","2009","Saxony-Anhalt","no migration background","740","0.974952254477389","0.963790650790777","0.986113858164002"
"No","2009","Saxony-Anhalt","direct migration background","13","","",""
"No","2009","Saxony-Anhalt","indirect migration background","6","","",""
