"ple0016","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","(0) in school","","","",""
"Yes","2009","no migration background","(1a) inadequately completed","2","","",""
"Yes","2009","no migration background","(1b) general elementary school","36","1","1","1"
"Yes","2009","no migration background","(1c) basic vocational qualification","130","1","1","1"
"Yes","2009","no migration background","(2b) intermediate general qualification","3","","",""
"Yes","2009","no migration background","(2a) intermediate vocational","48","1","1","1"
"Yes","2009","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2009","no migration background","(2c_voc) vocational maturity certificate","10","","",""
"Yes","2009","no migration background","(3a) lower tertiary education","16","","",""
"Yes","2009","no migration background","(3b) higher tertiary education","23","","",""
"Yes","2009","direct migration background","(0) in school","","","",""
"Yes","2009","direct migration background","(1a) inadequately completed","4","","",""
"Yes","2009","direct migration background","(1b) general elementary school","4","","",""
"Yes","2009","direct migration background","(1c) basic vocational qualification","6","","",""
"Yes","2009","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2009","direct migration background","(2a) intermediate vocational","1","","",""
"Yes","2009","direct migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","direct migration background","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2009","direct migration background","(3a) lower tertiary education","2","","",""
"Yes","2009","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2009","indirect migration background","(0) in school","","","",""
"Yes","2009","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2009","indirect migration background","(1b) general elementary school","","","",""
"Yes","2009","indirect migration background","(1c) basic vocational qualification","1","","",""
"Yes","2009","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2009","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2009","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2009","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2009","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2010","no migration background","(0) in school","","","",""
"Yes","2010","no migration background","(1a) inadequately completed","","","",""
"Yes","2010","no migration background","(1b) general elementary school","","","",""
"Yes","2010","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","no migration background","(2a) intermediate vocational","","","",""
"Yes","2010","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","no migration background","(3a) lower tertiary education","","","",""
"Yes","2010","no migration background","(3b) higher tertiary education","","","",""
"Yes","2010","direct migration background","(0) in school","","","",""
"Yes","2010","direct migration background","(1a) inadequately completed","","","",""
"Yes","2010","direct migration background","(1b) general elementary school","","","",""
"Yes","2010","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2010","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2010","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2010","indirect migration background","(0) in school","","","",""
"Yes","2010","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2010","indirect migration background","(1b) general elementary school","","","",""
"Yes","2010","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","indirect migration background","(2a) intermediate vocational","","","",""
