"ple0016","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","in school","Male","","","",""
"Yes","2009","in school","Female","","","",""
"Yes","2009","inadequately","Male","3","","",""
"Yes","2009","inadequately","Female","3","","",""
"Yes","2009","general elemantary","Male","9","","",""
"Yes","2009","general elemantary","Female","34","0.0279024488865303","0.0187761324847283","0.0370287652883322"
"Yes","2009","middle vocational","Male","93","0.0207577002030307","0.016493857182201","0.0250215432238605"
"Yes","2009","middle vocational","Female","78","0.0162151798983161","0.0126480756965644","0.0197822841000679"
"Yes","2009","vocational + Abi","Male","4","","",""
"Yes","2009","vocational + Abi","Female","3","","",""
"Yes","2009","higher vocational","Male","17","","",""
"Yes","2009","higher vocational","Female","9","","",""
"Yes","2009","higher education","Male","32","0.0190728355052021","0.0133468027444958","0.0247988682659084"
"Yes","2009","higher education","Female","9","","",""
"No","2009","in school","Male","169","1","1","1"
"No","2009","in school","Female","144","1","1","1"
"No","2009","inadequately","Male","67","0.972305671540248","0.933864563283225","1.01074677979727"
"No","2009","inadequately","Female","96","0.920988466321377","0.867850756186122","0.974126176456632"
"No","2009","general elemantary","Male","552","0.984045392443442","0.973676860033027","0.994413924853856"
"No","2009","general elemantary","Female","1217","0.97209755111347","0.962971234711668","0.981223867515272"
"No","2009","middle vocational","Male","4202","0.979242299796969","0.974978456776139","0.983506142817799"
"No","2009","middle vocational","Female","4738","0.983784820101684","0.980217715899932","0.987351924303436"
"No","2009","vocational + Abi","Male","389","0.993992116770196","0.986351929084606","1.00163230445579"
"No","2009","vocational + Abi","Female","607","0.992126528969454","0.985112786397468","0.99914027154144"
"No","2009","higher vocational","Male","770","0.966618983855917","0.954069144654124","0.97916882305771"
"No","2009","higher vocational","Female","542","0.979437680482339","0.967588269921352","0.991287091043326"
"No","2009","higher education","Male","2160","0.980927164494798","0.975201131734092","0.986653197255504"
"No","2009","higher education","Female","1848","0.997142174589028","0.994714231355089","0.999570117822967"
"Yes","2010","in school","Male","","","",""
"Yes","2010","in school","Female","","","",""
"Yes","2010","inadequately","Male","","","",""
"Yes","2010","inadequately","Female","","","",""
"Yes","2010","general elemantary","Male","","","",""
"Yes","2010","general elemantary","Female","","","",""
"Yes","2010","middle vocational","Male","","","",""
"Yes","2010","middle vocational","Female","","","",""
"Yes","2010","vocational + Abi","Male","","","",""
"Yes","2010","vocational + Abi","Female","","","",""
"Yes","2010","higher vocational","Male","","","",""
"Yes","2010","higher vocational","Female","","","",""
"Yes","2010","higher education","Male","","","",""
"Yes","2010","higher education","Female","","","",""
"No","2010","in school","Male","","","",""
"No","2010","in school","Female","","","",""
"No","2010","inadequately","Male","","","",""
"No","2010","inadequately","Female","","","",""
"No","2010","general elemantary","Male","","","",""
"No","2010","general elemantary","Female","","","",""
"No","2010","middle vocational","Male","","","",""
"No","2010","middle vocational","Female","","","",""
"No","2010","vocational + Abi","Male","","","",""
"No","2010","vocational + Abi","Female","","","",""
"No","2010","higher vocational","Male","","","",""
"No","2010","higher vocational","Female","","","",""
"No","2010","higher education","Male","","","",""
"No","2010","higher education","Female","","","",""
"Yes","2011","in school","Male","","","",""
"Yes","2011","in school","Female","","","",""
"Yes","2011","inadequately","Male","4","","",""
"Yes","2011","inadequately","Female","5","","",""
"Yes","2011","general elemantary","Male","23","","",""
"Yes","2011","general elemantary","Female","53","0.0422135825114802","0.0320950916694861","0.0523320733534743"
"Yes","2011","middle vocational","Male","140","0.0282830206781763","0.0236530550721083","0.0329129862842443"
