"ple0016","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","171","1","1","1"
"Yes","2009","secondary school degree","60","1","1","1"
"Yes","2009","college entrance qualification","41","1","1","1"
"Yes","2009","Other degree","14","","",""
"Yes","2009","no degree/no degree yet","6","","",""
"Yes","2010","lower secondary degree","","","",""
"Yes","2010","secondary school degree","","","",""
"Yes","2010","college entrance qualification","","","",""
"Yes","2010","Other degree","","","",""
"Yes","2010","no degree/no degree yet","","","",""
"Yes","2011","lower secondary degree","244","1","1","1"
"Yes","2011","secondary school degree","91","1","1","1"
"Yes","2011","college entrance qualification","56","1","1","1"
"Yes","2011","Other degree","32","1","1","1"
"Yes","2011","no degree/no degree yet","10","","",""
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","221","1","1","1"
"Yes","2013","secondary school degree","90","1","1","1"
"Yes","2013","college entrance qualification","66","1","1","1"
"Yes","2013","Other degree","24","","",""
"Yes","2013","no degree/no degree yet","12","","",""
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","227","1","1","1"
"Yes","2015","secondary school degree","112","1","1","1"
"Yes","2015","college entrance qualification","87","1","1","1"
"Yes","2015","Other degree","47","1","1","1"
"Yes","2015","no degree/no degree yet","19","","",""
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","213","1","1","1"
"Yes","2017","secondary school degree","134","1","1","1"
"Yes","2017","college entrance qualification","99","1","1","1"
"Yes","2017","Other degree","43","1","1","1"
"Yes","2017","no degree/no degree yet","21","","",""
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","208","1","1","1"
"Yes","2019","secondary school degree","143","1","1","1"
"Yes","2019","college entrance qualification","115","1","1","1"
"Yes","2019","Other degree","35","1","1","1"
"Yes","2019","no degree/no degree yet","23","","",""
