"ple0016","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","in school","","","",""
"Yes","2009","16-34 y.","inadequately","","","",""
"Yes","2009","16-34 y.","general elemantary","","","",""
"Yes","2009","16-34 y.","middle vocational","3","","",""
"Yes","2009","16-34 y.","vocational + Abi","1","","",""
"Yes","2009","16-34 y.","higher vocational","","","",""
"Yes","2009","16-34 y.","higher education","","","",""
"Yes","2009","35-65 y.","in school","","","",""
"Yes","2009","35-65 y.","inadequately","2","","",""
"Yes","2009","35-65 y.","general elemantary","11","","",""
"Yes","2009","35-65 y.","middle vocational","60","0.012819522197389","0.0097369232796037","0.0159021211151743"
"Yes","2009","35-65 y.","vocational + Abi","3","","",""
"Yes","2009","35-65 y.","higher vocational","8","","",""
"Yes","2009","35-65 y.","higher education","14","","",""
"Yes","2009","66 and older","in school","","","",""
"Yes","2009","66 and older","inadequately","4","","",""
"Yes","2009","66 and older","general elemantary","32","0.0498840841963675","0.0333871086543986","0.0663810597383363"
"Yes","2009","66 and older","middle vocational","108","0.0457853001314095","0.037043155098941","0.054527445163878"
"Yes","2009","66 and older","vocational + Abi","3","","",""
"Yes","2009","66 and older","higher vocational","18","","",""
"Yes","2009","66 and older","higher education","27","","",""
"No","2009","16-34 y.","in school","313","1","1","1"
"No","2009","16-34 y.","inadequately","41","1","1","1"
"No","2009","16-34 y.","general elemantary","553","1","1","1"
"No","2009","16-34 y.","middle vocational","1796","0.998596142757076","0.996865972169176","1.00032631334497"
"No","2009","16-34 y.","vocational + Abi","337","0.997826198176143","0.992861107704612","1.00279128864767"
"No","2009","16-34 y.","higher vocational","109","1","1","1"
"No","2009","16-34 y.","higher education","540","1","1","1"
"No","2009","35-65 y.","in school","","","",""
"No","2009","35-65 y.","inadequately","83","0.963665913097128","0.923886442217448","1.00344538397681"
"No","2009","35-65 y.","general elemantary","579","0.983371249472374","0.973052890149059","0.99368960879569"
"No","2009","35-65 y.","middle vocational","5056","0.987180477802611","0.984097878884826","0.990263076720396"
"No","2009","35-65 y.","vocational + Abi","565","0.994866654956118","0.988989642800182","1.00074366711205"
"No","2009","35-65 y.","higher vocational","901","0.9848651625334","0.976928399426449","0.992801925640351"
"No","2009","35-65 y.","higher education","2605","0.992481837419967","0.989173593810279","0.995790081029655"
"No","2009","66 and older","in school","","","",""
"No","2009","66 and older","inadequately","39","0.845438982683378","0.737393906132376","0.95348405923438"
"No","2009","66 and older","general elemantary","637","0.950115915803633","0.933618940261664","0.966612891345601"
"No","2009","66 and older","middle vocational","2088","0.95421469986859","0.945472554836122","0.962956844901059"
"No","2009","66 and older","vocational + Abi","94","0.972068352965889","0.939277033015235","1.00485967291654"
"No","2009","66 and older","higher vocational","302","0.928440183131983","0.900198883642317","0.956681482621649"
"No","2009","66 and older","higher education","863","0.966042742424185","0.954143547929291","0.977941936919078"
"Yes","2010","16-34 y.","in school","","","",""
"Yes","2010","16-34 y.","inadequately","","","",""
"Yes","2010","16-34 y.","general elemantary","","","",""
"Yes","2010","16-34 y.","middle vocational","","","",""
"Yes","2010","16-34 y.","vocational + Abi","","","",""
"Yes","2010","16-34 y.","higher vocational","","","",""
"Yes","2010","16-34 y.","higher education","","","",""
"Yes","2010","35-65 y.","in school","","","",""
"Yes","2010","35-65 y.","inadequately","","","",""
"Yes","2010","35-65 y.","general elemantary","","","",""
"Yes","2010","35-65 y.","middle vocational","","","",""
"Yes","2010","35-65 y.","vocational + Abi","","","",""
