"ple0016","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","4","","",""
"Yes","2009","35-65 y.","98","0.0119685027688685","0.00982653038194809","0.0141104751557888"
"Yes","2009","66 and older","192","0.0473104899844991","0.0409043305515351","0.0537166494174632"
"No","2009","16-34 y.","4002","0.99918481484205","0.998301035872029","1.00006859381207"
"No","2009","35-65 y.","9803","0.988031497231131","0.985889524844211","0.990173469618052"
"No","2009","66 and older","4027","0.952689510015501","0.946283350582537","0.959095669448465"
"Yes","2010","16-34 y.","","","",""
"Yes","2010","35-65 y.","","","",""
"Yes","2010","66 and older","","","",""
"No","2010","16-34 y.","","","",""
"No","2010","35-65 y.","","","",""
"No","2010","66 and older","","","",""
"Yes","2011","16-34 y.","2","","",""
"Yes","2011","35-65 y.","154","0.0147555195730274","0.0125385953626774","0.0169724437833773"
"Yes","2011","66 and older","278","0.0586098149962099","0.0522193211590301","0.0650003088333898"
"No","2011","16-34 y.","4305","0.999846050358494","0.999475526170843","1.00021657454614"
"No","2011","35-65 y.","11209","0.985244480426973","0.983027556216623","0.987461404637323"
"No","2011","66 and older","4912","0.94139018500379","0.93499969116661","0.94778067884097"
"Yes","2012","16-34 y.","","","",""
"Yes","2012","35-65 y.","","","",""
"Yes","2012","66 and older","","","",""
"No","2012","16-34 y.","","","",""
"No","2012","35-65 y.","","","",""
"No","2012","66 and older","","","",""
"Yes","2013","16-34 y.","6","","",""
"Yes","2013","35-65 y.","154","0.0149184252577388","0.0125727277845985","0.0172641227308791"
"Yes","2013","66 and older","258","0.0550633330606811","0.0487419974814405","0.0613846686399218"
"No","2013","16-34 y.","3703","0.999283366846729","0.998422150129126","1.00014458356433"
"No","2013","35-65 y.","10106","0.985081574742261","0.982735877269121","0.987427272215401"
"No","2013","66 and older","4744","0.944936666939319","0.938615331360078","0.95125800251856"
"Yes","2014","16-34 y.","","","",""
"Yes","2014","35-65 y.","","","",""
"Yes","2014","66 and older","","","",""
"No","2014","16-34 y.","","","",""
"No","2014","35-65 y.","","","",""
"No","2014","66 and older","","","",""
"Yes","2015","16-34 y.","10","","",""
"Yes","2015","35-65 y.","211","0.0168729954090842","0.014772943148711","0.0189730476694573"
"Yes","2015","66 and older","279","0.0560200968930279","0.0496145689522707","0.0624256248337851"
"No","2015","16-34 y.","5760","0.999036765188876","0.998236346897638","0.999837183480114"
"No","2015","35-65 y.","14238","0.983127004590916","0.981026952330543","0.985227056851289"
"No","2015","66 and older","4672","0.943979903106972","0.937574375166215","0.950385431047729"
"Yes","2016","16-34 y.","","","",""
"Yes","2016","35-65 y.","","","",""
"Yes","2016","66 and older","","","",""
"No","2016","16-34 y.","","","",""
"No","2016","35-65 y.","","","",""
"No","2016","66 and older","","","",""
"Yes","2017","16-34 y.","6","","",""
"Yes","2017","35-65 y.","221","0.0162389786225532","0.0142456527892279","0.0182323044558786"
"Yes","2017","66 and older","291","0.0573690365560543","0.0509444637554504","0.0637936093566582"
"No","2017","16-34 y.","6239","0.999279116005889","0.998613447566501","0.999944784445278"
"No","2017","35-65 y.","15224","0.983761021377447","0.981767695544121","0.985754347210772"
"No","2017","66 and older","4742","0.942630963443946","0.936206390643342","0.94905553624455"
"Yes","2018","16-34 y.","","","",""
"Yes","2018","35-65 y.","","","",""
"Yes","2018","66 and older","","","",""
"No","2018","16-34 y.","","","",""
"No","2018","35-65 y.","","","",""
"No","2018","66 and older","","","",""
"Yes","2019","16-34 y.","7","","",""
"Yes","2019","35-65 y.","211","0.0154788888744667","0.0135149067451627","0.0174428710037708"
"Yes","2019","66 and older","325","0.0604185575682276","0.0539717463862188","0.0668653687502365"
"No","2019","16-34 y.","5449","0.999404716440722","0.998757508925374","1.00005192395607"
"No","2019","35-65 y.","14966","0.984521111125533","0.982557128996229","0.986485093254837"
"No","2019","66 and older","4922","0.939581442431772","0.933134631249763","0.946028253613781"
