"ple0016","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","lower secondary degree","1","","",""
"Yes","2009","16-34 y.","secondary school degree","2","","",""
"Yes","2009","16-34 y.","college entrance qualification","1","","",""
"Yes","2009","16-34 y.","Other degree","","","",""
"Yes","2009","16-34 y.","no degree/no degree yet","","","",""
"Yes","2009","35-65 y.","lower secondary degree","43","1","1","1"
"Yes","2009","35-65 y.","secondary school degree","29","","",""
"Yes","2009","35-65 y.","college entrance qualification","17","","",""
"Yes","2009","35-65 y.","Other degree","7","","",""
"Yes","2009","35-65 y.","no degree/no degree yet","2","","",""
"Yes","2009","66 and older","lower secondary degree","127","1","1","1"
"Yes","2009","66 and older","secondary school degree","29","","",""
"Yes","2009","66 and older","college entrance qualification","23","","",""
"Yes","2009","66 and older","Other degree","7","","",""
"Yes","2009","66 and older","no degree/no degree yet","4","","",""
"Yes","2010","16-34 y.","lower secondary degree","","","",""
"Yes","2010","16-34 y.","secondary school degree","","","",""
"Yes","2010","16-34 y.","college entrance qualification","","","",""
"Yes","2010","16-34 y.","Other degree","","","",""
"Yes","2010","16-34 y.","no degree/no degree yet","","","",""
"Yes","2010","35-65 y.","lower secondary degree","","","",""
"Yes","2010","35-65 y.","secondary school degree","","","",""
"Yes","2010","35-65 y.","college entrance qualification","","","",""
"Yes","2010","35-65 y.","Other degree","","","",""
"Yes","2010","35-65 y.","no degree/no degree yet","","","",""
"Yes","2010","66 and older","lower secondary degree","","","",""
"Yes","2010","66 and older","secondary school degree","","","",""
"Yes","2010","66 and older","college entrance qualification","","","",""
"Yes","2010","66 and older","Other degree","","","",""
"Yes","2010","66 and older","no degree/no degree yet","","","",""
"Yes","2011","16-34 y.","lower secondary degree","1","","",""
"Yes","2011","16-34 y.","secondary school degree","1","","",""
"Yes","2011","16-34 y.","college entrance qualification","","","",""
"Yes","2011","16-34 y.","Other degree","","","",""
"Yes","2011","16-34 y.","no degree/no degree yet","","","",""
"Yes","2011","35-65 y.","lower secondary degree","67","1","1","1"
"Yes","2011","35-65 y.","secondary school degree","49","1","1","1"
"Yes","2011","35-65 y.","college entrance qualification","22","","",""
"Yes","2011","35-65 y.","Other degree","10","","",""
"Yes","2011","35-65 y.","no degree/no degree yet","5","","",""
"Yes","2011","66 and older","lower secondary degree","176","1","1","1"
"Yes","2011","66 and older","secondary school degree","41","1","1","1"
"Yes","2011","66 and older","college entrance qualification","34","1","1","1"
"Yes","2011","66 and older","Other degree","22","","",""
"Yes","2011","66 and older","no degree/no degree yet","5","","",""
"Yes","2012","16-34 y.","lower secondary degree","","","",""
"Yes","2012","16-34 y.","secondary school degree","","","",""
"Yes","2012","16-34 y.","college entrance qualification","","","",""
"Yes","2012","16-34 y.","Other degree","","","",""
"Yes","2012","16-34 y.","no degree/no degree yet","","","",""
"Yes","2012","35-65 y.","lower secondary degree","","","",""
"Yes","2012","35-65 y.","secondary school degree","","","",""
"Yes","2012","35-65 y.","college entrance qualification","","","",""
"Yes","2012","35-65 y.","Other degree","","","",""
"Yes","2012","35-65 y.","no degree/no degree yet","","","",""
"Yes","2012","66 and older","lower secondary degree","","","",""
"Yes","2012","66 and older","secondary school degree","","","",""
