"ple0016","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","no migration background","2583","0.976720625679662","0.970976261681935","0.982464989677388","2"
"No","2009","(Married) couple without C. ","direct migration background","513","0.970710172644168","0.956314035351858","0.985106309936479","2"
"No","2009","Couple + C. LE 16 ","direct migration background","338","1","1","1","2"
"No","2009","1-pers.-HH","indirect migration background","77","0.99265196475139","0.973698661627797","1.01160526787498","2"
"No","2009","(Married) couple without C. ","no migration background","5885","0.9717745501643","0.967597854626426","0.975951245702173","2"
"No","2009","Couple + C. GT 16 ","no migration background","2660","0.988372979338864","0.984319677816036","0.992426280861691","2"
"No","2009","Couple + C. GT 16 ","direct migration background","313","0.989940412556601","0.97892026458119","1.00096056053201","2"
"No","2009","Couple + C. LE and GT 16","no migration background","907","0.998168789154856","0.99539100456792","1.00094657374179","2"
"No","2009","Couple + C. LE and GT 16","direct migration background","169","1","1","1","2"
"No","2009","Couple + C. LE and GT 16","indirect migration background","102","1","1","1","2"
"No","2009","Couple + C. LE 16 ","indirect migration background","167","0.996078874685792","0.986628572934344","1.00552917643724","2"
"No","2009","1-pers.-HH","direct migration background","182","0.981058715935385","0.961415416554959","1.00070201531581","2"
"No","2009","Couple + C. GT 16 ","indirect migration background","163","1","1","1","2"
"No","2009","(Married) couple without C. ","indirect migration background","113","0.994707112227642","0.981387560165482","1.0080266642898","2"
"No","2009","Single parent ","no migration background","825","0.991848481675148","0.985742331075862","0.997954632274434","2"
"No","2009","Single parent ","direct migration background","88","0.989995107242773","0.969318664138153","1.01067155034739","2"
"No","2009","Single parent ","indirect migration background","74","1","1","1","2"
"No","2009","Couple + C. LE 16 ","no migration background","2347","0.996238584217897","0.993765708944972","0.998711459490821","2"
"Yes","2009","1-pers.-HH","no migration background","64","0.0232793743203384","0.0175350103226118","0.029023738318065","1"
"Yes","2009","1-pers.-HH","direct migration background","3","","","","1"
"Yes","2009","1-pers.-HH","indirect migration background","1","","","","1"
"Yes","2009","(Married) couple without C. ","no migration background","155","0.0282254498357003","0.0240487542978271","0.0324021453735736","1"
"Yes","2009","(Married) couple without C. ","direct migration background","14","","","","1"
"Yes","2009","(Married) couple without C. ","indirect migration background","1","","","","1"
"Yes","2009","Single parent ","no migration background","8","","","","1"
"Yes","2009","Single parent ","direct migration background","1","","","","1"
"Yes","2009","Single parent ","indirect migration background","","","","","1"
"Yes","2009","Couple + C. LE 16 ","no migration background","7","","","","1"
"Yes","2009","Couple + C. LE 16 ","direct migration background","","","","","1"
"Yes","2009","Couple + C. LE 16 ","indirect migration background","1","","","","1"
"Yes","2009","Couple + C. GT 16 ","no migration background","27","","","","1"
"Yes","2009","Couple + C. GT 16 ","direct migration background","2","","","","1"
"Yes","2009","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","no migration background","3","","","","1"
"Yes","2009","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"No","2010","Couple + C. LE 16 ","direct migration background","","","","","2"
"No","2010","Couple + C. LE 16 ","indirect migration background","","","","","2"
"No","2010","Couple + C. GT 16 ","no migration background","","","","","2"
"No","2010","Couple + C. GT 16 ","direct migration background","","","","","2"
"No","2010","1-pers.-HH","no migration background","","","","","2"
"No","2010","1-pers.-HH","indirect migration background","","","","","2"
"No","2010","(Married) couple without C. ","no migration background","","","","","2"
"No","2010","(Married) couple without C. ","direct migration background","","","","","2"
"No","2010","Couple + C. GT 16 ","indirect migration background","","","","","2"
"No","2010","Couple + C. LE and GT 16","no migration background","","","","","2"
"No","2010","Couple + C. LE and GT 16","direct migration background","","","","","2"
"No","2010","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"No","2010","1-pers.-HH","direct migration background","","","","","2"
"No","2010","(Married) couple without C. ","indirect migration background","","","","","2"
"No","2010","Single parent ","no migration background","","","","","2"
"No","2010","Single parent ","direct migration background","","","","","2"
"No","2010","Single parent ","indirect migration background","","","","","2"
"No","2010","Couple + C. LE 16 ","no migration background","","","","","2"
"Yes","2010","1-pers.-HH","no migration background","","","","","1"
"Yes","2010","1-pers.-HH","direct migration background","","","","","1"
"Yes","2010","1-pers.-HH","indirect migration background","","","","","1"
"Yes","2010","(Married) couple without C. ","no migration background","","","","","1"
"Yes","2010","(Married) couple without C. ","direct migration background","","","","","1"
