"ple0016","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","16-34 y.","1-pers.-HH","552","1","1","1","2"
"No","2009","16-34 y.","Couple + C. GT 16 ","1081","1","1","1","2"
"No","2009","35-65 y.","Couple + C. GT 16 ","1884","0.984257779938904","0.978666618442437","0.989848941435371","2"
"No","2009","16-34 y.","Single parent ","403","1","1","1","2"
"No","2009","16-34 y.","Couple + C. LE 16 ","756","0.995916094420654","0.991379014548812","1.0004531742925","2"
"No","2009","66 and older","1-pers.-HH","1127","0.95583721402682","0.944109553469345","0.967564874584296","2"
"No","2009","66 and older","(Married) couple without C. ","2590","0.949323419427628","0.941073039978153","0.957573798877104","2"
"No","2009","66 and older","Couple + C. LE 16 ","5","","","","2"
"No","2009","66 and older","Couple + C. GT 16 ","171","0.965413623943121","0.938719167645643","0.9921080802406","2"
"No","2009","66 and older","Couple + C. LE and GT 16","2","","","","2"
"No","2009","35-65 y.","Couple + C. LE and GT 16","804","0.998037445982608","0.994983962667254","1.00109092929796","2"
"No","2009","16-34 y.","(Married) couple without C. ","743","0.999482775451988","0.997849013248128","1.00111653765585","2"
"No","2009","66 and older","Single parent ","59","0.966400236894915","0.921546475561587","1.01125399822824","2"
"No","2009","16-34 y.","Couple + C. LE and GT 16","372","1","1","1","2"
"No","2009","35-65 y.","1-pers.-HH","1163","0.987492326086829","0.981148572162125","0.993836080011532","2"
"No","2009","35-65 y.","(Married) couple without C. ","3178","0.983137158080225","0.97869127781023","0.98758303835022","2"
"No","2009","35-65 y.","Single parent ","525","0.987217293148034","0.977662558679252","0.996772027616816","2"
"No","2009","35-65 y.","Couple + C. LE 16 ","2091","0.997235297193643","0.994987404894362","0.999483189492923","2"
"Yes","2009","16-34 y.","1-pers.-HH","","","","","1"
"Yes","2009","16-34 y.","(Married) couple without C. ","1","","","","1"
"Yes","2009","16-34 y.","Single parent ","","","","","1"
"Yes","2009","16-34 y.","Couple + C. LE 16 ","3","","","","1"
"Yes","2009","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","2009","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","2009","35-65 y.","1-pers.-HH","16","","","","1"
"Yes","2009","35-65 y.","(Married) couple without C. ","44","0.0168628419197751","0.0124169616497803","0.0213087221897699","1"
"Yes","2009","35-65 y.","Single parent ","6","","","","1"
"Yes","2009","35-65 y.","Couple + C. LE 16 ","5","","","","1"
"Yes","2009","35-65 y.","Couple + C. GT 16 ","20","","","","1"
"Yes","2009","35-65 y.","Couple + C. LE and GT 16","3","","","","1"
"Yes","2009","66 and older","1-pers.-HH","52","0.04416278597318","0.0324351254157044","0.0558904465306556","1"
"Yes","2009","66 and older","(Married) couple without C. ","125","0.0506765805723719","0.0424262011228965","0.0589269600218472","1"
"Yes","2009","66 and older","Single parent ","3","","","","1"
"Yes","2009","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","2009","66 and older","Couple + C. GT 16 ","9","","","","1"
"Yes","2009","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","2010","35-65 y.","Couple + C. GT 16 ","","","","","2"
"No","2010","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"No","2010","66 and older","1-pers.-HH","","","","","2"
"No","2010","66 and older","(Married) couple without C. ","","","","","2"
"No","2010","16-34 y.","1-pers.-HH","","","","","2"
"No","2010","16-34 y.","Single parent ","","","","","2"
"No","2010","16-34 y.","Couple + C. LE 16 ","","","","","2"
