"ple0016","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","Full Time","","","",""
"Yes","2009","Not Employed","Part Time","","","",""
"Yes","2009","Not Employed","Not Working","232","1","1","1"
"Yes","2009","Employed","Full Time","28","","",""
"Yes","2009","Employed","Part Time","34","1","1","1"
"Yes","2009","Employed","Not Working","","","",""
"Yes","2010","Not Employed","Full Time","","","",""
"Yes","2010","Not Employed","Part Time","","","",""
"Yes","2010","Not Employed","Not Working","","","",""
"Yes","2010","Employed","Full Time","","","",""
"Yes","2010","Employed","Part Time","","","",""
"Yes","2010","Employed","Not Working","","","",""
"Yes","2011","Not Employed","Full Time","","","",""
"Yes","2011","Not Employed","Part Time","","","",""
"Yes","2011","Not Employed","Not Working","358","1","1","1"
"Yes","2011","Employed","Full Time","35","1","1","1"
"Yes","2011","Employed","Part Time","41","1","1","1"
"Yes","2011","Employed","Not Working","","","",""
"Yes","2012","Not Employed","Full Time","","","",""
"Yes","2012","Not Employed","Part Time","","","",""
"Yes","2012","Not Employed","Not Working","","","",""
"Yes","2012","Employed","Full Time","","","",""
"Yes","2012","Employed","Part Time","","","",""
"Yes","2012","Employed","Not Working","","","",""
"Yes","2013","Not Employed","Full Time","","","",""
"Yes","2013","Not Employed","Part Time","","","",""
"Yes","2013","Not Employed","Not Working","333","1","1","1"
"Yes","2013","Employed","Full Time","34","1","1","1"
"Yes","2013","Employed","Part Time","51","1","1","1"
"Yes","2013","Employed","Not Working","","","",""
"Yes","2014","Not Employed","Full Time","","","",""
"Yes","2014","Not Employed","Part Time","","","",""
"Yes","2014","Not Employed","Not Working","","","",""
"Yes","2014","Employed","Full Time","","","",""
"Yes","2014","Employed","Part Time","","","",""
"Yes","2014","Employed","Not Working","","","",""
"Yes","2015","Not Employed","Full Time","","","",""
"Yes","2015","Not Employed","Part Time","","","",""
"Yes","2015","Not Employed","Not Working","366","1","1","1"
"Yes","2015","Employed","Full Time","61","1","1","1"
"Yes","2015","Employed","Part Time","73","1","1","1"
"Yes","2015","Employed","Not Working","","","",""
"Yes","2016","Not Employed","Full Time","","","",""
"Yes","2016","Not Employed","Part Time","","","",""
"Yes","2016","Not Employed","Not Working","","","",""
"Yes","2016","Employed","Full Time","","","",""
"Yes","2016","Employed","Part Time","","","",""
"Yes","2016","Employed","Not Working","","","",""
"Yes","2017","Not Employed","Full Time","","","",""
"Yes","2017","Not Employed","Part Time","","","",""
"Yes","2017","Not Employed","Not Working","373","1","1","1"
"Yes","2017","Employed","Full Time","66","1","1","1"
"Yes","2017","Employed","Part Time","79","1","1","1"
"Yes","2017","Employed","Not Working","","","",""
"Yes","2018","Not Employed","Full Time","","","",""
"Yes","2018","Not Employed","Part Time","","","",""
"Yes","2018","Not Employed","Not Working","","","",""
"Yes","2018","Employed","Full Time","","","",""
"Yes","2018","Employed","Part Time","","","",""
"Yes","2018","Employed","Not Working","","","",""
"Yes","2019","Not Employed","Full Time","","","",""
"Yes","2019","Not Employed","Part Time","","","",""
"Yes","2019","Not Employed","Not Working","376","1","1","1"
"Yes","2019","Employed","Full Time","83","1","1","1"
"Yes","2019","Employed","Part Time","84","1","1","1"
"Yes","2019","Employed","Not Working","","","",""
