"ple0016","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","86","1","1","1"
"Yes","2009","lower secondary degree","Female","85","1","1","1"
"Yes","2009","secondary school degree","Male","34","1","1","1"
"Yes","2009","secondary school degree","Female","26","","",""
"Yes","2009","college entrance qualification","Male","29","","",""
"Yes","2009","college entrance qualification","Female","12","","",""
"Yes","2009","Other degree","Male","4","","",""
"Yes","2009","Other degree","Female","10","","",""
"Yes","2009","no degree/no degree yet","Male","3","","",""
"Yes","2009","no degree/no degree yet","Female","3","","",""
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","129","1","1","1"
"Yes","2011","lower secondary degree","Female","115","1","1","1"
"Yes","2011","secondary school degree","Male","53","1","1","1"
"Yes","2011","secondary school degree","Female","38","1","1","1"
"Yes","2011","college entrance qualification","Male","41","1","1","1"
"Yes","2011","college entrance qualification","Female","15","","",""
"Yes","2011","Other degree","Male","14","","",""
"Yes","2011","Other degree","Female","18","","",""
"Yes","2011","no degree/no degree yet","Male","5","","",""
"Yes","2011","no degree/no degree yet","Female","5","","",""
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","110","1","1","1"
"Yes","2013","lower secondary degree","Female","111","1","1","1"
"Yes","2013","secondary school degree","Male","49","1","1","1"
"Yes","2013","secondary school degree","Female","41","1","1","1"
"Yes","2013","college entrance qualification","Male","50","1","1","1"
"Yes","2013","college entrance qualification","Female","16","","",""
"Yes","2013","Other degree","Male","9","","",""
"Yes","2013","Other degree","Female","15","","",""
"Yes","2013","no degree/no degree yet","Male","6","","",""
"Yes","2013","no degree/no degree yet","Female","6","","",""
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","110","1","1","1"
"Yes","2015","lower secondary degree","Female","117","1","1","1"
"Yes","2015","secondary school degree","Male","69","1","1","1"
"Yes","2015","secondary school degree","Female","43","1","1","1"
"Yes","2015","college entrance qualification","Male","56","1","1","1"
"Yes","2015","college entrance qualification","Female","31","1","1","1"
"Yes","2015","Other degree","Male","19","","",""
"Yes","2015","Other degree","Female","28","","",""
"Yes","2015","no degree/no degree yet","Male","10","","",""
"Yes","2015","no degree/no degree yet","Female","9","","",""
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","108","1","1","1"
"Yes","2017","lower secondary degree","Female","105","1","1","1"
"Yes","2017","secondary school degree","Male","78","1","1","1"
"Yes","2017","secondary school degree","Female","56","1","1","1"
"Yes","2017","college entrance qualification","Male","66","1","1","1"
"Yes","2017","college entrance qualification","Female","33","1","1","1"
"Yes","2017","Other degree","Male","20","","",""
"Yes","2017","Other degree","Female","23","","",""
"Yes","2017","no degree/no degree yet","Male","13","","",""
"Yes","2017","no degree/no degree yet","Female","8","","",""
"Yes","2018","lower secondary degree","Male","","","",""
"Yes","2018","lower secondary degree","Female","","","",""
"Yes","2018","secondary school degree","Male","","","",""
"Yes","2018","secondary school degree","Female","","","",""
"Yes","2018","college entrance qualification","Male","","","",""
"Yes","2018","college entrance qualification","Female","","","",""
"Yes","2018","Other degree","Male","","","",""
"Yes","2018","Other degree","Female","","","",""
"Yes","2018","no degree/no degree yet","Male","","","",""
"Yes","2018","no degree/no degree yet","Female","","","",""
"Yes","2019","lower secondary degree","Male","126","1","1","1"
"Yes","2019","lower secondary degree","Female","82","1","1","1"
"Yes","2019","secondary school degree","Male","77","1","1","1"
"Yes","2019","secondary school degree","Female","66","1","1","1"
"Yes","2019","college entrance qualification","Male","83","1","1","1"
"Yes","2019","college entrance qualification","Female","32","1","1","1"
"Yes","2019","Other degree","Male","20","","",""
"Yes","2019","Other degree","Female","15","","",""
"Yes","2019","no degree/no degree yet","Male","14","","",""
"Yes","2019","no degree/no degree yet","Female","9","","",""
