"ple0016","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","1-pers.-HH","40","1","1","1"
"Yes","2009","lower secondary degree","(Married) couple without C. ","103","1","1","1"
"Yes","2009","lower secondary degree","Single parent ","3","","",""
"Yes","2009","lower secondary degree","Couple + C. LE 16 ","4","","",""
"Yes","2009","lower secondary degree","Couple + C. GT 16 ","17","","",""
"Yes","2009","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2009","secondary school degree","1-pers.-HH","11","","",""
"Yes","2009","secondary school degree","(Married) couple without C. ","32","1","1","1"
"Yes","2009","secondary school degree","Single parent ","4","","",""
"Yes","2009","secondary school degree","Couple + C. LE 16 ","1","","",""
"Yes","2009","secondary school degree","Couple + C. GT 16 ","7","","",""
"Yes","2009","secondary school degree","Couple + C. LE and GT 16","3","","",""
"Yes","2009","college entrance qualification","1-pers.-HH","10","","",""
"Yes","2009","college entrance qualification","(Married) couple without C. ","24","","",""
"Yes","2009","college entrance qualification","Single parent ","1","","",""
"Yes","2009","college entrance qualification","Couple + C. LE 16 ","3","","",""
"Yes","2009","college entrance qualification","Couple + C. GT 16 ","3","","",""
"Yes","2009","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2009","Other degree","1-pers.-HH","4","","",""
"Yes","2009","Other degree","(Married) couple without C. ","7","","",""
"Yes","2009","Other degree","Single parent ","1","","",""
"Yes","2009","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2009","Other degree","Couple + C. GT 16 ","1","","",""
"Yes","2009","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2009","no degree/no degree yet","1-pers.-HH","3","","",""
"Yes","2009","no degree/no degree yet","(Married) couple without C. ","2","","",""
"Yes","2009","no degree/no degree yet","Single parent ","","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2009","no degree/no degree yet","Couple + C. GT 16 ","1","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2010","lower secondary degree","1-pers.-HH","","","",""
"Yes","2010","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2010","lower secondary degree","Single parent ","","","",""
"Yes","2010","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2010","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2010","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","secondary school degree","1-pers.-HH","","","",""
"Yes","2010","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2010","secondary school degree","Single parent ","","","",""
"Yes","2010","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2010","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2010","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","college entrance qualification","1-pers.-HH","","","",""
"Yes","2010","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","2010","college entrance qualification","Single parent ","","","",""
"Yes","2010","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2010","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2010","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2010","Other degree","1-pers.-HH","","","",""
"Yes","2010","Other degree","(Married) couple without C. ","","","",""
"Yes","2010","Other degree","Single parent ","","","",""
"Yes","2010","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2010","Other degree","Couple + C. GT 16 ","","","",""
"Yes","2010","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2010","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","2010","no degree/no degree yet","Single parent ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2011","lower secondary degree","1-pers.-HH","73","1","1","1"
"Yes","2011","lower secondary degree","(Married) couple without C. ","137","1","1","1"
"Yes","2011","lower secondary degree","Single parent ","4","","",""
"Yes","2011","lower secondary degree","Couple + C. LE 16 ","3","","",""
"Yes","2011","lower secondary degree","Couple + C. GT 16 ","20","","",""
"Yes","2011","lower secondary degree","Couple + C. LE and GT 16","3","","",""
"Yes","2011","secondary school degree","1-pers.-HH","25","","",""
"Yes","2011","secondary school degree","(Married) couple without C. ","48","1","1","1"
"Yes","2011","secondary school degree","Single parent ","3","","",""
"Yes","2011","secondary school degree","Couple + C. LE 16 ","3","","",""
"Yes","2011","secondary school degree","Couple + C. GT 16 ","7","","",""
"Yes","2011","secondary school degree","Couple + C. LE and GT 16","2","","",""
"Yes","2011","college entrance qualification","1-pers.-HH","11","","",""
"Yes","2011","college entrance qualification","(Married) couple without C. ","36","1","1","1"
"Yes","2011","college entrance qualification","Single parent ","1","","",""
"Yes","2011","college entrance qualification","Couple + C. LE 16 ","3","","",""
