"ple0016","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Male","4","","",""
"Yes","2009","Schleswig-Holstein","Female","7","","",""
"Yes","2009","Hamburg","Male","3","","",""
"Yes","2009","Hamburg","Female","1","","",""
"Yes","2009","Lower Saxony","Male","14","","",""
"Yes","2009","Lower Saxony","Female","14","","",""
"Yes","2009","Bremen","Male","3","","",""
"Yes","2009","Bremen","Female","","","",""
"Yes","2009","North Rhine-Westphalia","Male","28","","",""
"Yes","2009","North Rhine-Westphalia","Female","26","","",""
"Yes","2009","Hesse","Male","11","","",""
"Yes","2009","Hesse","Female","12","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Male","4","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Female","9","","",""
"Yes","2009","Baden-Württemberg","Male","16","","",""
"Yes","2009","Baden-Württemberg","Female","14","","",""
"Yes","2009","Bavaria","Male","23","","",""
"Yes","2009","Bavaria","Female","16","","",""
"Yes","2009","Berlin","Male","7","","",""
"Yes","2009","Berlin","Female","4","","",""
"Yes","2009","Brandenburg","Male","7","","",""
"Yes","2009","Brandenburg","Female","9","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Male","6","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Female","2","","",""
"Yes","2009","Saxony","Male","16","","",""
"Yes","2009","Saxony","Female","12","","",""
"Yes","2009","Saxony-Anhalt","Male","9","","",""
"Yes","2009","Saxony-Anhalt","Female","4","","",""
"Yes","2009","Thuringia","Male","7","","",""
"Yes","2009","Thuringia","Female","6","","",""
"Yes","2010","Schleswig-Holstein","Male","","","",""
"Yes","2010","Schleswig-Holstein","Female","","","",""
"Yes","2010","Hamburg","Male","","","",""
"Yes","2010","Hamburg","Female","","","",""
"Yes","2010","Lower Saxony","Male","","","",""
"Yes","2010","Lower Saxony","Female","","","",""
"Yes","2010","Bremen","Male","","","",""
"Yes","2010","Bremen","Female","","","",""
"Yes","2010","North Rhine-Westphalia","Male","","","",""
"Yes","2010","North Rhine-Westphalia","Female","","","",""
"Yes","2010","Hesse","Male","","","",""
"Yes","2010","Hesse","Female","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","Male","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","Female","","","",""
"Yes","2010","Baden-Württemberg","Male","","","",""
"Yes","2010","Baden-Württemberg","Female","","","",""
"Yes","2010","Bavaria","Male","","","",""
"Yes","2010","Bavaria","Female","","","",""
"Yes","2010","Berlin","Male","","","",""
"Yes","2010","Berlin","Female","","","",""
"Yes","2010","Brandenburg","Male","","","",""
"Yes","2010","Brandenburg","Female","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","Male","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","Female","","","",""
"Yes","2010","Saxony","Male","","","",""
"Yes","2010","Saxony","Female","","","",""
"Yes","2010","Saxony-Anhalt","Male","","","",""
"Yes","2010","Saxony-Anhalt","Female","","","",""
"Yes","2010","Thuringia","Male","","","",""
"Yes","2010","Thuringia","Female","","","",""
"Yes","2011","Schleswig-Holstein","Male","5","","",""
"Yes","2011","Schleswig-Holstein","Female","7","","",""
"Yes","2011","Hamburg","Male","","","",""
"Yes","2011","Hamburg","Female","2","","",""
"Yes","2011","Lower Saxony","Male","16","","",""
"Yes","2011","Lower Saxony","Female","16","","",""
"Yes","2011","Bremen","Male","3","","",""
"Yes","2011","Bremen","Female","","","",""
"Yes","2011","North Rhine-Westphalia","Male","59","1","1","1"
"Yes","2011","North Rhine-Westphalia","Female","34","1","1","1"
"Yes","2011","Hesse","Male","14","","",""
"Yes","2011","Hesse","Female","14","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","Male","6","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","Female","14","","",""
"Yes","2011","Baden-Württemberg","Male","23","","",""
"Yes","2011","Baden-Württemberg","Female","26","","",""
"Yes","2011","Bavaria","Male","44","1","1","1"
"Yes","2011","Bavaria","Female","22","","",""
"Yes","2011","Berlin","Male","6","","",""
"Yes","2011","Berlin","Female","6","","",""
"Yes","2011","Brandenburg","Male","11","","",""
"Yes","2011","Brandenburg","Female","12","","",""
"Yes","2011","Mecklenburg-Western Pomerania","Male","8","","",""
"Yes","2011","Mecklenburg-Western Pomerania","Female","5","","",""
"Yes","2011","Saxony","Male","20","","",""
"Yes","2011","Saxony","Female","10","","",""
"Yes","2011","Saxony-Anhalt","Male","14","","",""
"Yes","2011","Saxony-Anhalt","Female","12","","",""
"Yes","2011","Thuringia","Male","14","","",""
"Yes","2011","Thuringia","Female","11","","",""
"Yes","2012","Schleswig-Holstein","Male","","","",""
"Yes","2012","Schleswig-Holstein","Female","","","",""
"Yes","2012","Hamburg","Male","","","",""
"Yes","2012","Hamburg","Female","","","",""
"Yes","2012","Lower Saxony","Male","","","",""
"Yes","2012","Lower Saxony","Female","","","",""
"Yes","2012","Bremen","Male","","","",""
"Yes","2012","Bremen","Female","","","",""
"Yes","2012","North Rhine-Westphalia","Male","","","",""
"Yes","2012","North Rhine-Westphalia","Female","","","",""
"Yes","2012","Hesse","Male","","","",""
"Yes","2012","Hesse","Female","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Male","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Female","","","",""
"Yes","2012","Baden-Württemberg","Male","","","",""
"Yes","2012","Baden-Württemberg","Female","","","",""
"Yes","2012","Bavaria","Male","","","",""
"Yes","2012","Bavaria","Female","","","",""
"Yes","2012","Berlin","Male","","","",""
"Yes","2012","Berlin","Female","","","",""
"Yes","2012","Brandenburg","Male","","","",""
"Yes","2012","Brandenburg","Female","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","Male","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","Female","","","",""
"Yes","2012","Saxony","Male","","","",""
"Yes","2012","Saxony","Female","","","",""
"Yes","2012","Saxony-Anhalt","Male","","","",""
"Yes","2012","Saxony-Anhalt","Female","","","",""
"Yes","2012","Thuringia","Male","","","",""
"Yes","2012","Thuringia","Female","","","",""
"Yes","2013","Schleswig-Holstein","Male","5","","",""
"Yes","2013","Schleswig-Holstein","Female","8","","",""
"Yes","2013","Hamburg","Male","4","","",""
"Yes","2013","Hamburg","Female","4","","",""
"Yes","2013","Lower Saxony","Male","23","","",""
"Yes","2013","Lower Saxony","Female","17","","",""
"Yes","2013","Bremen","Male","1","","",""
"Yes","2013","Bremen","Female","","","",""
"Yes","2013","North Rhine-Westphalia","Male","38","1","1","1"
"Yes","2013","North Rhine-Westphalia","Female","25","","",""
"Yes","2013","Hesse","Male","19","","",""
"Yes","2013","Hesse","Female","18","","",""
"Yes","2013","Rhineland-Palatinate,Saarland","Male","5","","",""
"Yes","2013","Rhineland-Palatinate,Saarland","Female","20","","",""
"Yes","2013","Baden-Württemberg","Male","20","","",""
"Yes","2013","Baden-Württemberg","Female","21","","",""
"Yes","2013","Bavaria","Male","39","1","1","1"
"Yes","2013","Bavaria","Female","21","","",""
"Yes","2013","Berlin","Male","8","","",""
"Yes","2013","Berlin","Female","7","","",""
"Yes","2013","Brandenburg","Male","9","","",""
"Yes","2013","Brandenburg","Female","15","","",""
"Yes","2013","Mecklenburg-Western Pomerania","Male","10","","",""
"Yes","2013","Mecklenburg-Western Pomerania","Female","2","","",""
"Yes","2013","Saxony","Male","19","","",""
"Yes","2013","Saxony","Female","13","","",""
"Yes","2013","Saxony-Anhalt","Male","15","","",""
"Yes","2013","Saxony-Anhalt","Female","11","","",""
"Yes","2013","Thuringia","Male","12","","",""
"Yes","2013","Thuringia","Female","9","","",""
"Yes","2014","Schleswig-Holstein","Male","","","",""
"Yes","2014","Schleswig-Holstein","Female","","","",""
"Yes","2014","Hamburg","Male","","","",""
"Yes","2014","Hamburg","Female","","","",""
"Yes","2014","Lower Saxony","Male","","","",""
"Yes","2014","Lower Saxony","Female","","","",""
"Yes","2014","Bremen","Male","","","",""
"Yes","2014","Bremen","Female","","","",""
"Yes","2014","North Rhine-Westphalia","Male","","","",""
"Yes","2014","North Rhine-Westphalia","Female","","","",""
"Yes","2014","Hesse","Male","","","",""
"Yes","2014","Hesse","Female","","","",""
