"ple0016","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","in school","","","",""
"Yes","2009","no migration background","inadequately","2","","",""
"Yes","2009","no migration background","general elemantary","39","0.0302437073368001","0.0209449545951906","0.0395424600784096"
"Yes","2009","no migration background","middle vocational","163","0.0197575614479762","0.0167465267802896","0.0227685961156627"
"Yes","2009","no migration background","vocational + Abi","5","","",""
"Yes","2009","no migration background","higher vocational","22","","",""
"Yes","2009","no migration background","higher education","39","0.0132886747774541","0.0095824775323223","0.0169948720225859"
"Yes","2009","direct migration background","in school","","","",""
"Yes","2009","direct migration background","inadequately","4","","",""
"Yes","2009","direct migration background","general elemantary","4","","",""
"Yes","2009","direct migration background","middle vocational","7","","",""
"Yes","2009","direct migration background","vocational + Abi","1","","",""
"Yes","2009","direct migration background","higher vocational","3","","",""
"Yes","2009","direct migration background","higher education","2","","",""
"Yes","2009","indirect migration background","in school","","","",""
"Yes","2009","indirect migration background","inadequately","","","",""
"Yes","2009","indirect migration background","general elemantary","","","",""
"Yes","2009","indirect migration background","middle vocational","1","","",""
"Yes","2009","indirect migration background","vocational + Abi","1","","",""
"Yes","2009","indirect migration background","higher vocational","1","","",""
"Yes","2009","indirect migration background","higher education","","","",""
"No","2009","no migration background","in school","253","1","1","1"
"No","2009","no migration background","inadequately","66","0.95040074865039","0.898796604443726","1.00200489285705"
"No","2009","no migration background","general elemantary","1264","0.9697562926632","0.960457539921591","0.979055045404809"
"No","2009","no migration background","middle vocational","8043","0.980242438552024","0.977231403884337","0.98325347321971"
"No","2009","no migration background","vocational + Abi","791","0.994071165287751","0.98873800094339","0.999404329632111"
"No","2009","no migration background","higher vocational","1190","0.972851781384059","0.963702419844013","0.982001142924105"
"No","2009","no migration background","higher education","3628","0.986711325222546","0.983005127977414","0.990417522467678"
"No","2009","direct migration background","in school","11","","",""
"No","2009","direct migration background","inadequately","88","0.936492420629986","0.886659184526518","0.986325656733454"
"No","2009","direct migration background","general elemantary","359","0.986400704966806","0.974486099570464","0.998315310363148"
"No","2009","direct migration background","middle vocational","610","0.987122077060765","0.978225686256698","0.996018467864832"
"No","2009","direct migration background","vocational + Abi","169","0.990720679255499","0.976307581318483","1.00513377719251"
"No","2009","direct migration background","higher vocational","93","0.960265850223275","0.921191642678524","0.999340057768027"
"No","2009","direct migration background","higher education","292","0.99471853993207","0.986433367864121","1.00300371200002"
"No","2009","indirect migration background","in school","49","1","1","1"
"No","2009","indirect migration background","inadequately","9","","",""
"No","2009","indirect migration background","general elemantary","146","1","1","1"
"No","2009","indirect migration background","middle vocational","287","0.99706592997342","0.990819253367983","1.00331260657886"
"No","2009","indirect migration background","vocational + Abi","36","0.980994337526729","0.936997446846775","1.02499122820668"
"No","2009","indirect migration background","higher vocational","29","","",""
"No","2009","indirect migration background","higher education","88","1","1","1"
"Yes","2010","no migration background","in school","","","",""
"Yes","2010","no migration background","inadequately","","","",""
"Yes","2010","no migration background","general elemantary","","","",""
"Yes","2010","no migration background","middle vocational","","","",""
"Yes","2010","no migration background","vocational + Abi","","","",""
"Yes","2010","no migration background","higher vocational","","","",""
"Yes","2010","no migration background","higher education","","","",""
"Yes","2010","direct migration background","in school","","","",""
"Yes","2010","direct migration background","inadequately","","","",""
"Yes","2010","direct migration background","general elemantary","","","",""
"Yes","2010","direct migration background","middle vocational","","","",""
"Yes","2010","direct migration background","vocational + Abi","","","",""
"Yes","2010","direct migration background","higher vocational","","","",""
"Yes","2010","direct migration background","higher education","","","",""
"Yes","2010","indirect migration background","in school","","","",""
"Yes","2010","indirect migration background","inadequately","","","",""
"Yes","2010","indirect migration background","general elemantary","","","",""
"Yes","2010","indirect migration background","middle vocational","","","",""
"Yes","2010","indirect migration background","vocational + Abi","","","",""
"Yes","2010","indirect migration background","higher vocational","","","",""
"Yes","2010","indirect migration background","higher education","","","",""
"No","2010","no migration background","in school","","","",""
"No","2010","no migration background","inadequately","","","",""
"No","2010","no migration background","general elemantary","","","",""
"No","2010","no migration background","middle vocational","","","",""
"No","2010","no migration background","vocational + Abi","","","",""
"No","2010","no migration background","higher vocational","","","",""
"No","2010","no migration background","higher education","","","",""
"No","2010","direct migration background","in school","","","",""
"No","2010","direct migration background","inadequately","","","",""
"No","2010","direct migration background","general elemantary","","","",""
"No","2010","direct migration background","middle vocational","","","",""
"No","2010","direct migration background","vocational + Abi","","","",""
"No","2010","direct migration background","higher vocational","","","",""
"No","2010","direct migration background","higher education","","","",""
"No","2010","indirect migration background","in school","","","",""
"No","2010","indirect migration background","inadequately","","","",""
"No","2010","indirect migration background","general elemantary","","","",""
"No","2010","indirect migration background","middle vocational","","","",""
"No","2010","indirect migration background","vocational + Abi","","","",""
"No","2010","indirect migration background","higher vocational","","","",""
"No","2010","indirect migration background","higher education","","","",""
"Yes","2011","no migration background","in school","","","",""
"Yes","2011","no migration background","inadequately","5","","",""
"Yes","2011","no migration background","general elemantary","65","0.0439132034378439","0.0339873017006241","0.0538391051750637"
"Yes","2011","no migration background","middle vocational","226","0.0260281698365701","0.0228157956494284","0.0292405440237117"
"Yes","2011","no migration background","vocational + Abi","2","","",""
"Yes","2011","no migration background","higher vocational","29","","",""
"Yes","2011","no migration background","higher education","63","0.0200832930018905","0.0157996671954047","0.0243669188083764"
"Yes","2011","direct migration background","in school","","","",""
"Yes","2011","direct migration background","inadequately","3","","",""
"Yes","2011","direct migration background","general elemantary","11","","",""
"Yes","2011","direct migration background","middle vocational","16","","",""
"Yes","2011","direct migration background","vocational + Abi","4","","",""
"Yes","2011","direct migration background","higher vocational","3","","",""
"Yes","2011","direct migration background","higher education","2","","",""
"Yes","2011","indirect migration background","in school","","","",""
"Yes","2011","indirect migration background","inadequately","1","","",""
"Yes","2011","indirect migration background","general elemantary","","","",""
"Yes","2011","indirect migration background","middle vocational","3","","",""
"Yes","2011","indirect migration background","vocational + Abi","","","",""
"Yes","2011","indirect migration background","higher vocational","1","","",""
"Yes","2011","indirect migration background","higher education","","","",""
"No","2011","no migration background","in school","242","1","1","1"
"No","2011","no migration background","inadequately","115","0.962089649926447","0.927919716182437","0.996259583670456"
"No","2011","no migration background","general elemantary","1572","0.956086796562156","0.946160894824936","0.966012698299376"
"No","2011","no migration background","middle vocational","9211","0.97397183016343","0.970759455976288","0.977184204350572"
"No","2011","no migration background","vocational + Abi","950","0.999112969829816","0.997221906335412","1.00100403332422"
"No","2011","no migration background","higher vocational","1295","0.977203164892682","0.969163576585794","0.985242753199571"
"No","2011","no migration background","higher education","4057","0.979916706998109","0.975633081191624","0.984200332804595"
