"plh0206i05","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1-pers.-HH","298","0.237514383327402","0.213731948217182","0.261296818437621"
"1 Strongly disagree","2005","lower secondary degree","(Married) couple without C. ","664","0.228697105744092","0.213650534447021","0.243743677041163"
"1 Strongly disagree","2005","lower secondary degree","Single parent ","62","0.190053710928596","0.14859315160293","0.231514270254262"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE 16 ","128","0.125100714207406","0.103849576962082","0.146351851452731"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. GT 16 ","148","0.143617722114573","0.121559204225932","0.165676240003214"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE and GT 16","54","0.145450920184354","0.110461034024668","0.180440806344041"
"1 Strongly disagree","2005","secondary school degree","1-pers.-HH","170","0.226734769156945","0.197159682114797","0.256309856199092"
"1 Strongly disagree","2005","secondary school degree","(Married) couple without C. ","376","0.211948396621162","0.19303675331963","0.230860039922693"
"1 Strongly disagree","2005","secondary school degree","Single parent ","70","0.203371060410314","0.16102081124765","0.245721309572979"
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE 16 ","220","0.14332171183035","0.12470581763789","0.161937606022811"
"1 Strongly disagree","2005","secondary school degree","Couple + C. GT 16 ","163","0.151290964622828","0.130210872209974","0.172371057035682"
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE and GT 16","89","0.202160314980291","0.166922936734433","0.237397693226149"
"1 Strongly disagree","2005","college entrance qualification","1-pers.-HH","172","0.245682918937029","0.215549076549386","0.275816761324672"
"1 Strongly disagree","2005","college entrance qualification","(Married) couple without C. ","345","0.186554970495426","0.168219542088948","0.204890398901904"
"1 Strongly disagree","2005","college entrance qualification","Single parent ","48","0.249407196839001","0.187394020540925","0.311420373137077"
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE 16 ","187","0.15617686984844","0.135158944159503","0.177194795537377"
"1 Strongly disagree","2005","college entrance qualification","Couple + C. GT 16 ","135","0.147061256934471","0.123909907882738","0.170212605986204"
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE and GT 16","67","0.22191321952471","0.177012247006909","0.266814192042511"
"1 Strongly disagree","2005","Other degree","1-pers.-HH","24","","",""
"1 Strongly disagree","2005","Other degree","(Married) couple without C. ","97","0.255028479326416","0.209232996206908","0.300823962445924"
"1 Strongly disagree","2005","Other degree","Single parent ","14","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE 16 ","41","0.217063369467441","0.161439212780043","0.272687526154839"
