"plh0206i05","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Not Employed","204","0.132668529490265","0.116119488338492","0.149217570642039"
"1 Strongly disagree","2005","16-34 y.","Employed","430","0.115835529346061","0.105519542275347","0.126151516416775"
"1 Strongly disagree","2005","35-65 y.","Not Employed","576","0.213740078221144","0.198245536300496","0.229234620141792"
"1 Strongly disagree","2005","35-65 y.","Employed","1695","0.189443413508875","0.181299083374364","0.197587743643386"
"1 Strongly disagree","2005","66 and older","Not Employed","983","0.294977868403278","0.279955356678834","0.310000380127722"
"1 Strongly disagree","2005","66 and older","Employed","53","0.220953272090155","0.166862168268428","0.275044375911881"
"2 on scale 1-7 ","2005","16-34 y.","Not Employed","255","0.148195257893029","0.13086186800109","0.165528647784968"
"2 on scale 1-7 ","2005","16-34 y.","Employed","748","0.20552602043563","0.192500454211968","0.218551586659292"
"2 on scale 1-7 ","2005","35-65 y.","Not Employed","542","0.192456636928633","0.177556095056416","0.207357178800849"
"2 on scale 1-7 ","2005","35-65 y.","Employed","2078","0.215171300538349","0.206630402147216","0.223712198929482"
"2 on scale 1-7 ","2005","66 and older","Not Employed","686","0.181713869432886","0.169011255663244","0.194416483202529"
"2 on scale 1-7 ","2005","66 and older","Employed","48","0.226680516240512","0.172094620151118","0.281266412329906"
"3 on scale 1-7 ","2005","16-34 y.","Not Employed","265","0.145219943898457","0.128031496539085","0.162408391257829"
"3 on scale 1-7 ","2005","16-34 y.","Employed","678","0.173978971365132","0.16175908135359","0.186198861376674"
"3 on scale 1-7 ","2005","35-65 y.","Not Employed","462","0.159850674158577","0.145999449681481","0.173701898635673"
"3 on scale 1-7 ","2005","35-65 y.","Employed","1586","0.175743659895516","0.167833323981983","0.183653995809049"
"3 on scale 1-7 ","2005","66 and older","Not Employed","573","0.157392146958164","0.14539575240463","0.169388541511698"
"3 on scale 1-7 ","2005","66 and older","Employed","43","0.186089947748968","0.135350757200027","0.236829138297908"
"4 on scale 1-7","2005","16-34 y.","Not Employed","366","0.236612715406219","0.215878489474435","0.257346941338002"
"4 on scale 1-7","2005","16-34 y.","Employed","800","0.21677799051593","0.20349568699237","0.230060294039491"
"4 on scale 1-7","2005","35-65 y.","Not Employed","458","0.174152820179073","0.159818807285688","0.188486833072459"
"4 on scale 1-7","2005","35-65 y.","Employed","1703","0.19995440641014","0.191641616527614","0.208267196292667"
"4 on scale 1-7","2005","66 and older","Not Employed","587","0.164131176278115","0.151929736953813","0.176332615602416"
"4 on scale 1-7","2005","66 and older","Employed","39","0.183908240608136","0.133399799747048","0.234416681469224"
"5 on scale 1-7","2005","16-34 y.","Not Employed","229","0.13523654475323","0.118552858158528","0.151920231347931"
"5 on scale 1-7","2005","16-34 y.","Employed","480","0.13029075453638","0.119439818366956","0.141141690705804"
"5 on scale 1-7","2005","35-65 y.","Not Employed","326","0.129410666632179","0.116724091435133","0.142097241829226"
"5 on scale 1-7","2005","35-65 y.","Employed","953","0.100783639547205","0.0945268569677381","0.107040422126672"
"5 on scale 1-7","2005","66 and older","Not Employed","329","0.0915657449316065","0.0820649547400391","0.101066535123174"
"5 on scale 1-7","2005","66 and older","Employed","24","","",""
"6 on scale 1-7","2005","16-34 y.","Not Employed","163","0.110711336204531","0.0954035019898792","0.126019170419183"
"6 on scale 1-7","2005","16-34 y.","Employed","320","0.085582544668753","0.0765650017644523","0.0946000875730538"
"6 on scale 1-7","2005","35-65 y.","Not Employed","183","0.0737814452570175","0.0639008523224359","0.083662038191599"
"6 on scale 1-7","2005","35-65 y.","Employed","500","0.0693765776441014","0.0640955630166692","0.0746575922715335"
"6 on scale 1-7","2005","66 and older","Not Employed","220","0.0623903797546938","0.0544229856138049","0.0703577738955828"
"6 on scale 1-7","2005","66 and older","Employed","9","","",""
"7 Strongly agree","2005","16-34 y.","Not Employed","132","0.091355672354269","0.0772996951277642","0.105411649580774"
"7 Strongly agree","2005","16-34 y.","Employed","241","0.0720081891321131","0.063675476929435","0.0803409013347913"
"7 Strongly agree","2005","35-65 y.","Not Employed","142","0.056607678623376","0.0478732091516099","0.065342148095142"
"7 Strongly agree","2005","35-65 y.","Employed","378","0.0495270024558132","0.0450176429721932","0.0540363619394331"
"7 Strongly agree","2005","66 and older","Not Employed","162","0.0478288142412568","0.0407989201130311","0.0548587083694825"
"7 Strongly agree","2005","66 and older","Employed","10","","",""
"1 Strongly disagree","2006","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2006","16-34 y.","Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Employed","","","",""
"1 Strongly disagree","2006","66 and older","Not Employed","","","",""
"1 Strongly disagree","2006","66 and older","Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Employed","","","",""
"4 on scale 1-7","2006","66 and older","Not Employed","","","",""
"4 on scale 1-7","2006","66 and older","Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Employed","","","",""
"5 on scale 1-7","2006","66 and older","Not Employed","","","",""
"5 on scale 1-7","2006","66 and older","Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Employed","","","",""
"6 on scale 1-7","2006","66 and older","Not Employed","","","",""
"6 on scale 1-7","2006","66 and older","Employed","","","",""
"7 Strongly agree","2006","16-34 y.","Not Employed","","","",""
"7 Strongly agree","2006","16-34 y.","Employed","","","",""
"7 Strongly agree","2006","35-65 y.","Not Employed","","","",""
"7 Strongly agree","2006","35-65 y.","Employed","","","",""
"7 Strongly agree","2006","66 and older","Not Employed","","","",""
"7 Strongly agree","2006","66 and older","Employed","","","",""
"1 Strongly disagree","2007","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2007","16-34 y.","Employed","","","",""
"1 Strongly disagree","2007","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2007","35-65 y.","Employed","","","",""
"1 Strongly disagree","2007","66 and older","Not Employed","","","",""
"1 Strongly disagree","2007","66 and older","Employed","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2007","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2007","66 and older","Employed","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Not Employed","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Employed","","","",""
