"plh0206i05","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","74","0.131052128888935","0.10512965183917","0.1569746059387"
"1 Strongly disagree","2005","(1a) inadequately completed","67","0.286682669900835","0.229471006075756","0.343894333725913"
"1 Strongly disagree","2005","(1b) general elementary school","390","0.204042947690482","0.185708631491917","0.222377263889047"
"1 Strongly disagree","2005","(1c) basic vocational qualification","1137","0.205728857239827","0.195240337345342","0.216217377134312"
"1 Strongly disagree","2005","(2b) intermediate general qualification","76","0.142569455155516","0.114066040415613","0.171072869895419"
"1 Strongly disagree","2005","(2a) intermediate vocational","900","0.192683678626048","0.181514411823035","0.20385294542906"
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","109","0.142193236096316","0.117916028670159","0.166470443522474"
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","280","0.202067108215166","0.181827449158926","0.222306767271406"
"1 Strongly disagree","2005","(3a) lower tertiary education","347","0.223758541514088","0.203631056131342","0.243886026896834"
"1 Strongly disagree","2005","(3b) higher tertiary education","510","0.196130591204029","0.180609191817781","0.211651990590276"
"2 on scale 1-7 ","2005","(0) in school","105","0.170009295105361","0.141153666180768","0.198864924029954"
"2 on scale 1-7 ","2005","(1a) inadequately completed","34","0.128766760323189","0.0863915786598282","0.171141941986551"
"2 on scale 1-7 ","2005","(1b) general elementary school","301","0.167543929150177","0.150553509117002","0.184534349183351"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","1073","0.182360908411292","0.172341803957585","0.192380012864998"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","96","0.1532963588789","0.123925556896881","0.182667160860919"
"2 on scale 1-7 ","2005","(2a) intermediate vocational","1013","0.209760155110857","0.198230367856399","0.221289942365314"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","167","0.17809786111443","0.151502619884551","0.204693102344308"
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","368","0.22372853089091","0.202722708305832","0.244734353475988"
"2 on scale 1-7 ","2005","(3a) lower tertiary education","430","0.232013892666231","0.21162775424851","0.252400031083953"
"2 on scale 1-7 ","2005","(3b) higher tertiary education","705","0.265785251868166","0.248517235737533","0.283053267998799"
"3 on scale 1-7 ","2005","(0) in school","110","0.147375827363557","0.120145707979568","0.174605946747546"
"3 on scale 1-7 ","2005","(1a) inadequately completed","41","0.171758434702971","0.124040678075076","0.219476191330865"
"3 on scale 1-7 ","2005","(1b) general elementary school","287","0.155711858132485","0.139216365372537","0.172207350892434"
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","955","0.154900139341105","0.145512376133644","0.164287902548567"
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","102","0.163134757578119","0.133012661592379","0.19325685356386"
"3 on scale 1-7 ","2005","(2a) intermediate vocational","824","0.167696501463497","0.157116561688135","0.17827644123886"
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","136","0.171977830439123","0.145746414009274","0.198209246868972"
"3 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","271","0.176136426396333","0.156935400361224","0.195337452431443"
"3 on scale 1-7 ","2005","(3a) lower tertiary education","306","0.184295567092957","0.165570423909972","0.203020710275942"
"3 on scale 1-7 ","2005","(3b) higher tertiary education","517","0.213535295640672","0.197516129411466","0.229554461869879"
"4 on scale 1-7","2005","(0) in school","154","0.211523648479767","0.180152429281958","0.242894867677576"
"4 on scale 1-7","2005","(1a) inadequately completed","37","0.142409525464034","0.0981963239065828","0.186622727021486"
"4 on scale 1-7","2005","(1b) general elementary school","374","0.199872481968731","0.181679025696655","0.218065938240808"
"4 on scale 1-7","2005","(1c) basic vocational qualification","1078","0.196122827773431","0.185820363227593","0.206425292319269"
"4 on scale 1-7","2005","(2b) intermediate general qualification","126","0.210074325244594","0.176864715252069","0.243283935237119"
"4 on scale 1-7","2005","(2a) intermediate vocational","943","0.19383638846507","0.18264176257408","0.20503101435606"
"4 on scale 1-7","2005","(2c_gen) general maturity certificate","183","0.256024476818091","0.225686641181238","0.286362312454945"
"4 on scale 1-7","2005","(2c_voc) vocational maturity certificate","288","0.199680510101177","0.179530664124755","0.2198303560776"
"4 on scale 1-7","2005","(3a) lower tertiary education","290","0.189316842701588","0.17039682697548","0.208236858427697"
"4 on scale 1-7","2005","(3b) higher tertiary education","411","0.166028455983168","0.151482832718187","0.18057407924815"
"5 on scale 1-7","2005","(0) in school","83","0.11171193030897","0.0875136619093413","0.135910198708598"
"5 on scale 1-7","2005","(1a) inadequately completed","24","","",""
"5 on scale 1-7","2005","(1b) general elementary school","209","0.117716890523441","0.103055252993846","0.132378528053036"
"5 on scale 1-7","2005","(1c) basic vocational qualification","655","0.11227340740772","0.104081967042299","0.120464847773141"
"5 on scale 1-7","2005","(2b) intermediate general qualification","76","0.141612809051847","0.113189341778856","0.170036276324839"
"5 on scale 1-7","2005","(2a) intermediate vocational","583","0.11317118057061","0.104199616634397","0.122142744506824"
"5 on scale 1-7","2005","(2c_gen) general maturity certificate","118","0.133882013741065","0.110211146294639","0.157552881187491"
"5 on scale 1-7","2005","(2c_voc) vocational maturity certificate","165","0.0984483736633392","0.0834317682506442","0.113464979076034"
"5 on scale 1-7","2005","(3a) lower tertiary education","159","0.103454561640888","0.0887462688539063","0.11816285442787"
"5 on scale 1-7","2005","(3b) higher tertiary education","216","0.0826859394868202","0.0719202881053719","0.0934515908682686"
"6 on scale 1-7","2005","(0) in school","73","0.135708449588664","0.109400247165404","0.162016652011924"
"6 on scale 1-7","2005","(1a) inadequately completed","16","","",""
"6 on scale 1-7","2005","(1b) general elementary school","148","0.0786553394052282","0.0664082109935455","0.0909024678169109"
"6 on scale 1-7","2005","(1c) basic vocational qualification","436","0.0823868146519568","0.0752526868349287","0.0895209424689849"
"6 on scale 1-7","2005","(2b) intermediate general qualification","49","0.0912098243718893","0.0677385433493271","0.114681105394452"
"6 on scale 1-7","2005","(2a) intermediate vocational","322","0.0764686774809742","0.0689429595145261","0.0839943954474223"
"6 on scale 1-7","2005","(2c_gen) general maturity certificate","47","0.0686690446117343","0.0510899279478406","0.0862481612756279"
"6 on scale 1-7","2005","(2c_voc) vocational maturity certificate","84","0.0531218657118511","0.0418172475122831","0.0644264839114191"
"6 on scale 1-7","2005","(3a) lower tertiary education","74","0.039112664299495","0.0297500695361743","0.0484752590628158"
"6 on scale 1-7","2005","(3b) higher tertiary education","113","0.0557622516302823","0.0467925853650788","0.0647319178954858"
"7 Strongly agree","2005","(0) in school","52","0.0926187202647457","0.0703496599143233","0.114887780615168"
"7 Strongly agree","2005","(1a) inadequately completed","21","","",""
"7 Strongly agree","2005","(1b) general elementary school","147","0.0764565531294555","0.0643674208940867","0.0885456853648244"
"7 Strongly agree","2005","(1c) basic vocational qualification","372","0.0662270451746685","0.0597746561721838","0.0726794341771532"
"7 Strongly agree","2005","(2b) intermediate general qualification","53","0.0981024697191336","0.0738529723577907","0.122351967080477"
"7 Strongly agree","2005","(2a) intermediate vocational","205","0.0463834182829439","0.0404275016928479","0.0523393348730398"
"7 Strongly agree","2005","(2c_gen) general maturity certificate","35","0.0491555371792405","0.0341273882313816","0.0641836861270995"
"7 Strongly agree","2005","(2c_voc) vocational maturity certificate","56","0.0468171850212231","0.0361693099754239","0.0574650600670224"
"7 Strongly agree","2005","(3a) lower tertiary education","41","0.0280479300847521","0.0200739687764376","0.0360218913930665"
"7 Strongly agree","2005","(3b) higher tertiary education","42","0.020072214186862","0.0145899478327476","0.0255544805409764"
"1 Strongly disagree","2006","(0) in school","","","",""
"1 Strongly disagree","2006","(1a) inadequately completed","","","",""
"1 Strongly disagree","2006","(1b) general elementary school","","","",""
"1 Strongly disagree","2006","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2006","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2006","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2006","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2006","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2006","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2006","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2006","(0) in school","","","",""
"2 on scale 1-7 ","2006","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2006","(1b) general elementary school","","","",""
"2 on scale 1-7 ","2006","(1c) basic vocational qualification","","","",""
"2 on scale 1-7 ","2006","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2006","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2006","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2006","(2c_voc) vocational maturity certificate","","","",""
"2 on scale 1-7 ","2006","(3a) lower tertiary education","","","",""
"2 on scale 1-7 ","2006","(3b) higher tertiary education","","","",""
"3 on scale 1-7 ","2006","(0) in school","","","",""
"3 on scale 1-7 ","2006","(1a) inadequately completed","","","",""
"3 on scale 1-7 ","2006","(1b) general elementary school","","","",""
"3 on scale 1-7 ","2006","(1c) basic vocational qualification","","","",""
"3 on scale 1-7 ","2006","(2b) intermediate general qualification","","","",""
"3 on scale 1-7 ","2006","(2a) intermediate vocational","","","",""
"3 on scale 1-7 ","2006","(2c_gen) general maturity certificate","","","",""
"3 on scale 1-7 ","2006","(2c_voc) vocational maturity certificate","","","",""
"3 on scale 1-7 ","2006","(3a) lower tertiary education","","","",""
"3 on scale 1-7 ","2006","(3b) higher tertiary education","","","",""
"4 on scale 1-7","2006","(0) in school","","","",""
"4 on scale 1-7","2006","(1a) inadequately completed","","","",""
"4 on scale 1-7","2006","(1b) general elementary school","","","",""
"4 on scale 1-7","2006","(1c) basic vocational qualification","","","",""
"4 on scale 1-7","2006","(2b) intermediate general qualification","","","",""
"4 on scale 1-7","2006","(2a) intermediate vocational","","","",""
"4 on scale 1-7","2006","(2c_gen) general maturity certificate","","","",""
"4 on scale 1-7","2006","(2c_voc) vocational maturity certificate","","","",""
"4 on scale 1-7","2006","(3a) lower tertiary education","","","",""
"4 on scale 1-7","2006","(3b) higher tertiary education","","","",""
"5 on scale 1-7","2006","(0) in school","","","",""
"5 on scale 1-7","2006","(1a) inadequately completed","","","",""
"5 on scale 1-7","2006","(1b) general elementary school","","","",""
"5 on scale 1-7","2006","(1c) basic vocational qualification","","","",""
"5 on scale 1-7","2006","(2b) intermediate general qualification","","","",""
"5 on scale 1-7","2006","(2a) intermediate vocational","","","",""
"5 on scale 1-7","2006","(2c_gen) general maturity certificate","","","",""
"5 on scale 1-7","2006","(2c_voc) vocational maturity certificate","","","",""
"5 on scale 1-7","2006","(3a) lower tertiary education","","","",""
"5 on scale 1-7","2006","(3b) higher tertiary education","","","",""
"6 on scale 1-7","2006","(0) in school","","","",""
"6 on scale 1-7","2006","(1a) inadequately completed","","","",""
"6 on scale 1-7","2006","(1b) general elementary school","","","",""
"6 on scale 1-7","2006","(1c) basic vocational qualification","","","",""
"6 on scale 1-7","2006","(2b) intermediate general qualification","","","",""
"6 on scale 1-7","2006","(2a) intermediate vocational","","","",""
"6 on scale 1-7","2006","(2c_gen) general maturity certificate","","","",""
"6 on scale 1-7","2006","(2c_voc) vocational maturity certificate","","","",""
"6 on scale 1-7","2006","(3a) lower tertiary education","","","",""
"6 on scale 1-7","2006","(3b) higher tertiary education","","","",""
"7 Strongly agree","2006","(0) in school","","","",""
"7 Strongly agree","2006","(1a) inadequately completed","","","",""
"7 Strongly agree","2006","(1b) general elementary school","","","",""
"7 Strongly agree","2006","(1c) basic vocational qualification","","","",""
"7 Strongly agree","2006","(2b) intermediate general qualification","","","",""
"7 Strongly agree","2006","(2a) intermediate vocational","","","",""
"7 Strongly agree","2006","(2c_gen) general maturity certificate","","","",""
"7 Strongly agree","2006","(2c_voc) vocational maturity certificate","","","",""
"7 Strongly agree","2006","(3a) lower tertiary education","","","",""
"7 Strongly agree","2006","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2007","(0) in school","","","",""
"1 Strongly disagree","2007","(1a) inadequately completed","","","",""
"1 Strongly disagree","2007","(1b) general elementary school","","","",""
"1 Strongly disagree","2007","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2007","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2007","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2007","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2007","(2c_voc) vocational maturity certificate","","","",""
