"plh0206i05","year","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1390","0.201553933733246","0.192202299064286","0.210905568402207"
"1 Strongly disagree","2005","secondary school degree","1107","0.188606652974473","0.178715629916804","0.198497676032141"
"1 Strongly disagree","2005","college entrance qualification","972","0.196236487558491","0.185424351278297","0.207048623838684"
"1 Strongly disagree","2005","Other degree","279","0.228957976898193","0.204362106360216","0.25355384743617"
"1 Strongly disagree","2005","no degree/no degree yet","141","0.190891545227932","0.165115334237198","0.216667756218666"
"2 on scale 1-7 ","2005","lower secondary degree","1311","0.181315494156229","0.172334077488561","0.190296910823897"
"2 on scale 1-7 ","2005","secondary school degree","1286","0.208427719328591","0.198157729439458","0.218697709217724"
"2 on scale 1-7 ","2005","college entrance qualification","1371","0.238924250417233","0.227315070423818","0.250533430410649"
"2 on scale 1-7 ","2005","Other degree","182","0.166616138209099","0.144802587691375","0.188429688726824"
"2 on scale 1-7 ","2005","no degree/no degree yet","139","0.153993349925698","0.130319971891488","0.177666727959908"
"3 on scale 1-7 ","2005","lower secondary degree","1172","0.156132050403418","0.147670452611432","0.164593648195405"
"3 on scale 1-7 ","2005","secondary school degree","1045","0.169961613474066","0.160464940118575","0.179458286829557"
"3 on scale 1-7 ","2005","college entrance qualification","998","0.193847421598432","0.183085343863219","0.204609499333645"
"3 on scale 1-7 ","2005","Other degree","179","0.153695302915936","0.132582837169479","0.174807768662392"
"3 on scale 1-7 ","2005","no degree/no degree yet","153","0.157426093963741","0.133538922655782","0.1813132652717"
"4 on scale 1-7","2005","lower secondary degree","1368","0.198766428108652","0.189463488837842","0.208069367379461"
"4 on scale 1-7","2005","secondary school degree","1174","0.192715933424549","0.182743090223014","0.202688776626083"
"4 on scale 1-7","2005","college entrance qualification","940","0.191086410956321","0.180382969106489","0.201789852806152"
"4 on scale 1-7","2005","Other degree","208","0.200003138810627","0.17658740178896","0.223418875832294"
"4 on scale 1-7","2005","no degree/no degree yet","191","0.184740917774502","0.159287170203571","0.210194665345432"
"5 on scale 1-7","2005","lower secondary degree","801","0.111329175619805","0.103996810920399","0.118661540319212"
"5 on scale 1-7","2005","secondary school degree","720","0.113640509773913","0.105615999726761","0.121665019821065"
"5 on scale 1-7","2005","college entrance qualification","529","0.0986560009806021","0.0905377116338747","0.106774290327329"
"5 on scale 1-7","2005","Other degree","129","0.12476221893866","0.105418059724072","0.144106378153248"
"5 on scale 1-7","2005","no degree/no degree yet","107","0.112473655634629","0.0917513347941602","0.133195976475098"
"6 on scale 1-7","2005","lower secondary degree","561","0.0833330656689702","0.0768901334476835","0.0897759978902568"
"6 on scale 1-7","2005","secondary school degree","402","0.0760341605245254","0.0693325478443869","0.0827357732046638"
"6 on scale 1-7","2005","college entrance qualification","248","0.0514596108956534","0.045444846093456","0.0574743756978508"
"6 on scale 1-7","2005","Other degree","60","0.0567479275714204","0.043204325921485","0.0702915292213558"
"6 on scale 1-7","2005","no degree/no degree yet","89","0.10868157156293","0.0882681051107063","0.129095038015155"
"7 Strongly agree","2005","lower secondary degree","466","0.0675698523096791","0.0617185338082984","0.0734211708110598"
"7 Strongly agree","2005","secondary school degree","275","0.0506134104998828","0.0450709662074669","0.0561558547922988"
"7 Strongly agree","2005","college entrance qualification","125","0.0297898175932677","0.0251614875278932","0.0344181476586423"
"7 Strongly agree","2005","Other degree","84","0.0692172966560644","0.0543587355858455","0.0840758577262833"
"7 Strongly agree","2005","no degree/no degree yet","73","0.0917928659105677","0.0728555126443229","0.110730219176812"
"1 Strongly disagree","2006","lower secondary degree","","","",""
"1 Strongly disagree","2006","secondary school degree","","","",""
"1 Strongly disagree","2006","college entrance qualification","","","",""
"1 Strongly disagree","2006","Other degree","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","","","",""
"2 on scale 1-7 ","2006","secondary school degree","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","","","",""
"2 on scale 1-7 ","2006","Other degree","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","","","",""
"3 on scale 1-7 ","2006","secondary school degree","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","","","",""
"3 on scale 1-7 ","2006","Other degree","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","","","",""
"4 on scale 1-7","2006","lower secondary degree","","","",""
"4 on scale 1-7","2006","secondary school degree","","","",""
"4 on scale 1-7","2006","college entrance qualification","","","",""
"4 on scale 1-7","2006","Other degree","","","",""
"4 on scale 1-7","2006","no degree/no degree yet","","","",""
"5 on scale 1-7","2006","lower secondary degree","","","",""
"5 on scale 1-7","2006","secondary school degree","","","",""
"5 on scale 1-7","2006","college entrance qualification","","","",""
"5 on scale 1-7","2006","Other degree","","","",""
"5 on scale 1-7","2006","no degree/no degree yet","","","",""
"6 on scale 1-7","2006","lower secondary degree","","","",""
"6 on scale 1-7","2006","secondary school degree","","","",""
"6 on scale 1-7","2006","college entrance qualification","","","",""
"6 on scale 1-7","2006","Other degree","","","",""
"6 on scale 1-7","2006","no degree/no degree yet","","","",""
"7 Strongly agree","2006","lower secondary degree","","","",""
"7 Strongly agree","2006","secondary school degree","","","",""
"7 Strongly agree","2006","college entrance qualification","","","",""
"7 Strongly agree","2006","Other degree","","","",""
"7 Strongly agree","2006","no degree/no degree yet","","","",""
"1 Strongly disagree","2007","lower secondary degree","","","",""
"1 Strongly disagree","2007","secondary school degree","","","",""
"1 Strongly disagree","2007","college entrance qualification","","","",""
"1 Strongly disagree","2007","Other degree","","","",""
"1 Strongly disagree","2007","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2007","lower secondary degree","","","",""
"2 on scale 1-7 ","2007","secondary school degree","","","",""
"2 on scale 1-7 ","2007","college entrance qualification","","","",""
"2 on scale 1-7 ","2007","Other degree","","","",""
"2 on scale 1-7 ","2007","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2007","lower secondary degree","","","",""
"3 on scale 1-7 ","2007","secondary school degree","","","",""
"3 on scale 1-7 ","2007","college entrance qualification","","","",""
"3 on scale 1-7 ","2007","Other degree","","","",""
"3 on scale 1-7 ","2007","no degree/no degree yet","","","",""
"4 on scale 1-7","2007","lower secondary degree","","","",""
"4 on scale 1-7","2007","secondary school degree","","","",""
"4 on scale 1-7","2007","college entrance qualification","","","",""
"4 on scale 1-7","2007","Other degree","","","",""
"4 on scale 1-7","2007","no degree/no degree yet","","","",""
"5 on scale 1-7","2007","lower secondary degree","","","",""
"5 on scale 1-7","2007","secondary school degree","","","",""
"5 on scale 1-7","2007","college entrance qualification","","","",""
"5 on scale 1-7","2007","Other degree","","","",""
"5 on scale 1-7","2007","no degree/no degree yet","","","",""
"6 on scale 1-7","2007","lower secondary degree","","","",""
"6 on scale 1-7","2007","secondary school degree","","","",""
"6 on scale 1-7","2007","college entrance qualification","","","",""
"6 on scale 1-7","2007","Other degree","","","",""
"6 on scale 1-7","2007","no degree/no degree yet","","","",""
"7 Strongly agree","2007","lower secondary degree","","","",""
"7 Strongly agree","2007","secondary school degree","","","",""
"7 Strongly agree","2007","college entrance qualification","","","",""
"7 Strongly agree","2007","Other degree","","","",""
"7 Strongly agree","2007","no degree/no degree yet","","","",""
"1 Strongly disagree","2008","lower secondary degree","","","",""
"1 Strongly disagree","2008","secondary school degree","","","",""
"1 Strongly disagree","2008","college entrance qualification","","","",""
"1 Strongly disagree","2008","Other degree","","","",""
"1 Strongly disagree","2008","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","secondary school degree","","","",""
"2 on scale 1-7 ","2008","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Other degree","","","",""
"2 on scale 1-7 ","2008","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","secondary school degree","","","",""
