"plh0206i05","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","Urban Area","923","0.16618861299608","0.156240702677669","0.176136523314491"
"1 Strongly disagree","2005","Full Time","Rural Area","412","0.143935112711604","0.130522160255061","0.157348065168147"
"1 Strongly disagree","2005","Part Time","Urban Area","587","0.191417627978023","0.177900251293014","0.204935004663032"
"1 Strongly disagree","2005","Part Time","Rural Area","256","0.156050655155805","0.137995832749395","0.174105477562215"
"1 Strongly disagree","2005","Not Working","Urban Area","1252","0.25332010343506","0.241495848348064","0.265144358522056"
"1 Strongly disagree","2005","Not Working","Rural Area","511","0.2153368497496","0.199674606037891","0.230999093461308"
"2 on scale 1-7 ","2005","Full Time","Urban Area","1192","0.207282236982692","0.19644951350452","0.218114960460865"
"2 on scale 1-7 ","2005","Full Time","Rural Area","567","0.21664961126997","0.200908164117848","0.232391058422091"
"2 on scale 1-7 ","2005","Part Time","Urban Area","763","0.212054982312693","0.198010313129787","0.2260996514956"
"2 on scale 1-7 ","2005","Part Time","Rural Area","352","0.224965430598643","0.204191404963743","0.245739456233543"
"2 on scale 1-7 ","2005","Not Working","Urban Area","1003","0.183912042054228","0.173379206574627","0.194444877533829"
"2 on scale 1-7 ","2005","Not Working","Rural Area","480","0.169419501044353","0.155126423978247","0.183712578110459"
"3 on scale 1-7 ","2005","Full Time","Urban Area","1034","0.185703540884533","0.175311551740539","0.196095530028527"
"3 on scale 1-7 ","2005","Full Time","Rural Area","464","0.175137885538586","0.160614482266969","0.189661288810202"
"3 on scale 1-7 ","2005","Part Time","Urban Area","564","0.172971157756831","0.159975852342769","0.185966463170892"
"3 on scale 1-7 ","2005","Part Time","Rural Area","245","0.143700790202559","0.126248815196623","0.161152765208496"
"3 on scale 1-7 ","2005","Not Working","Urban Area","875","0.157613360495722","0.147706775224309","0.167519945767135"
"3 on scale 1-7 ","2005","Not Working","Rural Area","425","0.152733667141298","0.139027042000611","0.166440292281985"
"4 on scale 1-7","2005","Full Time","Urban Area","1050","0.207544646410298","0.196706862479571","0.218382430341024"
"4 on scale 1-7","2005","Full Time","Rural Area","534","0.216209579941973","0.200479710826553","0.231939449057393"
"4 on scale 1-7","2005","Part Time","Urban Area","630","0.193340866712187","0.17977191881042","0.206909814613954"
"4 on scale 1-7","2005","Part Time","Rural Area","328","0.201707765631008","0.181743906618966","0.22167162464305"
"4 on scale 1-7","2005","Not Working","Urban Area","881","0.167548878434579","0.157395235975188","0.17770252089397"
"4 on scale 1-7","2005","Not Working","Rural Area","530","0.206509176741264","0.191085290869854","0.221933062612674"
"5 on scale 1-7","2005","Full Time","Urban Area","578","0.1020613369504","0.0939712855444323","0.110151388356368"
"5 on scale 1-7","2005","Full Time","Rural Area","346","0.119981060558608","0.107564822673612","0.132397298443603"
"5 on scale 1-7","2005","Part Time","Urban Area","341","0.109332312150712","0.0986104200713833","0.120054204230041"
"5 on scale 1-7","2005","Part Time","Rural Area","192","0.123062407747562","0.106718749202706","0.139406066292419"
"5 on scale 1-7","2005","Not Working","Urban Area","560","0.111772754021815","0.103206286869359","0.120339221174271"
"5 on scale 1-7","2005","Not Working","Rural Area","324","0.109391853599425","0.0974989200198013","0.121284787179049"
"6 on scale 1-7","2005","Full Time","Urban Area","340","0.0758389457899879","0.0687640948540908","0.0829137967258851"
"6 on scale 1-7","2005","Full Time","Rural Area","182","0.0747216655229976","0.0646744172187373","0.0847689138272579"
"6 on scale 1-7","2005","Part Time","Urban Area","208","0.0722471275776012","0.0633517218175543","0.0811425333376481"
"6 on scale 1-7","2005","Part Time","Rural Area","99","0.0683652055437455","0.0558094559848201","0.080920955102671"
"6 on scale 1-7","2005","Not Working","Urban Area","352","0.0722330780914208","0.0651949164665865","0.0792712397162551"
"6 on scale 1-7","2005","Not Working","Rural Area","214","0.078732831100777","0.0684710226803312","0.0889946395212228"
"7 Strongly agree","2005","Full Time","Urban Area","262","0.055380679986009","0.0492683770180851","0.0614929829539329"
"7 Strongly agree","2005","Full Time","Rural Area","126","0.0533650844562621","0.044776778118597","0.0619533907939272"
"7 Strongly agree","2005","Part Time","Urban Area","161","0.0486359255119526","0.0412451283596386","0.0560267226642666"
"7 Strongly agree","2005","Part Time","Rural Area","80","0.0821477451206765","0.0684866207354539","0.095808869505899"
"7 Strongly agree","2005","Not Working","Urban Area","274","0.0535997834671751","0.0474764111608776","0.0597231557734727"
"7 Strongly agree","2005","Not Working","Rural Area","162","0.0678761206232827","0.0582920833408886","0.0774601579056767"
"1 Strongly disagree","2006","Full Time","Urban Area","","","",""
"1 Strongly disagree","2006","Full Time","Rural Area","","","",""
"1 Strongly disagree","2006","Part Time","Urban Area","","","",""
"1 Strongly disagree","2006","Part Time","Rural Area","","","",""
"1 Strongly disagree","2006","Not Working","Urban Area","","","",""
"1 Strongly disagree","2006","Not Working","Rural Area","","","",""
"2 on scale 1-7 ","2006","Full Time","Urban Area","","","",""
"2 on scale 1-7 ","2006","Full Time","Rural Area","","","",""
"2 on scale 1-7 ","2006","Part Time","Urban Area","","","",""
"2 on scale 1-7 ","2006","Part Time","Rural Area","","","",""
"2 on scale 1-7 ","2006","Not Working","Urban Area","","","",""
"2 on scale 1-7 ","2006","Not Working","Rural Area","","","",""
"3 on scale 1-7 ","2006","Full Time","Urban Area","","","",""
"3 on scale 1-7 ","2006","Full Time","Rural Area","","","",""
"3 on scale 1-7 ","2006","Part Time","Urban Area","","","",""
"3 on scale 1-7 ","2006","Part Time","Rural Area","","","",""
"3 on scale 1-7 ","2006","Not Working","Urban Area","","","",""
"3 on scale 1-7 ","2006","Not Working","Rural Area","","","",""
"4 on scale 1-7","2006","Full Time","Urban Area","","","",""
"4 on scale 1-7","2006","Full Time","Rural Area","","","",""
"4 on scale 1-7","2006","Part Time","Urban Area","","","",""
