"plh0206i05","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","74","0.131666766945148","0.105612596623039","0.157720937267258"
"1 Strongly disagree","2005","inadequately","57","0.251258723660568","0.195325665724677","0.307191781596459"
"1 Strongly disagree","2005","general elemantary","459","0.191932805122311","0.176167135649408","0.207698474595214"
"1 Strongly disagree","2005","middle vocational","1936","0.196156740242289","0.188463815698668","0.20384966478591"
"1 Strongly disagree","2005","vocational + Abi","198","0.197642854890313","0.174444921394202","0.220840788386425"
"1 Strongly disagree","2005","higher vocational","320","0.21797799381678","0.197463580208144","0.238492407425416"
"1 Strongly disagree","2005","higher education","857","0.207645178573264","0.195320658647443","0.219969698499086"
"2 on scale 1-7 ","2005","in school","104","0.169380726688109","0.140478656684448","0.19828279669177"
"2 on scale 1-7 ","2005","inadequately","31","0.137957949213855","0.0934866628720505","0.182429235555659"
"2 on scale 1-7 ","2005","general elemantary","392","0.164777868385515","0.149926567017176","0.179629169753854"
"2 on scale 1-7 ","2005","middle vocational","2012","0.190633910249682","0.183024048832522","0.198243771666842"
"2 on scale 1-7 ","2005","vocational + Abi","267","0.216267479947343","0.192284429483872","0.240250530410814"
"2 on scale 1-7 ","2005","higher vocational","370","0.221612962647129","0.200976337667821","0.242249587626438"
"2 on scale 1-7 ","2005","higher education","1135","0.251710256736626","0.238523603507458","0.264896909965794"
"3 on scale 1-7 ","2005","in school","109","0.146889046381579","0.119612246627457","0.174165846135701"
"3 on scale 1-7 ","2005","inadequately","38","0.164704862646339","0.116873220827304","0.212536504465375"
"3 on scale 1-7 ","2005","general elemantary","385","0.157720891322151","0.143129836144197","0.172311946500105"
"3 on scale 1-7 ","2005","middle vocational","1720","0.1599024650136","0.152801839606148","0.167003090421053"
"3 on scale 1-7 ","2005","vocational + Abi","212","0.173441864611448","0.151385265645521","0.195498463577374"
"3 on scale 1-7 ","2005","higher vocational","274","0.172188989742734","0.153429907695779","0.190948071789689"
"3 on scale 1-7 ","2005","higher education","823","0.201348962407953","0.189164609730666","0.21353331508524"
"4 on scale 1-7","2005","in school","152","0.210429567175521","0.179021242616862","0.24183789173418"
"4 on scale 1-7","2005","inadequately","38","0.148485009316046","0.102630763443614","0.194339255188479"
"4 on scale 1-7","2005","general elemantary","492","0.201069329125429","0.185024262106433","0.217114396144426"
"4 on scale 1-7","2005","middle vocational","2006","0.197515695388455","0.189802696885239","0.205228693891671"
"4 on scale 1-7","2005","vocational + Abi","215","0.197201829089719","0.174023424780165","0.220380233399273"
"4 on scale 1-7","2005","higher vocational","287","0.202720775187846","0.18274527570297","0.222696274672723"
"4 on scale 1-7","2005","higher education","701","0.175734429844724","0.164170345748804","0.187298513940644"
"5 on scale 1-7","2005","in school","83","0.112235862306741","0.0879132300787115","0.13655849453477"
"5 on scale 1-7","2005","inadequately","","","",""
"5 on scale 1-7","2005","general elemantary","281","0.122882627378718","0.109739819036917","0.136025435720519"
"5 on scale 1-7","2005","middle vocational","1241","0.117203982861458","0.110972297247896","0.123435668475019"
"5 on scale 1-7","2005","vocational + Abi","125","0.101329783964985","0.0837508064687912","0.118908761461178"
"5 on scale 1-7","2005","higher vocational","168","0.0851377746849973","0.0712707818900158","0.0990047674799789"
"5 on scale 1-7","2005","higher education","375","0.0913417431801035","0.0825881941323396","0.100095292227867"
"6 on scale 1-7","2005","in school","73","0.136344925915864","0.10990345534269","0.162786396489037"
"6 on scale 1-7","2005","inadequately","","","",""
"6 on scale 1-7","2005","general elemantary","196","0.0819289069291537","0.0709497040335154","0.092908109824792"
"6 on scale 1-7","2005","middle vocational","737","0.0785519534546734","0.0733397892514686","0.0837641176578781"
"6 on scale 1-7","2005","vocational + Abi","73","0.0645920533971061","0.0502729788308194","0.0789111279633928"
"6 on scale 1-7","2005","higher vocational","87","0.0656837019249791","0.053374806901286","0.0779925969486721"
"6 on scale 1-7","2005","higher education","187","0.0488231509792916","0.042275390698077","0.0553709112605063"
"7 Strongly agree","2005","in school","52","0.0930531045870387","0.070668351226609","0.115437857947468"
"7 Strongly agree","2005","inadequately","","","",""
"7 Strongly agree","2005","general elemantary","192","0.0796875717367212","0.0688463802840829","0.0905287631893596"
"7 Strongly agree","2005","middle vocational","583","0.0600352527898429","0.0554330778595957","0.0646374277200901"
"7 Strongly agree","2005","vocational + Abi","42","0.0495241340990863","0.0368853914735601","0.0621628767246124"
"7 Strongly agree","2005","higher vocational","50","0.0346778019955332","0.0255869367026085","0.0437686672884579"
"7 Strongly agree","2005","higher education","83","0.0233962782780378","0.0188034330588593","0.0279891234972163"
"1 Strongly disagree","2006","in school","","","",""
"1 Strongly disagree","2006","inadequately","","","",""
"1 Strongly disagree","2006","general elemantary","","","",""
"1 Strongly disagree","2006","middle vocational","","","",""
"1 Strongly disagree","2006","vocational + Abi","","","",""
"1 Strongly disagree","2006","higher vocational","","","",""
"1 Strongly disagree","2006","higher education","","","",""
"2 on scale 1-7 ","2006","in school","","","",""
"2 on scale 1-7 ","2006","inadequately","","","",""
