"plh0206i05","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","Full Time","","","","","1"
"1 Strongly disagree","2005","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2005","Not Employed","Not Working","1763","0.241479993347913","0.23200822471003","0.250951761985796","1"
"1 Strongly disagree","2005","Employed","Full Time","1335","0.159311743946882","0.151297303259393","0.167326184634371","1"
"1 Strongly disagree","2005","Employed","Part Time","843","0.180316122439702","0.169446944864525","0.191185300014879","1"
"1 Strongly disagree","2005","Employed","Not Working","","","","","1"
"2 on scale 1-7 ","2005","Not Employed","Not Working","1483","0.179394438522409","0.170903050260612","0.187885826784206","2"
"2 on scale 1-7 ","2005","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2005","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2005","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2005","Employed","Full Time","1759","0.210176981876077","0.201254425476121","0.219099538276034","2"
"2 on scale 1-7 ","2005","Employed","Part Time","1115","0.216107503682536","0.204471083771717","0.227743923593355","2"
"3 on scale 1-7 ","2005","Employed","Part Time","809","0.163783344337066","0.153320482704569","0.174246205969564","3"
"3 on scale 1-7 ","2005","Not Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2005","Employed","Full Time","1498","0.182438498203417","0.173980836816505","0.190896159590329","3"
"3 on scale 1-7 ","2005","Not Employed","Not Working","1300","0.156092266305468","0.148059869402386","0.16412466320855","3"
"3 on scale 1-7 ","2005","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2005","Employed","Not Working","","","","","3"
"4 on scale 1-7","2005","Employed","Not Working","","","","","4"
"4 on scale 1-7","2005","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2005","Not Employed","Not Working","1411","0.17969355210575","0.171196636728996","0.188190467482504","4"
"4 on scale 1-7","2005","Employed","Part Time","958","0.195967191988958","0.184744816963301","0.207189567014615","4"
"4 on scale 1-7","2005","Not Employed","Full Time","","","","","4"
"4 on scale 1-7","2005","Employed","Full Time","1584","0.210222320145018","0.201299057555951","0.219145582734085","4"
"5 on scale 1-7","2005","Employed","Not Working","","","","","5"
"5 on scale 1-7","2005","Employed","Full Time","924","0.107598964338278","0.100812932211389","0.114384996465168","5"
"5 on scale 1-7","2005","Employed","Part Time","533","0.113642116472284","0.104669266209247","0.12261496673532","5"
"5 on scale 1-7","2005","Not Employed","Full Time","","","","","5"
"5 on scale 1-7","2005","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2005","Not Employed","Not Working","884","0.111030581607069","0.104077590060224","0.117983573153915","5"
"6 on scale 1-7","2005","Employed","Not Working","","","","","6"
"6 on scale 1-7","2005","Not Employed","Not Working","566","0.074259176008343","0.0684565209502542","0.0800618310664319","6"
"6 on scale 1-7","2005","Employed","Part Time","307","0.0710286128018298","0.0637663151799669","0.0782909104236927","6"
"6 on scale 1-7","2005","Not Employed","Full Time","","","","","6"
"6 on scale 1-7","2005","Employed","Full Time","522","0.0754936792031982","0.0697081635755937","0.0812791948308026","6"
"6 on scale 1-7","2005","Not Employed","Part Time","","","","","6"
"7 Strongly agree","2005","Employed","Not Working","","","","","7"
"7 Strongly agree","2005","Employed","Part Time","241","0.0591551082776242","0.052485330717804","0.0658248858374445","7"
"7 Strongly agree","2005","Not Employed","Not Working","436","0.0580499921030467","0.0528748534130923","0.0632251307930011","7"
"7 Strongly agree","2005","Employed","Full Time","388","0.0547578122871289","0.0497755518498053","0.0597400727244525","7"
"7 Strongly agree","2005","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2005","Not Employed","Part Time","","","","","7"
"1 Strongly disagree","2006","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2006","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2006","Employed","Full Time","","","","","1"
"1 Strongly disagree","2006","Employed","Part Time","","","","","1"
"1 Strongly disagree","2006","Employed","Not Working","","","","","1"
"1 Strongly disagree","2006","Not Employed","Full Time","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2006","Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2006","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2006","Employed","Part Time","","","","","2"
"3 on scale 1-7 ","2006","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2006","Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2006","Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Full Time","","","","","3"
"4 on scale 1-7","2006","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2006","Not Employed","Full Time","","","","","4"
"4 on scale 1-7","2006","Employed","Not Working","","","","","4"
"4 on scale 1-7","2006","Employed","Part Time","","","","","4"
"4 on scale 1-7","2006","Employed","Full Time","","","","","4"
"4 on scale 1-7","2006","Not Employed","Not Working","","","","","4"
"5 on scale 1-7","2006","Employed","Not Working","","","","","5"
"5 on scale 1-7","2006","Employed","Part Time","","","","","5"
"5 on scale 1-7","2006","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2006","Employed","Full Time","","","","","5"
