"plh0206i05","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","West Germany","60","0.13460123579092","0.104804720119788","0.164397751462052"
"1 Strongly disagree","2005","(0) in school","East Germany","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","West Germany","61","0.28701628813518","0.227239878459252","0.346792697811107"
"1 Strongly disagree","2005","(1a) inadequately completed","East Germany","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","West Germany","345","0.199707061644991","0.180399719413384","0.219014403876599"
"1 Strongly disagree","2005","(1b) general elementary school","East Germany","45","0.246678716944275","0.18823593144375","0.305121502444801"
"1 Strongly disagree","2005","(1c) basic vocational qualification","West Germany","927","0.204584752225101","0.192950064965469","0.216219439484734"
"1 Strongly disagree","2005","(1c) basic vocational qualification","East Germany","210","0.212654954737847","0.188341092831168","0.236968816644527"
"1 Strongly disagree","2005","(2b) intermediate general qualification","West Germany","59","0.14595564357015","0.112853354092163","0.179057933048137"
"1 Strongly disagree","2005","(2b) intermediate general qualification","East Germany","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","West Germany","603","0.195080430972356","0.181099592235505","0.209061269709208"
"1 Strongly disagree","2005","(2a) intermediate vocational","East Germany","297","0.187038686707691","0.168524102743452","0.205553270671931"
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","West Germany","85","0.14315522941775","0.115339264584314","0.170971194251186"
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","East Germany","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","West Germany","249","0.207760921363327","0.185706966740757","0.229814875985897"
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","East Germany","31","0.152034129339661","0.10370155888418","0.200366699795143"
"1 Strongly disagree","2005","(3a) lower tertiary education","West Germany","201","0.223931703625828","0.197924283231306","0.24993912402035"
"1 Strongly disagree","2005","(3a) lower tertiary education","East Germany","146","0.223396123854761","0.191619063643862","0.25517318406566"
"1 Strongly disagree","2005","(3b) higher tertiary education","West Germany","376","0.187785701111542","0.170321409114489","0.205249993108595"
"1 Strongly disagree","2005","(3b) higher tertiary education","East Germany","134","0.232460287470656","0.198462899043967","0.266457675897344"
"2 on scale 1-7 ","2005","(0) in school","West Germany","74","0.162716607980663","0.13049219591804","0.194941020043286"
"2 on scale 1-7 ","2005","(0) in school","East Germany","31","0.202364930596818","0.137417919409964","0.267311941783672"
"2 on scale 1-7 ","2005","(1a) inadequately completed","West Germany","30","0.130047891035696","0.0856015432628095","0.174494238808582"
"2 on scale 1-7 ","2005","(1a) inadequately completed","East Germany","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","West Germany","267","0.166628432572983","0.148631636912056","0.18462522823391"
"2 on scale 1-7 ","2005","(1b) general elementary school","East Germany","34","0.176546218511186","0.124854166578938","0.228238270443434"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","West Germany","869","0.184934673813655","0.173737033616599","0.19613231401071"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","East Germany","204","0.166780039623584","0.144629438720233","0.188930640526936"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","West Germany","76","0.160883004049297","0.126434234457148","0.195331773641446"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","East Germany","","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","West Germany","670","0.218308936578834","0.203734107826281","0.232883765331388"
"2 on scale 1-7 ","2005","(2a) intermediate vocational","East Germany","343","0.189625491480357","0.171012998750418","0.208237984210295"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","West Germany","132","0.170362489318025","0.140503808024833","0.200221170611217"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","East Germany","35","0.214590808136921","0.15559173807626","0.273589878197581"
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","West Germany","322","0.223202946359122","0.200567963952942","0.245837928765303"
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","East Germany","46","0.228346975348419","0.171841722366459","0.28485222833038"
"2 on scale 1-7 ","2005","(3a) lower tertiary education","West Germany","255","0.228490041666137","0.202296518262145","0.254683565070129"
"2 on scale 1-7 ","2005","(3a) lower tertiary education","East Germany","175","0.239389096274195","0.206834704975518","0.271943487572873"
"2 on scale 1-7 ","2005","(3b) higher tertiary education","West Germany","527","0.263275810267311","0.243581428489794","0.282970192044827"
"2 on scale 1-7 ","2005","(3b) higher tertiary education","East Germany","178","0.276710171207726","0.240702960110606","0.312717382304847"
"3 on scale 1-7 ","2005","(0) in school","West Germany","88","0.155278467078149","0.123659678779538","0.186897255376759"
"3 on scale 1-7 ","2005","(0) in school","East Germany","","","",""
