"plh0206i05","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","634","0.120394327789682","0.111642334740674","0.12914632083869","1"
"1 Strongly disagree","2005","35-65 y.","2271","0.195336566708651","0.188116267106107","0.202556866311195","1"
"1 Strongly disagree","2005","66 and older","1036","0.290822771545182","0.276318379543123","0.305327163547242","1"
"2 on scale 1-7 ","2005","16-34 y.","1003","0.189999412652596","0.179448774310539","0.200550050994653","2"
"2 on scale 1-7 ","2005","66 and older","734","0.18423790579614","0.171856236847812","0.196619574744467","2"
"2 on scale 1-7 ","2005","35-65 y.","2620","0.209661861521979","0.202248375051731","0.217075347992227","2"
"3 on scale 1-7 ","2005","16-34 y.","943","0.16619030573619","0.156178872539926","0.176201738932454","3"
"3 on scale 1-7 ","2005","35-65 y.","2048","0.171888818053692","0.165017746869708","0.178759889237675","3"
"3 on scale 1-7 ","2005","66 and older","616","0.159002991837287","0.147323934067038","0.170682049607536","3"
"4 on scale 1-7","2005","16-34 y.","1166","0.222149731274254","0.210970013518013","0.233329449030496","4"
"4 on scale 1-7","2005","66 and older","626","0.165241288618511","0.153379567756093","0.177103009480928","4"
"4 on scale 1-7","2005","35-65 y.","2161","0.193696234671032","0.186498990380345","0.200893478961719","4"
"5 on scale 1-7","2005","16-34 y.","709","0.131630198518433","0.122537557098983","0.140722839937884","5"
"5 on scale 1-7","2005","35-65 y.","1279","0.107727121636773","0.102080773071006","0.113373470202541","5"
"5 on scale 1-7","2005","66 and older","353","0.0918846443194469","0.0826589319141527","0.101110356724741","5"
"6 on scale 1-7","2005","66 and older","229","0.0611459011176184","0.0534936244885729","0.068798177746664","6"
"6 on scale 1-7","2005","35-65 y.","683","0.0704449777712405","0.0657846240626608","0.0751053314798202","6"
"6 on scale 1-7","2005","16-34 y.","483","0.0923880513973217","0.0846001947944506","0.100175908000193","6"
"7 Strongly agree","2005","66 and older","172","0.0476644967658155","0.0408599308276649","0.0544690627039662","7"
"7 Strongly agree","2005","16-34 y.","373","0.0772479726315218","0.0700676164253339","0.0844283288377098","7"
"7 Strongly agree","2005","35-65 y.","520","0.0512444196366322","0.0472287611416208","0.0552600781316435","7"
"1 Strongly disagree","2006","16-34 y.","","","","","1"
"1 Strongly disagree","2006","35-65 y.","","","","","1"
"1 Strongly disagree","2006","66 and older","","","","","1"
"2 on scale 1-7 ","2006","66 and older","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","","","","","3"
"3 on scale 1-7 ","2006","66 and older","","","","","3"
"4 on scale 1-7","2006","66 and older","","","","","4"
"4 on scale 1-7","2006","16-34 y.","","","","","4"
"4 on scale 1-7","2006","35-65 y.","","","","","4"
"5 on scale 1-7","2006","66 and older","","","","","5"
"5 on scale 1-7","2006","16-34 y.","","","","","5"
"5 on scale 1-7","2006","35-65 y.","","","","","5"
"6 on scale 1-7","2006","66 and older","","","","","6"
"6 on scale 1-7","2006","35-65 y.","","","","","6"
"6 on scale 1-7","2006","16-34 y.","","","","","6"
"7 Strongly agree","2006","66 and older","","","","","7"
"7 Strongly agree","2006","16-34 y.","","","","","7"
"7 Strongly agree","2006","35-65 y.","","","","","7"
"1 Strongly disagree","2007","35-65 y.","","","","","1"
"1 Strongly disagree","2007","66 and older","","","","","1"
"1 Strongly disagree","2007","16-34 y.","","","","","1"
"2 on scale 1-7 ","2007","16-34 y.","","","","","2"
"2 on scale 1-7 ","2007","66 and older","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","","","","","2"
"3 on scale 1-7 ","2007","35-65 y.","","","","","3"
"3 on scale 1-7 ","2007","66 and older","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","","","","","3"
"4 on scale 1-7","2007","66 and older","","","","","4"
"4 on scale 1-7","2007","16-34 y.","","","","","4"
"4 on scale 1-7","2007","35-65 y.","","","","","4"
