"plh0206i05","year","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Male","1567","0.161450583679159","0.154195677815947","0.168705489542372"
"1 Strongly disagree","2005","Female","2374","0.230782415799886","0.222828060959535","0.238736770640238"
"2 on scale 1-7 ","2005","Male","1977","0.190602557512842","0.18285806584013","0.198347049185554"
"2 on scale 1-7 ","2005","Female","2380","0.207109372620054","0.19945894835878","0.214759796881328"
"3 on scale 1-7 ","2005","Male","1761","0.168297132736966","0.160920297233187","0.175673968240745"
"3 on scale 1-7 ","2005","Female","1846","0.166987221025789","0.159946024727893","0.174028417323685"
"4 on scale 1-7","2005","Male","2027","0.211263483108474","0.203214781381738","0.219312184835211"
"4 on scale 1-7","2005","Female","1926","0.17912131418845","0.171882088363076","0.186360540013823"
"5 on scale 1-7","2005","Male","1234","0.119540666330041","0.113143905274581","0.125937427385501"
"5 on scale 1-7","2005","Female","1107","0.10167833740577","0.0959726344804923","0.107384040331048"
"6 on scale 1-7","2005","Male","737","0.0840174495102107","0.078547592311015","0.0894873067094063"
"6 on scale 1-7","2005","Female","658","0.064549826031112","0.0599106925402586","0.0691889595219654"
"7 Strongly agree","2005","Male","578","0.0648281271223068","0.0599732851612429","0.0696829690833707"
"7 Strongly agree","2005","Female","487","0.0497715129289394","0.0456658485413189","0.05387717731656"
"1 Strongly disagree","2006","Male","","","",""
"1 Strongly disagree","2006","Female","","","",""
"2 on scale 1-7 ","2006","Male","","","",""
"2 on scale 1-7 ","2006","Female","","","",""
"3 on scale 1-7 ","2006","Male","","","",""
"3 on scale 1-7 ","2006","Female","","","",""
"4 on scale 1-7","2006","Male","","","",""
"4 on scale 1-7","2006","Female","","","",""
"5 on scale 1-7","2006","Male","","","",""
"5 on scale 1-7","2006","Female","","","",""
"6 on scale 1-7","2006","Male","","","",""
"6 on scale 1-7","2006","Female","","","",""
"7 Strongly agree","2006","Male","","","",""
"7 Strongly agree","2006","Female","","","",""
"1 Strongly disagree","2007","Male","","","",""
"1 Strongly disagree","2007","Female","","","",""
"2 on scale 1-7 ","2007","Male","","","",""
"2 on scale 1-7 ","2007","Female","","","",""
"3 on scale 1-7 ","2007","Male","","","",""
"3 on scale 1-7 ","2007","Female","","","",""
"4 on scale 1-7","2007","Male","","","",""
"4 on scale 1-7","2007","Female","","","",""
"5 on scale 1-7","2007","Male","","","",""
"5 on scale 1-7","2007","Female","","","",""
"6 on scale 1-7","2007","Male","","","",""
"6 on scale 1-7","2007","Female","","","",""
"7 Strongly agree","2007","Male","","","",""
"7 Strongly agree","2007","Female","","","",""
"1 Strongly disagree","2008","Male","","","",""
"1 Strongly disagree","2008","Female","","","",""
"2 on scale 1-7 ","2008","Male","","","",""
"2 on scale 1-7 ","2008","Female","","","",""
"3 on scale 1-7 ","2008","Male","","","",""
"3 on scale 1-7 ","2008","Female","","","",""
"4 on scale 1-7","2008","Male","","","",""
"4 on scale 1-7","2008","Female","","","",""
"5 on scale 1-7","2008","Male","","","",""
"5 on scale 1-7","2008","Female","","","",""
"6 on scale 1-7","2008","Male","","","",""
"6 on scale 1-7","2008","Female","","","",""
"7 Strongly agree","2008","Male","","","",""
"7 Strongly agree","2008","Female","","","",""
"1 Strongly disagree","2009","Male","","","",""
"1 Strongly disagree","2009","Female","","","",""
"2 on scale 1-7 ","2009","Male","","","",""
"2 on scale 1-7 ","2009","Female","","","",""
"3 on scale 1-7 ","2009","Male","","","",""
"3 on scale 1-7 ","2009","Female","","","",""
"4 on scale 1-7","2009","Male","","","",""
"4 on scale 1-7","2009","Female","","","",""
"5 on scale 1-7","2009","Male","","","",""
"5 on scale 1-7","2009","Female","","","",""
"6 on scale 1-7","2009","Male","","","",""
"6 on scale 1-7","2009","Female","","","",""
"7 Strongly agree","2009","Male","","","",""
"7 Strongly agree","2009","Female","","","",""
"1 Strongly disagree","2010","Male","1279","0.166518347713419","0.158320337928555","0.174716357498282"
"1 Strongly disagree","2010","Female","1984","0.236899348233771","0.227975795530741","0.245822900936801"
"2 on scale 1-7 ","2010","Male","1692","0.205594238260033","0.196701079890512","0.214487396629554"
"2 on scale 1-7 ","2010","Female","2079","0.21743900845245","0.208781502972235","0.226096513932665"
"3 on scale 1-7 ","2010","Male","1471","0.184542044086806","0.176005583994033","0.193078504179579"
"3 on scale 1-7 ","2010","Female","1624","0.188379998409731","0.180173484445076","0.196586512374385"
"4 on scale 1-7","2010","Male","1569","0.1878386168875","0.179243674447333","0.196433559327666"
"4 on scale 1-7","2010","Female","1465","0.161545773116435","0.153821592391334","0.169269953841536"
"5 on scale 1-7","2010","Male","951","0.122992638480117","0.115765430672272","0.130219846287961"
"5 on scale 1-7","2010","Female","791","0.0968593092343405","0.0906518577146649","0.103066760754016"
"6 on scale 1-7","2010","Male","536","0.0701767256515677","0.0645555634061505","0.0757978878969849"
"6 on scale 1-7","2010","Female","457","0.0585914856937144","0.0536623444390444","0.0635206269483845"
"7 Strongly agree","2010","Male","435","0.0623373889205575","0.0570172010700174","0.0676575767710975"
"7 Strongly agree","2010","Female","321","0.0402850768595586","0.0361583267638544","0.0444118269552629"
"1 Strongly disagree","2011","Male","","","",""
"1 Strongly disagree","2011","Female","","","",""
"2 on scale 1-7 ","2011","Male","","","",""
"2 on scale 1-7 ","2011","Female","","","",""
"3 on scale 1-7 ","2011","Male","","","",""
"3 on scale 1-7 ","2011","Female","","","",""
"4 on scale 1-7","2011","Male","","","",""
"4 on scale 1-7","2011","Female","","","",""
"5 on scale 1-7","2011","Male","","","",""
"5 on scale 1-7","2011","Female","","","",""
"6 on scale 1-7","2011","Male","","","",""
"6 on scale 1-7","2011","Female","","","",""
"7 Strongly agree","2011","Male","","","",""
"7 Strongly agree","2011","Female","","","",""
"1 Strongly disagree","2012","Male","","","",""
"1 Strongly disagree","2012","Female","","","",""
"2 on scale 1-7 ","2012","Male","","","",""
"2 on scale 1-7 ","2012","Female","","","",""
"3 on scale 1-7 ","2012","Male","","","",""
"3 on scale 1-7 ","2012","Female","","","",""
"4 on scale 1-7","2012","Male","","","",""
"4 on scale 1-7","2012","Female","","","",""
"5 on scale 1-7","2012","Male","","","",""
"5 on scale 1-7","2012","Female","","","",""
"6 on scale 1-7","2012","Male","","","",""
"6 on scale 1-7","2012","Female","","","",""
"7 Strongly agree","2012","Male","","","",""
"7 Strongly agree","2012","Female","","","",""
"1 Strongly disagree","2013","Male","","","",""
"1 Strongly disagree","2013","Female","","","",""
"2 on scale 1-7 ","2013","Male","","","",""
"2 on scale 1-7 ","2013","Female","","","",""
"3 on scale 1-7 ","2013","Male","","","",""
"3 on scale 1-7 ","2013","Female","","","",""
"4 on scale 1-7","2013","Male","","","",""
"4 on scale 1-7","2013","Female","","","",""
"5 on scale 1-7","2013","Male","","","",""
"5 on scale 1-7","2013","Female","","","",""
"6 on scale 1-7","2013","Male","","","",""
"6 on scale 1-7","2013","Female","","","",""
"7 Strongly agree","2013","Male","","","",""
"7 Strongly agree","2013","Female","","","",""
"1 Strongly disagree","2014","Male","","","",""
"1 Strongly disagree","2014","Female","","","",""
"2 on scale 1-7 ","2014","Male","","","",""
"2 on scale 1-7 ","2014","Female","","","",""
"3 on scale 1-7 ","2014","Male","","","",""
"3 on scale 1-7 ","2014","Female","","","",""
"4 on scale 1-7","2014","Male","","","",""
"4 on scale 1-7","2014","Female","","","",""
"5 on scale 1-7","2014","Male","","","",""
"5 on scale 1-7","2014","Female","","","",""
"6 on scale 1-7","2014","Male","","","",""
