"plh0206i05","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","60","0.13537562381922","0.105387654215088","0.165363593423352"
"1 Strongly disagree","2005","in school","East Germany","14","","",""
"1 Strongly disagree","2005","inadequately","West Germany","51","0.25191558336211","0.193616582730321","0.310214583993899"
"1 Strongly disagree","2005","inadequately","East Germany","6","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","400","0.190239925982224","0.173274469487208","0.20720538247724"
"1 Strongly disagree","2005","general elemantary","East Germany","59","0.205991866857995","0.163067053666927","0.248916680049062"
"1 Strongly disagree","2005","middle vocational","West Germany","1475","0.197056466828995","0.188115315528575","0.205997618129415"
"1 Strongly disagree","2005","middle vocational","East Germany","461","0.192543078971179","0.177479478604909","0.207606679337448"
"1 Strongly disagree","2005","vocational + Abi","West Germany","177","0.203833308563883","0.178481917009437","0.229184700118329"
"1 Strongly disagree","2005","vocational + Abi","East Germany","21","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","234","0.221074023167732","0.196932364157381","0.245215682178084"
"1 Strongly disagree","2005","higher vocational","East Germany","86","0.206444001800191","0.167780875607749","0.245107127992633"
"1 Strongly disagree","2005","higher education","West Germany","577","0.201264361846781","0.186691801536595","0.215836922156966"
"1 Strongly disagree","2005","higher education","East Germany","280","0.227448252761186","0.20423811877432","0.250658386748051"
"2 on scale 1-7 ","2005","in school","West Germany","73","0.161903594170452","0.129615803946316","0.194191384394588"
"2 on scale 1-7 ","2005","in school","East Germany","31","0.202364930596818","0.137417919409964","0.267311941783672"
"2 on scale 1-7 ","2005","inadequately","West Germany","30","0.145836541331636","0.0984383290784414","0.193234753584831"
"2 on scale 1-7 ","2005","inadequately","East Germany","1","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","339","0.165320222380493","0.149263404849589","0.181377039911397"
"2 on scale 1-7 ","2005","general elemantary","East Germany","53","0.160273714416439","0.121335957773275","0.199211471059603"
"2 on scale 1-7 ","2005","middle vocational","West Germany","1512","0.193486814860475","0.184607345369761","0.202366284351189"
"2 on scale 1-7 ","2005","middle vocational","East Germany","500","0.1791755060472","0.16452442663915","0.19382658545525"
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","232","0.213895122773578","0.188090179409185","0.23970006613797"
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","35","0.237481554417463","0.171952982683704","0.303010126151221"
"2 on scale 1-7 ","2005","higher vocational","West Germany","268","0.223405731996346","0.199173444857578","0.247638019135114"
"2 on scale 1-7 ","2005","higher vocational","East Germany","102","0.214934154077344","0.175695617542402","0.254172690612286"
"2 on scale 1-7 ","2005","higher education","West Germany","782","0.250304373849011","0.234559920088773","0.26604882760925"
"2 on scale 1-7 ","2005","higher education","East Germany","353","0.256073460432385","0.231906620425516","0.280240300439254"
"3 on scale 1-7 ","2005","in school","West Germany","87","0.154726804030112","0.123027887730276","0.186425720329948"
"3 on scale 1-7 ","2005","in school","East Germany","22","","",""
"3 on scale 1-7 ","2005","inadequately","West Germany","34","0.154898623165225","0.106309789682373","0.203487456648077"
"3 on scale 1-7 ","2005","inadequately","East Germany","4","","",""
"3 on scale 1-7 ","2005","general elemantary","West Germany","328","0.15877024085462","0.14297310323657","0.174567378472671"
"3 on scale 1-7 ","2005","general elemantary","East Germany","57","0.149006229117423","0.111211059022164","0.186801399212682"
"3 on scale 1-7 ","2005","middle vocational","West Germany","1287","0.16088208893063","0.152623213042668","0.169140964818593"
"3 on scale 1-7 ","2005","middle vocational","East Germany","433","0.155967904157524","0.14210665890995","0.169829149405098"
"3 on scale 1-7 ","2005","vocational + Abi","West Germany","179","0.170093387746877","0.146449409460751","0.193737366033004"
"3 on scale 1-7 ","2005","vocational + Abi","East Germany","33","0.203384589236554","0.141401394491018","0.265367783982091"
"3 on scale 1-7 ","2005","higher vocational","West Germany","203","0.175173299337373","0.15305939274855","0.197287205926197"
"3 on scale 1-7 ","2005","higher vocational","East Germany","71","0.161071200103882","0.125957342613614","0.19618505759415"
"3 on scale 1-7 ","2005","higher education","West Germany","592","0.206354576783334","0.191645981413074","0.221063172153593"
"3 on scale 1-7 ","2005","higher education","East Germany","231","0.185813873863509","0.164277455797703","0.207350291929315"
"4 on scale 1-7","2005","in school","West Germany","116","0.201614941366393","0.166448319944831","0.236781562787955"
"4 on scale 1-7","2005","in school","East Germany","36","0.249313914133489","0.17937935116479","0.319248477102189"
"4 on scale 1-7","2005","inadequately","West Germany","38","0.15762654696136","0.108690903181136","0.206562190741584"
"4 on scale 1-7","2005","inadequately","East Germany","","","",""
"4 on scale 1-7","2005","general elemantary","West Germany","422","0.200250252559007","0.182952083872132","0.217548421245882"
"4 on scale 1-7","2005","general elemantary","East Germany","70","0.207871615089557","0.164802466680858","0.250940763498257"
"4 on scale 1-7","2005","middle vocational","West Germany","1485","0.199947488492688","0.190957216752717","0.208937760232659"
"4 on scale 1-7","2005","middle vocational","East Germany","521","0.187748643163966","0.172829675424477","0.202667610903454"
"4 on scale 1-7","2005","vocational + Abi","West Germany","177","0.195026586334176","0.170092130085781","0.219961042582571"
"4 on scale 1-7","2005","vocational + Abi","East Germany","38","0.216653268492252","0.153215160157617","0.280091376826887"
"4 on scale 1-7","2005","higher vocational","West Germany","204","0.193752431172836","0.170758779415018","0.216746082930654"
"4 on scale 1-7","2005","higher vocational","East Germany","83","0.236131572226754","0.195562660988251","0.276700483465257"
