"plh0206i05","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2005","lower secondary degree","general elemantary","298","0.197237553002597","0.1770400539564","0.217435052048794"
"1 Strongly disagree","2005","lower secondary degree","middle vocational","957","0.200359994632277","0.189177722714504","0.211542266550051"
"1 Strongly disagree","2005","lower secondary degree","vocational + Abi","5","","",""
"1 Strongly disagree","2005","lower secondary degree","higher vocational","90","0.223996329393292","0.185560946469967","0.262431712316618"
"1 Strongly disagree","2005","lower secondary degree","higher education","40","0.229281106959021","0.168208770596199","0.290353443321843"
"1 Strongly disagree","2005","secondary school degree","in school","","","",""
"1 Strongly disagree","2005","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2005","secondary school degree","general elemantary","76","0.143918988010931","0.115228981344221","0.172608994677641"
"1 Strongly disagree","2005","secondary school degree","middle vocational","756","0.188469462126803","0.176472134472196","0.200466789781409"
"1 Strongly disagree","2005","secondary school degree","vocational + Abi","8","","",""
"1 Strongly disagree","2005","secondary school degree","higher vocational","140","0.215113793094172","0.184565062647644","0.245662523540699"
"1 Strongly disagree","2005","secondary school degree","higher education","127","0.203425311206343","0.171764791701869","0.235085830710818"
"1 Strongly disagree","2005","college entrance qualification","in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2005","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2005","college entrance qualification","middle vocational","95","0.135812572377355","0.110960613837078","0.160664530917632"
"1 Strongly disagree","2005","college entrance qualification","vocational + Abi","157","0.192920639954786","0.167855098859839","0.217986181049732"
"1 Strongly disagree","2005","college entrance qualification","higher vocational","72","0.21863009920189","0.175016507023294","0.262243691380487"
"1 Strongly disagree","2005","college entrance qualification","higher education","648","0.209469324124637","0.195272239436991","0.223666408812282"
"1 Strongly disagree","2005","Other degree","in school","","","",""
"1 Strongly disagree","2005","Other degree","inadequately","7","","",""
"1 Strongly disagree","2005","Other degree","general elemantary","85","0.242427165183804","0.196259604116515","0.288594726251093"
"1 Strongly disagree","2005","Other degree","middle vocational","103","0.255246148851911","0.211974667263834","0.298517630439987"
"1 Strongly disagree","2005","Other degree","vocational + Abi","28","","",""
"1 Strongly disagree","2005","Other degree","higher vocational","15","","",""
"1 Strongly disagree","2005","Other degree","higher education","41","0.190407373689681","0.133982996725447","0.246831750653915"
