"plh0206i05","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","no migration background","609","0.235724403288126","0.219560941502121","0.251887865074131","1"
"1 Strongly disagree","2005","1-pers.-HH","direct migration background","56","0.242585869195056","0.185020971042584","0.300150767347528","1"
"1 Strongly disagree","2005","1-pers.-HH","indirect migration background","13","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","no migration background","1329","0.21600570187809","0.205761542358606","0.226249861397574","1"
"1 Strongly disagree","2005","(Married) couple without C. ","direct migration background","176","0.267128076543224","0.234280335178412","0.299975817908036","1"
"1 Strongly disagree","2005","(Married) couple without C. ","indirect migration background","12","","","","1"
"1 Strongly disagree","2005","Single parent ","no migration background","182","0.20413974054838","0.177703204439496","0.230576276657263","1"
"1 Strongly disagree","2005","Single parent ","direct migration background","26","","","","1"
"1 Strongly disagree","2005","Single parent ","indirect migration background","11","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","no migration background","458","0.139068637910758","0.126684701224861","0.151452574596655","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","direct migration background","105","0.206765675131768","0.172254461961556","0.241276888301981","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","indirect migration background","23","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","no migration background","440","0.146683762266816","0.134092829319944","0.159274695213688","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","direct migration background","86","0.177322869038597","0.139939968792929","0.214705769284264","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","indirect migration background","20","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","no migration background","210","0.176457365594652","0.155662893038506","0.197251838150797","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","direct migration background","73","0.232958072298393","0.18379518793047","0.282120956666315","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","indirect migration background","17","","","","1"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","indirect migration background","37","0.183279785504315","0.130317697711091","0.236241873297539","2"
"2 on scale 1-7 ","2005","1-pers.-HH","no migration background","564","0.210526443984084","0.195001528912087","0.226051359056081","2"
